,name,sector,year,quarter,자본총계변화율,매출액변화율,이익잉여금변화율,비유동부채변화율,영업이익변화율,Relative Return,전체 주주 수변화율,주주 수변화율,전체 주식 수변화율,특정 증권 등 소유 증감 수변화율,Label,Code
25,Korea_Zinc,Materials_&_Chemicals,2018,Q2,-0.021404071006996706,-0.12492272896951429,-0.023980799875757075,0.0832153503145866,-0.1497093650752781,0.00083900655898482,-0.020915103038958938,-0.01919011555724559,-0.01999789849770406,-0.0007472332711135898,-0.13953993347092808,010130
25,Lotte_Chemical,Materials_&_Chemicals,2018,Q2,-0.04529549626815843,-0.05157340747321504,-0.051997063392734244,0.30777940166750084,-0.0767021829925203,0.210769557247374,0.01345408296946693,0.03886160320111032,0.0037123706614169416,0.18753322896346392,-0.14031012895228925,011170
25,Kumho_Petrochemical,Materials_&_Chemicals,2018,Q2,-0.03578954906633558,-0.06491287758096154,-0.05762977342653475,0.30735307823010494,0.13800616487419926,0.003957617315349448,-0.060396692430073395,-0.0684362392607969,-0.03807648236375294,-0.01084634815994101,0.26773248679132466,011780
25,SKC,Materials_&_Chemicals,2018,Q2,-0.010423893993520839,-0.057050627791810804,-0.013533889790271925,0.006543198255442473,-0.10440968213022117,-0.1631330695128601,0.005774281976104967,0.003736426810114879,0.001098574266340191,-0.07587873690478042,0.18740901216500144,011790
26,Hansol_Chemical,Materials_&_Chemicals,2018,Q2,-0.05805640850113836,-0.14357432422454375,-0.11875226591278887,-0.5286057462946827,-0.2623336912462684,0.009311117627567585,-0.15931034858525694,-0.1444007194157686,-0.19414270110371068,-2.499743094749111,0.16418462280788898,014680
25,Iljin_Materials,Materials_&_Chemicals,2018,Q2,-0.022849044922674366,-0.026022353201399895,-0.21453723494226007,0.003701092703560116,-0.3336685663202592,0.0004599473577801966,0.01809775291799942,0.04382262040748541,0.007291047167604203,0.009266616362935798,0.16486029848356465,020150
25,Namhae_Chemical,Materials_&_Chemicals,2018,Q2,-0.02821054856640126,-0.0450692440288496,-0.035478205125225815,-1.1130069773000844,-0.4119840035098914,0.301995846691607,0.007174084741565001,0.04469283235091004,0.005512582162022772,0.0,0.12355734598035541,025860
25,LG_Chem,Materials_&_Chemicals,2018,Q2,-0.03207994112432,-0.09022368895575417,-0.037654181498341766,-0.3299263826036887,-0.21806541553644543,-0.01868684899108869,-0.054249497341891884,-0.04917181222643241,-0.05425314236805323,-0.04316541080751657,-0.10316668521934744,051910
25,Huchems,Materials_&_Chemicals,2018,Q2,-0.08051810783939595,-0.0488127717797322,-0.09314300142205467,0.04082852641176837,-0.17923091648676048,0.03822033648752536,-0.05074564488204936,-0.10679435560096007,-0.10759884664107622,-0.2494193715944626,0.23220479609122016,069260
25,Huvis,Materials_&_Chemicals,2018,Q2,-0.07580609400542193,-0.04894202194746322,-0.1539091284844467,-0.2883588455167194,-0.5620319623470418,0.02921951901366301,-0.09233638067908623,-0.06933980019410879,-0.10839355357680347,-0.24322872546468055,0.06531951710827191,093370
25,Poongsan,Materials_&_Chemicals,2018,Q2,-0.022241488754307426,-0.07472896857936484,-0.029280763659228937,-0.030682105280194216,0.2688818596806418,-0.15154594346844044,-0.004406596818179898,0.0020877484740733365,-0.01805821752866299,-0.0714657305926476,-0.08758806927126547,103140
25,Korea_Steel,Materials_&_Chemicals,2018,Q2,-0.014943400536138629,-0.3825916433121148,-0.10541513588313967,-0.1441341725014047,-12.521189227417407,-0.03341096503970805,-0.06009642968944551,-0.0602841928679021,-0.025325675289222804,0.0,0.09187445404413991,104700
25,LG_Hausys,Materials_&_Chemicals,2018,Q2,-0.013338798514153982,-0.09773400012811506,-0.016903572800614608,-0.0004084583366694705,0.0737015793195569,-0.1627843730886128,0.09414017223395055,0.12283651778451798,0.07814359405186722,0.07754958757889496,-0.06553695260594256,108670
25,Kolon_Industries,Materials_&_Chemicals,2018,Q2,-0.005449660201873652,-0.017164394678046868,-0.03126553580803093,0.15895453486414657,-0.0690412696725684,-0.2102559149996166,-0.01757231764330669,-0.03882922718233228,-0.02213038276863477,-0.007383912088678057,0.05186809575451982,120110
