,name,sector,year,quarter,Relative Return,자본총계변화율,매출액변화율,비유동부채변화율,영업이익변화율,이익잉여금변화율,Label,Code
12,IS_Dongseo,Technology,2021,Q3,0.021805608882842685,-0.027354894699659793,0.06681210853829833,0.37746032788354245,-0.04407527476772488,-0.04088424311215433,-0.15262677462442514,010780
12,S-Oil,Energy_&_Utilities,2021,Q3,0.20991593282233684,-0.033886930497164736,-0.061080335556605636,0.02670501158352745,0.03793603300888848,-0.045633179865506746,0.15906854724682637,010950
12,LG_Innotek,Technology,2021,Q3,0.006983084689226607,-0.0881310932895274,-0.626221162701277,0.029069616109404395,-1.3059041500149013,-0.1758167901649439,0.018783721579777757,011070
12,Lotte_Chemical,Materials_&_Chemicals,2021,Q3,-0.18462993995374619,-0.011305680241371796,-0.10041096495190804,0.0577234742918632,0.45381159213149,-0.015048636968238993,0.009416363797097219,011170
12,Kumho_Petrochemical,Materials_&_Chemicals,2021,Q3,-0.2259842437740011,-0.10367268921813744,0.04376948839235528,-0.006243396330491313,0.2162101311158754,-0.10181156633877064,-0.05889856455098845,011780
12,SKC,Materials_&_Chemicals,2021,Q3,0.16216004885955634,-0.027366012471279788,-0.008111910937309341,-0.1792134855788472,3.065878166844892,-0.03177226024757518,0.15214387232184368,011790
13,Hansol_Chemical,Materials_&_Chemicals,2021,Q3,-0.05847221260755087,-0.06800206705729117,-0.03914164956353905,-0.009143399628772642,-0.016563306334903993,-0.07549457317041841,0.4973031108551916,014680
12,Korea_Electric_Power_Corporation_(KEPCO),Energy_&_Utilities,2021,Q3,0.01872135154154867,0.019636558587214803,-0.19977151341320187,-0.07664956898545716,-0.1994245665377603,0.029943443221027044,0.033583932239710505,015760
13,Samsung_SDS,Technology,2021,Q3,-0.09632698669243511,-0.01681817943071917,-0.015857018720422333,0.024144616391876705,0.10739005070289309,-0.021240626491621395,-0.04418348527349884,018260
12,Iljin_Materials,Materials_&_Chemicals,2021,Q3,0.011740603577338353,-0.019050121931064368,-0.0659979288232373,-0.04366184069312817,-0.3142347752282657,-0.08619785615539288,0.5105553497860846,020150
12,Korea_Electric_Terminal,Energy_&_Utilities,2021,Q3,0.3445577849845782,-0.027721788419462712,0.0030159260576773095,-0.03112741351976367,-0.041942979534827396,-0.018446599211979997,-0.17194532171539267,025540
12,Namhae_Chemical,Materials_&_Chemicals,2021,Q3,0.08698119285982758,0.006699935290605197,0.14008666723238805,-0.03452449581804928,1.405216884758186,0.008285007446566794,0.19269393204436366,025860
12,LG_Display,Technology,2021,Q3,0.017527427773453973,-0.02225920038034679,-0.05556687564715501,0.09286558597037686,0.42346059853371254,-0.03794384982275023,-0.1437718858283053,034220
12,NAVER_Corp,Technology,2021,Q3,0.059454488394569356,-0.05374008446227552,-0.015488953775417258,-0.023419350424098928,-0.05023290867097763,-0.051196265465510926,0.014127480611279636,035420
12,Korea_Gas_Corporation,Energy_&_Utilities,2021,Q3,0.04255615150061958,0.04211594093397908,-0.10029648829236137,-0.022968993378780667,5.051518543863701,0.05262680995331237,0.40432599982135214,036460
12,NCSOFT,Technology,2021,Q3,-0.12584566579723958,-0.05153363682154444,0.08604982475042777,-0.7529006812101067,0.13618837440592468,-0.03191098879039922,-0.18052554212472427,036570
12,Hanmi_Semiconductor,Technology,2021,Q3,0.3236169220489779,-0.09612841374212677,0.1632026077076688,-0.14775254975039775,0.1549462070132721,-0.12470422815998483,-0.015258253824652554,042700
12,KEPCO_KPS,Energy_&_Utilities,2021,Q3,0.30147112002223725,-0.031233851805654522,0.15821425891645347,0.09110604008273027,0.18322667498139977,-0.03148577682316578,-0.01795282623411963,051600
12,LG_Chem,Materials_&_Chemicals,2021,Q3,-0.012007661247038677,-0.03764345412204895,-0.06447653164726663,-0.23189179046577002,0.21009006806670694,-0.04538660773107139,-0.0022337943312309982,051910
12,LG_Electronics,Technology,2021,Q3,0.005853089070842275,0.0019178623817566187,-0.030812720523810233,0.007894540318006071,3.5532317212926885,0.00549848039138634,-0.13666316007024681,066570
12,Huchems,Materials_&_Chemicals,2021,Q3,0.011527602525645657,-0.020654025914894403,-0.07652814725543666,0.6138957295200287,0.3243528400676482,-0.030862968351162978,0.3305330086725565,069260
12,Huvis,Materials_&_Chemicals,2021,Q3,-0.02396101917739158,-0.08121559125663214,-0.18697140486772312,0.034635242604285965,-0.6355063813031301,-0.14069261550297218,1.04023828904571,093370
12,SK_Innovation,Energy_&_Utilities,2021,Q3,0.24650438226806382,-0.051955867890777885,-0.0044802323232135954,-0.188393587258455,3.450117160076541,-0.07577953799807213,-0.020340251787331967,096770
12,Poongsan,Materials_&_Chemicals,2021,Q3,0.07964813963118339,-0.04562424441787427,0.048728778226210245,0.002815224577769282,0.18632139763876387,-0.06646825393640032,-0.043513949166373064,103140
12,Korea_Steel,Materials_&_Chemicals,2021,Q3,-0.09891096602060048,-0.04362494091121949,-0.03177917383870965,-0.0885561907631387,0.07647925092003982,-0.20132538147150325,0.05955635212487516,104700
12,LG_Hausys,Materials_&_Chemicals,2021,Q3,0.16268100799268034,-0.003641874658175004,0.04143946654569719,-0.5145546342221925,0.6371803424505226,-0.026776272306675564,-0.11450910205967686,108670
12,Kolon_Industries,Materials_&_Chemicals,2021,Q3,0.25082646833798916,-0.025873755111256225,0.03506048987868615,-0.16707690070681824,0.18774382183385363,-0.05057496347021195,0.31799658097160804,120110
