,name,year,quarter,sector,Relative Return,매출액 변화율,특정 증권 등 소유 수 변화율,자본총계 변화율,이익잉여금 변화율,총포괄손익 변화율,특정 증권 등 소유 증감 수 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
17,LG_Chem,2020,Q2,화학,0.14516579077310224,0.03158449792320761,0.13623232853477518,-0.01233296835132136,-0.013455131235663886,0.14924579345691602,-0.9734544090850699,0.38769484373865826,0.10405571392260071,-1.1972425239901807,0.412406258945425,051910
17,Huchems,2020,Q2,화학,-0.10593783976535134,0.30657802558201497,0.14299848889055022,-0.020796405403044727,-0.030289101352961367,0.14299848889055022,0.1429984888905501,0.4912260322593138,0.0054684566788091304,0.45492574324729507,-0.09923873822811938,069260
17,Kumho_Tire,2020,Q2,화학,-0.0746797099369402,0.13189500563774748,0.14295841294642253,0.26440929647311495,-0.5465926855894143,0.14295841294642264,0.14295841294642253,-8.628711217238317,0.00010943209330049886,-1.7771802229946876,-0.20564267911481887,073240
17,Able_C&C,2020,Q2,화학,-0.023436574408520705,0.06501543133789145,0.1430034660794035,0.009719488892640737,0.02001830107028202,0.1430034660794034,0.1430034660794035,0.645507698435331,-0.05222705437606434,0.48524999315351136,-0.03579046236605041,078520
17,Huvepharma,2020,Q2,화학,-0.10384054717941685,-0.0,0.14299859672123605,-0.025618727650634998,-0.05684573711896812,0.14299859672123594,0.14299859672123605,0.9341027966337272,-0.14258756330410183,0.9275733215619197,0.3457300054702069,079980
17,Amorepacific,2020,Q2,화학,0.027108792965325618,0.13552821571724205,0.1426543654385921,-0.00822889332243637,-0.009625947364984233,0.1426543654385921,0.142654365438592,0.583440712476581,0.02831806971777928,0.4090725271445518,-0.1837058702210353,090430
17,Huvis,2020,Q2,화학,-0.049882816181524375,-0.012328590272606021,0.14300214581840942,-0.016594225845916633,-0.030543541461010015,0.14300214581840942,0.1430021458184093,-7.082693059970019,0.015570008865258833,-5.244714820700857,0.1105995791277255,093370
17,SK_Innovation,2020,Q2,화학,-0.2269155142237608,0.7908661940837197,0.13894383494800977,0.015169753929199725,0.01379634959684184,0.13894383494800966,0.13894383494800977,1.0813926106848855,0.005342743435459929,1.093306904080718,0.34357228156114766,096770
17,LG_Hausys,2020,Q2,화학,-0.15462096877673623,0.007999204569874352,0.1429656757768315,-0.008469950355991962,-0.029170142406006017,0.14296567577683172,0.14296567577683172,0.5227284168134911,-0.03464845319405385,0.2322167409293444,0.651910687059237,108670
17,Lock_&_Lock,2020,Q2,화학,-0.17138153914962215,-0.10840899659497549,0.14299962927699783,0.02336342297237326,0.00677105445959425,0.14299962927699794,0.14299962927699772,0.38646402790664436,0.013647188028758972,0.2512339773905691,0.05562228001622105,115390
17,Kolon_Industries,2020,Q2,화학,-0.20318455621802692,0.08700097574901877,0.14283923200152682,-0.016269194872215342,-0.013979050574173701,0.14283923200152693,0.14283923200152682,0.9309744264631629,0.1999175045062821,0.035505016403625356,-0.17186701738997384,120110
17,Hankook_Tire_&_Technology,2020,Q2,화학,-0.22478007741429937,0.2260336601124474,0.0,0.0020963346851152753,-0.001569290148517588,0.14253527671437838,0.0,0.9406912912816365,-0.15006906282629684,1.3326936060800691,0.09141580395248744,161390
17,KOLMAR_Korea,2020,Q2,화학,-0.01573812842040856,0.2534135327935281,0.14299674237485638,-0.028316003941022627,-0.055654966900263725,0.14299674237485638,0.14299674237485627,0.3003444268874621,-0.4324645822019977,0.006446752482684226,-0.053699309551036994,161890
17,COSMAX,2020,Q2,화학,0.17871541896223714,-0.03455030645854129,0.14299826251954195,-0.014813998009889362,-0.042019349871467604,0.14299826251954195,0.14299826251954206,0.5108345138842101,-0.6130786259971903,-0.268043421421146,0.06290130802416016,192820
