,name,year,quarter,sector,Relative Return,부채총계 변화율,영업이익 변화율,법인세차감전 순이익 변화율,매출액 변화율,비유동부채 변화율,비유동자산 변화율,Label,Code
3,동원F&B,2024,Q1,생활소비재,0.12136546534308743,0.003969674042340943,1.0665710655304168,2.244040208256896,0.18004847371641963,-0.022134779183868636,0.006764823296287803,0.005977378718013696,049770
3,LG생활건강,2024,Q1,생활소비재,0.26455102825035887,0.1840956408975316,6.658803406022547,-1.822753941522444,0.22353415565779589,0.0051938421891748465,-0.0033205251602163033,-0.22010182890920474,051900
3,한전기술,2024,Q1,건설,-0.014219517188989944,0.1298466131158469,4.239997322517398,0.04334502314365696,-0.35291013043755415,0.0020620937502642267,-0.012194619262230977,0.06686904209093875,052690
3,에이블씨엔씨,2024,Q1,생활소비재,0.21523082458234918,0.05288928984439023,29.975674049553852,-4.40971357917482,0.013406757558845683,-0.004976875394983482,0.023782279310447185,0.02563189619536539,078520
3,아모레퍼시픽,2024,Q1,생활소비재,0.4351215227396225,0.2157637791352136,1.4992143754544789,6.470934282244736,0.02955803228692111,0.005267061090574066,-0.01657588775841956,-0.26214869011960895,090430
3,CJ제일제당,2024,Q1,생활소비재,0.10136104306075354,0.03557253775876834,4.629181895948363,-5.332964058791986,0.10365759727323143,0.023244346094110524,-0.0033281028221464615,0.1599541139048076,097950
3,LG하우시스,2024,Q1,건설,0.14154404147969166,0.09122347401672615,4.572463768115942,-1.7502570363706464,-0.04612166358862191,0.2959279631157299,-0.01406209919313095,-0.045777527456557485,108670
3,락앤락,2024,Q1,생활소비재,0.38234061839468053,0.009650621298835205,-0.046403879962149674,-0.5859110402355001,-0.1685779162310308,0.3156003022187739,0.015220346681366959,0.05957269026685079,115390
3,이마트,2024,Q1,생활소비재,-0.11812961571115743,0.04890646169845314,1.3736933411326984,-0.2887004218045154,0.04027318415620207,0.07832710627681072,0.012900351847523917,-0.010437759053943362,139480
3,삼양사,2024,Q1,생활소비재,0.06814085460925601,-0.16541076763109608,0.05245518992408993,1.7528329339702862,-0.00944655577792386,-0.18388158323508497,0.031977158411100826,-0.02942926361248882,145990
3,한국콜마,2024,Q1,생활소비재,0.16881619709672435,0.13991002430336708,0.2412081102502046,-1.860009761644739,0.1552100841351991,0.190954735378297,0.0813999109954544,0.1924577264918067,161890
3,코스맥스,2024,Q1,생활소비재,0.4751966144321978,0.07320674391298332,0.7179088117451851,-3.906754626464056,0.2723992899494272,0.060307769794677224,0.04546844026355634,-0.21329772384116372,192820
