,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,소비자물가지수 변화율,환율 변화율,주택가격 변화율,GDP 변화율,금리 변화율,Label,Code
2,화신,2024,Q4,경기소비재,-0.04523927564972344,-4.274225572438517,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.0719005498077613,010690
2,현대위아,2024,Q4,경기소비재,0.07266608391608388,4.797874725373268,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.07128956433323705,011210
2,현대모비스,2024,Q4,경기소비재,-0.04279960235842591,0.7155458673787876,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.026832430798690993,012330
2,에스원,2024,Q4,경기소비재,-0.11780192556258909,-0.3388814181468923,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.07509507682517001,012750
2,한온시스템,2024,Q4,경기소비재,-0.12462352004431215,78.89482088670366,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.10366063173654011,018880
2,대교,2024,Q4,경기소비재,-0.16097905957177483,-2.9853758389516862,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.08937163702472908,019680
2,한섬,2024,Q4,경기소비재,-0.01749576181394366,1.3122688542509646,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.008867195989294361,020000
2,코웨이,2024,Q4,경기소비재,0.2686558315501533,-0.17971079544288504,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.1562934531249512,021240
2,롯데쇼핑,2024,Q4,경기소비재,-0.03404749224285651,-23.46060307383901,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.16058349886963785,023530
2,삼성물산,2024,Q4,경기소비재,-0.05188900082967882,0.8573976662088454,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.02047207368936343,028260
2,세종공업,2024,Q4,경기소비재,-0.0018890008296788136,-10.089333334397772,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.04315774163050583,033530
2,강원랜드,2024,Q4,경기소비재,-0.08925555787496088,0.2521115338151494,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.0068334598516785906,035250
2,한라홀딩스,2024,Q4,경기소비재,-0.012279568257829152,7.189615153067232,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.04254576993419678,060980
2,S&T모티브,2024,Q4,경기소비재,0.04299185088230638,0.8756578195771467,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.11248437853526773,064960
2,대웅제약,2024,Q4,헬스케어,-0.23681964082769358,-1.1938366552976871,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.2198333014979163,069620
2,현대백화점,2024,Q4,경기소비재,0.25441131064639416,1.6091798011710305,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.17232229001213606,069960
2,금호타이어,2024,Q4,경기소비재,0.05381253362022591,2.140582906014711,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.01020124968120812,073240
2,현대리바트,2024,Q4,경기소비재,-0.16956063018482168,-1.0766708472844901,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.08666692953803398,079430
2,베이직하우스,2024,Q4,경기소비재,-0.18987423866456127,-1.4404270992630064,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.06518628779698302,084870
2,LF,2024,Q4,경기소비재,-0.0024443149443149625,-0.40791531440786344,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.0052934835197484525,093050
2,한세실업,2024,Q4,경기소비재,-0.2202870524807068,-0.9601972094453994,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.05604401999900147,105630
2,영원무역,2024,Q4,경기소비재,0.23651760675872352,2.038633748243402,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.004479481197556699,111770
2,GKL,2024,Q4,경기소비재,-0.07671251493228463,0.0073400621396506605,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.19762064307015142,114090
2,한미약품,2024,Q4,헬스케어,-0.33532994782994785,1.6074015230431065,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.19721126386584625,128940
2,한국타이어,2024,Q4,경기소비재,0.03534318157770701,-1.4069491347117706,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.010810512337748143,161390
2,동아에스티,2024,Q4,헬스케어,-0.4241662321269875,2.5660420479614467,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.050517048989813185,170900
2,종근당,2024,Q4,헬스케어,-0.24418645274408673,-0.6333660800368137,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.03744108385905353,185750
