,name,year,quarter,sector,Relative Return,비유동자산 변화율,영업이익 변화율,비유동부채 변화율,매출액 변화율,자본총계 변화율,자산총계 변화율,Label,Code
1,대우인터내셔널,2024,Q3,산업재,0.05579092265251979,0.01965727572038478,-0.01661331253035747,-0.07449064104105929,0.02435421212359179,0.032911021115225925,0.0027640597724407634,0.13286654197537473,047050
1,한국항공우주,2024,Q3,산업재,0.28873716071611066,0.013606854538139368,0.07808275133762344,-0.06561205560839434,0.01987942556024569,0.04222545641842923,-0.01102047406478146,0.3309037045044507,047810
1,한전KPS,2024,Q3,산업재,0.16495993640367362,0.0003730860441761852,-0.4422912390528241,0.1243973878111646,-0.17874074215346403,0.027304002391263626,-0.01592662078548457,-0.09272102897102899,051600
1,LG화학,2024,Q3,에너지_화학,0.10172354717191566,0.0023227695161205375,-0.7981591098144643,-0.05239790411942502,-0.023030886595194255,0.024727939037617386,-0.013120676146635923,-0.2253170356506579,051910
1,휴켐스,2024,Q3,에너지_화학,0.09038181990938945,0.011461538363457091,-0.08986972128111348,-0.12781332235398357,0.050034674770061294,0.018844411574655107,-0.058504059795011054,-0.16956820353559482,069260
1,GS,2024,Q3,에너지_화학,0.013343954393894034,0.0020275508196048175,0.6329479768786128,-0.0023026494013111964,0.00246849113479386,0.0024725608724369685,9.884365962120611e-05,-0.18311379921781384,078930
1,휴비스,2024,Q3,에너지_화학,-0.13919425521309284,-0.03823555001652579,1.0463464482649472,-0.29475874387509415,-0.04356109000518271,-0.10300337815890559,-0.02622157164548633,0.032702591526120886,079980
1,현대글로비스,2024,Q3,산업재,0.14694704913473322,0.07894878370956038,0.2896014487325105,0.046178137376663875,0.06091103861455749,0.05431274863239355,0.044599638652921714,-0.006394651555941933,086280
1,후성,2024,Q3,에너지_화학,-0.06854425521309285,0.00727601757010321,-1.0121064005846354,-0.011636106286878611,0.0010024156854386845,-0.0007031937131078969,-0.026426527292645052,-0.16432976472346555,093370
1,SK이노베이션,2024,Q3,에너지_화학,0.12187734555836327,-0.006331943898766457,0.34506050734160754,-0.08483497377714211,-0.018133644251620118,-0.016690156803636724,-0.004192471342072568,0.11261302860637461,096770
1,코오롱인더,2024,Q3,에너지_화학,-0.08915894447862957,-0.010501416120609619,-0.7090954530337916,-0.044553522601103235,-0.10956426302859412,0.08578437215939783,-0.0013531100844489385,0.04774502979290211,120110
