,name,year,quarter,sector,Relative Return,영업이익 변화율,이익잉여금 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,매출액 변화율,부채총계 변화율,Label,Code
20,KT&G,2019,Q4,생활소비재,-0.01591734657680033,-0.09752870090656529,0.2036517072746553,0.015433432779024647,-0.42343128607699865,0.0337944829939294,-0.06449024074015897,-0.13369901115078148,033780
20,무학,2019,Q4,생활소비재,-0.32663101649444326,-0.1883379262354945,0.00015930652243634214,-0.04442352112296777,-1.3093953592857375,0.0245129600726377,0.0882910859901942,0.40107723248341387,033920
20,한국가스공사,2019,Q4,생활소비재,-0.30315210554670446,-3.183664526331694,-0.017988370517073915,-0.032163959204993486,-1.1187345761695648,0.5882958593699903,0.041322426026835446,0.23110389475218057,036460
20,팜스코,2019,Q4,생활소비재,-0.2482487603265782,-0.7165121148224752,-0.09443137348917818,0.04948527704230532,2.9368626864717906,0.06547791590754559,-0.13505443740427336,0.7664491329259047,036580
20,동원F&B,2019,Q4,생활소비재,-0.08686428611843175,-0.7499622144314795,0.009195002363200588,0.0016334184689974496,-0.8689707571518759,-0.21685862413835244,-0.034160433028192605,0.22822744890011745,049770
20,LG생활건강,2019,Q4,생활소비재,0.07819199737112377,-0.19581006148534885,0.036444457940849606,0.023069146641506943,-0.27816568698220445,-0.06650971404272177,-0.019355873975436477,0.24265827239666837,051900
20,에이블씨엔씨,2019,Q4,생활소비재,-0.09882021227518836,-2.0599908091503245,-0.19732870595094032,-0.08623556269429888,2.813088198301315,0.3522480706942752,0.0626102109504354,0.18765802250911778,078520
20,아모레퍼시픽,2019,Q4,생활소비재,0.11571830085487406,-0.6706859629056275,-0.0026528221456826317,-0.002659846508057062,-0.8886708058293814,-0.20889701667325378,0.07934060186411473,-0.05371070295415184,090430
20,CJ제일제당,2019,Q4,생활소비재,-0.02972957150851893,-0.9047893386621936,-0.0565972217416022,-0.07104112446259347,-3.257756394976311,-0.12239246637875822,0.21358233496220302,0.37294419818550895,097950
20,락앤락,2019,Q4,생활소비재,-0.18738151123320126,0.6013013794856434,0.08373889045896754,-0.0020297158868674003,-11.976800785815515,-0.13288730403206206,-0.01185388424479683,0.18625294386618746,115390
20,이마트,2019,Q4,생활소비재,-0.019998122799292778,-0.7991638717447453,0.012173076278984674,-0.021866577841041512,-0.1299299705119329,-0.0822459222728481,-0.028520236651544906,-0.024471884886212852,139480
20,삼양사,2019,Q4,생활소비재,-0.2579080727714995,-1.5686478314277617,-0.027696034220630272,0.006332866768442358,-2.129898403483309,-0.02036458241953798,-0.0485213264368759,0.2858026744213026,145990
20,한국콜마,2019,Q4,생활소비재,-0.07094011115565063,1.0724845222863868,0.014324751696163984,0.0026678452848267753,-0.03324572029697037,0.12066463039870179,0.00983787857567342,0.08847361165387174,161890
20,코스맥스,2019,Q4,생활소비재,0.07952925417604215,0.541430670601414,0.03924818063190938,0.06392787654675702,-0.9342220591506305,0.07733568604016305,0.05742241094400269,0.2093873333086102,192820
