code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
5380,Hyundai_Motor,운송장비·부품,2019,Q2,"23,929,191,000,000","48,295,638,000,000","72,224,829,000,000","14,195,159,000,000","4,668,572,000,000","18,863,731,000,000","49,148,003,000,000","53,361,098,000,000",12952915000000.0,673872000000.0,1253852000000.0,1017689000000.0,1017689000000.0,"1,488,993,000,000",,,,,,,,,,
5440,Hyundai_Green_Food,기타금융,2019,Q2,"413,228,976,000","1,262,137,066,000","1,675,366,042,000","150,811,533,000","159,754,112,000","310,565,645,000","826,592,286,000","1,364,800,397,000",373071526000.0,17398436000.0,18929522000.0,14050011000.0,14050011000.0,"48,852,241,000",,,,,,,,,,
5490,POSCO_Holdings,금속,2019,Q2,"17,599,358,118,224","37,038,220,057,223","54,637,578,175,447","3,105,705,013,576","5,138,815,862,554","8,244,520,876,130","45,819,332,122,657","46,393,057,299,317",7475853979115.0,724298409509.0,745482629324.0,545381748420.0,545381748420.0,"482,403,125,000",,,,,,,,,,
5610,SPC_Samlip,음식료·담배,2019,Q2,"179,320,928,471","434,967,778,173","614,288,706,644","241,920,500,695","71,599,301,795","313,519,802,490","282,404,325,093","300,768,904,154",273702275005.0,13424022920.0,11811495160.0,9248614729.0,9248614729.0,"43,145,045,000",,,,,,,,,,
5740,Crown_Confectionery,기타금융,2019,Q2,"1,366,766,889","356,220,563,206","357,587,330,095","51,344,872,214","10,101,529,736","61,446,401,950","188,245,912,218","296,140,928,145",2886395557.0,170975240.0,-599006985.0,-3275335509.0,-3275335509.0,"7,724,036,500",,,,,,,,,,
5850,SL_Corp,운송장비·부품,2019,Q2,"959,349,204,510","535,602,873,112","1,494,952,077,622","315,387,498,980","69,338,955,681","384,726,454,661","622,830,702,584","1,110,225,622,961",430110814349.0,31150771891.0,46771800712.0,41216564179.0,41216564179.0,"24,101,638,500",,,,,,,,,,
5930,Samsung_Electronics,전기·전자,2019,Q2,"72,045,329,000,000","140,705,389,000,000","212,750,718,000,000","34,868,869,000,000","2,493,071,000,000","37,361,940,000,000","168,897,297,000,000","175,388,778,000,000",38149674000000.0,2797158000000.0,4304753000000.0,4063169000000.0,4063169000000.0,"897,514,000,000",,,,,,,,,,
6120,SK_Chemicals,기타금융,2019,Q2,"355,842,930,803","856,894,333,011","1,212,737,263,814","155,889,773,248","105,677,936,018","261,567,709,266","1,422,173,185,320","951,169,554,548",,-1987337848.0,-44887398312.0,-34328336945.0,-34328336945.0,"111,677,150,000",,,,,,,,,,
6260,LS_Corp,기타금융,2019,Q2,"279,186,000,000","2,295,220,000,000","2,574,406,000,000","231,816,000,000","235,529,000,000","467,345,000,000","1,862,765,000,000","2,107,061,000,000",,-5655000000.0,-721000000.0,-825000000.0,-825000000.0,"161,000,000,000",,,,,,,,,,
6280,GC_Biopharma,제약,2019,Q2,"825,439,938,415","838,472,759,109","1,663,912,697,524","305,040,115,580","311,361,804,039","616,401,919,619","701,385,304,609","1,047,510,777,905",302613543378.0,17908877050.0,3582869957.0,-1034123526.0,-1034123526.0,"58,432,690,000",,,,,,,,,,
