year,quarter,disclosure_date,code,name,sector,url
2022,Q3,2022-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=CIWFRYl6NeY
2022,Q4,2023-03-17,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=nB_b8wJY0WI
2023,Q1,2023-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=olMCFbKV5yc
2023,Q2,2023-08-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=kpSltcVW9Ko
2023,Q3,2023-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=UWWXe06QYHE
2023,Q4,2024-03-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=DnjYcJ0zdP8
2024,Q1,2024-05-16,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=VS6HeqlOuLI
2024,Q2,2024-08-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=RQ-0_l8VRDU
2024,Q3,2024-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=yrAX-LC14nI
2016,Q1,2016-05-16,150,두산,산업재,https://www.youtube.com/watch?v=jVi6AW4lGUU
2016,Q2,2016-08-16,150,두산,산업재,https://www.youtube.com/watch?v=cEKG1cn9UD4
2016,Q3,2016-11-14,150,두산,산업재,
2016,Q4,2017-03-31,150,두산,산업재,https://www.youtube.com/watch?v=Im7lkQQMxlU
2017,Q1,2017-05-15,150,두산,산업재,https://www.youtube.com/watch?v=3k_5qyfvgtU
2017,Q2,2017-08-11,150,두산,산업재,
2017,Q3,2017-11-14,150,두산,산업재,https://www.youtube.com/watch?v=7w3WrjT17mE
2017,Q4,2018-03-30,150,두산,산업재,https://www.youtube.com/watch?v=KnjkNuNqFCE
2018,Q1,2018-05-15,150,두산,산업재,
2018,Q2,2018-08-14,150,두산,산업재,
2018,Q3,2018-11-14,150,두산,산업재,
2018,Q4,2019-03-29,150,두산,산업재,https://www.youtube.com/watch?v=Z3YyHSey8OQ
2019,Q1,2019-05-15,150,두산,산업재,https://www.youtube.com/watch?v=nrMavPQ6ajY
2019,Q2,2019-08-14,150,두산,산업재,
2019,Q3,2019-11-14,150,두산,산업재,
2019,Q4,2020-03-30,150,두산,산업재,https://www.youtube.com/watch?v=3wlknRkkiic
2020,Q1,2020-05-15,150,두산,산업재,https://www.youtube.com/watch?v=LRfxWrDRVXg
2020,Q2,2020-08-14,150,두산,산업재,
2020,Q3,2020-11-16,150,두산,산업재,https://www.youtube.com/watch?v=yOC7tzbPWAs
2020,Q4,2021-03-22,150,두산,산업재,https://www.youtube.com/watch?v=nkmPLKIt9Q8
2021,Q1,2021-05-14,150,두산,산업재,
2021,Q2,2021-08-13,150,두산,산업재,
2021,Q3,2021-11-12,150,두산,산업재,https://www.youtube.com/watch?v=y3hcQcyrJQ0
2021,Q4,2022-03-22,150,두산,산업재,https://www.youtube.com/watch?v=TKWdj0t6aZU
2022,Q1,2022-05-16,150,두산,산업재,https://www.youtube.com/watch?v=Pp_a1sAm5-E
2022,Q2,2022-08-16,150,두산,산업재,
2022,Q3,2022-11-14,150,두산,산업재,
2022,Q4,2023-03-21,150,두산,산업재,https://www.youtube.com/watch?v=mXFqgFbrL4w
2023,Q1,2023-05-15,150,두산,산업재,
2023,Q2,2023-08-14,150,두산,산업재,https://www.youtube.com/watch?v=SyQxjvcniW0
2023,Q3,2023-11-14,150,두산,산업재,https://www.youtube.com/watch?v=TuKQ-28z_Ck
2023,Q4,2024-03-20,150,두산,산업재,https://www.youtube.com/watch?v=lkQ7hkOdImI
2024,Q1,2024-05-16,150,두산,산업재,
2024,Q2,2024-08-14,150,두산,산업재,https://www.youtube.com/watch?v=W6bGOsi3vUM
2024,Q3,2024-11-14,150,두산,산업재,
2016,Q1,2016-05-16,1120,LG상사,산업재,https://www.youtube.com/watch?v=RVaE93FgD-E
2016,Q2,2016-08-16,1120,LG상사,산업재,https://www.youtube.com/watch?v=f6Y2dibWSbE
2016,Q3,2016-11-14,1120,LG상사,산업재,https://www.youtube.com/watch?v=Quz3pT4iQGw
2016,Q4,2017-03-31,1120,LG상사,산업재,
2017,Q1,2017-05-15,1120,LG상사,산업재,
2017,Q2,2017-08-14,1120,LG상사,산업재,
2017,Q3,2017-11-14,1120,LG상사,산업재,https://www.youtube.com/watch?v=gV91XzNXafQ
2017,Q4,2018-03-30,1120,LG상사,산업재,
2018,Q1,2018-05-15,1120,LG상사,산업재,https://www.youtube.com/watch?v=DZ0QHsfUm00
2018,Q2,2018-08-14,1120,LG상사,산업재,https://www.youtube.com/watch?v=1LV4Y-VM8ew
2018,Q3,2018-11-14,1120,LG상사,산업재,https://www.youtube.com/watch?v=86TNTkV29jw
2018,Q4,2019-04-01,1120,LG상사,산업재,https://www.youtube.com/watch?v=uGluulg0dZA
2019,Q1,2019-05-15,1120,LG상사,산업재,https://www.youtube.com/watch?v=jBV7WLMqzs4
2019,Q2,2019-08-14,1120,LG상사,산업재,
2019,Q3,2019-11-14,1120,LG상사,산업재,
2019,Q4,2020-03-30,1120,LG상사,산업재,
2020,Q1,2020-05-14,1120,LG상사,산업재,https://www.youtube.com/watch?v=Qu3LFP1pYIA
2020,Q2,2020-08-14,1120,LG상사,산업재,
2020,Q3,2020-11-16,1120,LG상사,산업재,https://www.youtube.com/watch?v=yodrrCe80kM
2020,Q4,2021-03-16,1120,LG상사,산업재,https://www.youtube.com/watch?v=E_3wUwup17I
2021,Q1,2021-05-17,1120,LG상사,산업재,https://www.youtube.com/watch?v=DZd8VrXK73Q
2021,Q2,2021-08-17,1120,LG상사,산업재,https://www.youtube.com/watch?v=ti8TjEVmQ_g
2021,Q3,2021-11-15,1120,LG상사,산업재,
2021,Q4,2022-03-16,1120,LG상사,산업재,https://www.youtube.com/watch?v=hKtbHNUmRlA
2022,Q1,2022-05-16,1120,LG상사,산업재,
2022,Q2,2022-08-16,1120,LG상사,산업재,
2022,Q3,2022-11-14,1120,LG상사,산업재,
2022,Q4,2023-03-15,1120,LG상사,산업재,https://www.youtube.com/watch?v=2dvs6mnBX_Y
2023,Q1,2023-05-15,1120,LG상사,산업재,
2023,Q2,2023-08-14,1120,LG상사,산업재,https://www.youtube.com/watch?v=dMZW0HCfzF0&t=20s
2023,Q3,2023-11-14,1120,LG상사,산업재,
2023,Q4,2024-03-13,1120,LG상사,산업재,
2024,Q1,2024-05-16,1120,LG상사,산업재,
2024,Q2,2024-08-14,1120,LG상사,산업재,
2024,Q3,2024-11-14,1120,LG상사,산업재,
2016,Q1,2016-05-16,3490,대한항공,산업재,https://www.youtube.com/watch?v=TJbinZD9IOo
2016,Q2,2016-08-12,3490,대한항공,산업재,https://www.youtube.com/watch?v=DbQ8WrYZTZs
2016,Q3,2016-11-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=2R8BRYVScd4
2016,Q4,2017-03-31,3490,대한항공,산업재,https://www.youtube.com/watch?v=jXmMHJJ-MTY
2017,Q1,2017-05-11,3490,대한항공,산업재,https://www.youtube.com/watch?v=Kx2Dj1nX__U
2017,Q2,2017-08-10,3490,대한항공,산업재,https://www.youtube.com/watch?v=T8GyFFpfbws
2017,Q3,2017-11-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=OBx_G02VfEE
2017,Q4,2018-03-30,3490,대한항공,산업재,https://www.youtube.com/watch?v=W5DBS7yYtm8
2018,Q1,2018-05-15,3490,대한항공,산업재,https://www.youtube.com/watch?v=F3DbWw9QV8A
2018,Q2,2018-08-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=-8BYvfiGtU0
2018,Q3,2018-11-13,3490,대한항공,산업재,https://www.youtube.com/watch?v=bFm7Kogu0uU
2018,Q4,2019-04-01,3490,대한항공,산업재,https://www.youtube.com/watch?v=B7HhjDcs7QQ
2019,Q1,2019-05-15,3490,대한항공,산업재,https://www.youtube.com/watch?v=rVCJ43Yq3As
2019,Q2,2019-08-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=wdvd6Y2_X9Y
2019,Q3,2019-11-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=vxXwkCJir_c
2019,Q4,2020-03-30,3490,대한항공,산업재,https://www.youtube.com/watch?v=C88jFJ-bKow
2020,Q1,2020-05-15,3490,대한항공,산업재,https://www.youtube.com/watch?v=o7sjE9Bn-Xk
2020,Q2,2020-08-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=U4-B8svgccw
2020,Q3,2020-11-16,3490,대한항공,산업재,https://www.youtube.com/watch?v=8Vw1oWrdbcc
2020,Q4,2021-03-18,3490,대한항공,산업재,https://www.youtube.com/watch?v=bG5vh1PBWsU
2021,Q1,2021-05-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=pUcYXknYdjg
2021,Q2,2021-08-13,3490,대한항공,산업재,https://www.youtube.com/watch?v=ulcHaaLRcnY
2021,Q3,2021-11-12,3490,대한항공,산업재,https://www.youtube.com/watch?v=Tr2r7jzoV70
2021,Q4,2022-03-15,3490,대한항공,산업재,https://www.youtube.com/watch?v=23hFaVN-EbA
2022,Q1,2022-05-13,3490,대한항공,산업재,https://www.youtube.com/watch?v=ngbFkpVaZFU
2022,Q2,2022-08-12,3490,대한항공,산업재,https://www.youtube.com/watch?v=syH0UoIKJQ8
2022,Q3,2022-11-11,3490,대한항공,산업재,https://www.youtube.com/watch?v=k_mauSpaJfI
2022,Q4,2023-03-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=vRlnnh-dIOU
2023,Q1,2023-05-12,3490,대한항공,산업재,https://www.youtube.com/watch?v=1Dl0i1sE_vw
2023,Q2,2023-08-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=LhXsrHalR48
2023,Q3,2023-11-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=R5dgb6Sgx_c
2023,Q4,2024-03-13,3490,대한항공,산업재,https://www.youtube.com/watch?v=8m4AVT7uFiY
2024,Q1,2024-05-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=JX-pdw9Xwko
2024,Q2,2024-08-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=wotJacfftBg
2024,Q3,2024-11-14,3490,대한항공,산업재,https://www.youtube.com/watch?v=n4IdVygt8Qo
2016,Q1,2016-05-09,3570,S&T중공업,산업재,
2016,Q2,2016-08-04,3570,S&T중공업,산업재,
2016,Q3,2016-11-09,3570,S&T중공업,산업재,
2016,Q4,2017-03-08,3570,S&T중공업,산업재,
2017,Q1,2017-05-10,3570,S&T중공업,산업재,
2017,Q2,2017-08-08,3570,S&T중공업,산업재,
2017,Q3,2017-11-08,3570,S&T중공업,산업재,
2017,Q4,2018-03-14,3570,S&T중공업,산업재,
2018,Q1,2018-05-11,3570,S&T중공업,산업재,
2018,Q2,2018-08-10,3570,S&T중공업,산업재,
2018,Q3,2018-11-13,3570,S&T중공업,산업재,
2018,Q4,2019-02-28,3570,S&T중공업,산업재,
2019,Q1,2019-05-10,3570,S&T중공업,산업재,
2019,Q2,2019-08-12,3570,S&T중공업,산업재,
2019,Q3,2019-11-08,3570,S&T중공업,산업재,
2019,Q4,2020-03-02,3570,S&T중공업,산업재,
2020,Q1,2020-05-13,3570,S&T중공업,산업재,
2020,Q2,2020-08-11,3570,S&T중공업,산업재,
2020,Q3,2020-11-10,3570,S&T중공업,산업재,https://www.youtube.com/watch?v=ltnid-HDSuA
2020,Q4,2021-02-18,3570,S&T중공업,산업재,
2021,Q1,2021-05-11,3570,S&T중공업,산업재,
2021,Q2,2021-08-10,3570,S&T중공업,산업재,
2021,Q3,2021-11-10,3570,S&T중공업,산업재,
2021,Q4,2022-02-18,3570,S&T중공업,산업재,
2022,Q1,2022-05-11,3570,S&T중공업,산업재,https://www.youtube.com/watch?v=KiOBbY2tJ0c
2022,Q2,2022-08-11,3570,S&T중공업,산업재,https://www.youtube.com/watch?v=tN222rCnnbs
2022,Q3,2022-11-10,3570,S&T중공업,산업재,
2022,Q4,2023-02-20,3570,S&T중공업,산업재,https://www.youtube.com/watch?v=61EaHlGtz7Q
2023,Q1,2023-05-11,3570,S&T중공업,산업재,
2023,Q2,2023-08-10,3570,S&T중공업,산업재,
2023,Q3,2023-11-09,3570,S&T중공업,산업재,https://www.youtube.com/watch?v=2WaosKjeItk
2023,Q4,2024-02-21,3570,S&T중공업,산업재,
2024,Q1,2024-05-09,3570,S&T중공업,산업재,
2024,Q2,2024-08-08,3570,S&T중공업,산업재,
2024,Q3,2024-11-07,3570,S&T중공업,산업재,
2016,Q1,2016-05-11,6260,LS,산업재,https://www.youtube.com/watch?v=8V4i1_d7v5I
2016,Q2,2016-08-12,6260,LS,산업재,
2016,Q3,2016-11-14,6260,LS,산업재,https://www.youtube.com/watch?v=UWzx09ItvMM
2016,Q4,2017-03-31,6260,LS,산업재,
2017,Q1,2017-05-15,6260,LS,산업재,
2017,Q2,2017-08-14,6260,LS,산업재,
2017,Q3,2017-11-14,6260,LS,산업재,
2017,Q4,2018-04-02,6260,LS,산업재,
2018,Q1,2018-05-15,6260,LS,산업재,
2018,Q2,2018-08-14,6260,LS,산업재,
2018,Q3,2018-11-14,6260,LS,산업재,
2018,Q4,2019-04-01,6260,LS,산업재,
2019,Q1,2019-05-15,6260,LS,산업재,
2019,Q2,2019-08-14,6260,LS,산업재,
2019,Q3,2019-11-14,6260,LS,산업재,https://www.youtube.com/watch?v=vd8FEMO-ik0
2019,Q4,2020-03-30,6260,LS,산업재,
2020,Q1,2020-05-15,6260,LS,산업재,
2020,Q2,2020-08-14,6260,LS,산업재,
2020,Q3,2020-11-16,6260,LS,산업재,
2020,Q4,2021-03-19,6260,LS,산업재,
2021,Q1,2021-05-17,6260,LS,산업재,
2021,Q2,2021-08-17,6260,LS,산업재,
2021,Q3,2021-11-15,6260,LS,산업재,https://www.youtube.com/watch?v=ghjVk1BXKZQ
2021,Q4,2022-03-21,6260,LS,산업재,
2022,Q1,2022-05-16,6260,LS,산업재,https://www.youtube.com/watch?v=hT423uWn5sE
2022,Q2,2022-08-16,6260,LS,산업재,https://www.youtube.com/watch?v=eyeyz_25O0s
2022,Q3,2022-11-14,6260,LS,산업재,https://www.youtube.com/watch?v=-YiXoYbMx2U
2022,Q4,2023-03-21,6260,LS,산업재,https://www.youtube.com/watch?v=xnCTnd32O7M
2023,Q1,2023-05-15,6260,LS,산업재,https://www.youtube.com/watch?v=MSn1DEWdN8Y
2023,Q2,2023-08-14,6260,LS,산업재,https://www.youtube.com/watch?v=XNYY526ii38
2023,Q3,2023-11-14,6260,LS,산업재,https://www.youtube.com/watch?v=W26zIYfp-rM
2023,Q4,2024-03-20,6260,LS,산업재,https://www.youtube.com/watch?v=2OOBLTljQwg
2024,Q1,2024-05-16,6260,LS,산업재,https://www.youtube.com/watch?v=_2QXrgFbjGU
2024,Q2,2024-08-14,6260,LS,산업재,https://www.youtube.com/watch?v=R6sqzovnVNI
2024,Q3,2024-11-14,6260,LS,산업재,https://www.youtube.com/watch?v=L5b62fDDNKs
2016,Q1,2016-05-16,8060,대덕전자,정보기술,
2016,Q2,2016-08-16,8060,대덕전자,정보기술,
2016,Q3,2016-11-14,8060,대덕전자,정보기술,
2016,Q4,2017-03-31,8060,대덕전자,정보기술,
2017,Q1,2017-05-15,8060,대덕전자,정보기술,
2017,Q2,2017-08-14,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=IcTmjZNyGL0&t=48s
2017,Q3,2017-11-14,8060,대덕전자,정보기술,
2017,Q4,2018-04-02,8060,대덕전자,정보기술,
2018,Q1,2018-05-15,8060,대덕전자,정보기술,
2018,Q2,2018-08-14,8060,대덕전자,정보기술,
2018,Q3,2018-11-14,8060,대덕전자,정보기술,
2018,Q4,2019-04-01,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=vcPAv94q7uM
2019,Q1,2019-05-15,8060,대덕전자,정보기술,https://youtu.be/MjF_LWtSKHE?si=IWctuaiojPPo-KhV
2019,Q2,2019-08-14,8060,대덕전자,정보기술,
2019,Q3,2019-11-14,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=fDXANBZmPEA
2019,Q4,2020-03-30,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=tJfz-ldYuHE
2020,Q1,2020-05-15,8060,대덕전자,정보기술,https://youtu.be/GYtYF2O7QLo?si=yaDNxnySQGCfUZpA
2020,Q2,2020-08-14,8060,대덕전자,정보기술,https://youtu.be/Kifv9m_XG9A?si=sUZjmo-my9pIlT_o
2020,Q3,2020-11-16,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=eoTI4_TYZuk
2020,Q4,2021-03-18,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=-nWsRrx_IY0
2021,Q1,2021-05-17,8060,대덕전자,정보기술,https://youtu.be/dvfrPQeGXVo?si=akhqg47NcEpdeLn7
2021,Q2,2021-08-17,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=dXYz1tewDk8
2021,Q3,2021-11-12,8060,대덕전자,정보기술,https://youtu.be/PgoQfAtaWbc?si=IZgOVIUwu-Tk4d8Z
2021,Q4,2022-03-17,8060,대덕전자,정보기술,
2022,Q1,2022-05-16,8060,대덕전자,정보기술,
2022,Q2,2022-08-16,8060,대덕전자,정보기술,
2022,Q3,2022-11-14,8060,대덕전자,정보기술,
2022,Q4,2023-03-16,8060,대덕전자,정보기술,
2023,Q1,2023-05-15,8060,대덕전자,정보기술,
2023,Q2,2023-08-14,8060,대덕전자,정보기술,
2023,Q3,2023-11-14,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=1ZYqgxRz8j4
2023,Q4,2024-03-21,8060,대덕전자,정보기술,
2024,Q1,2024-05-14,8060,대덕전자,정보기술,
2024,Q2,2024-08-14,8060,대덕전자,정보기술,
2024,Q3,2024-11-14,8060,대덕전자,정보기술,https://www.youtube.com/watch?v=5MPqKiOWesc
2016,Q1,2016-05-16,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=oT_-lM_9eoc
2016,Q2,2016-08-16,9150,삼성전기,정보기술,
2016,Q3,2016-11-14,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=DvKOzc0a_bs
2016,Q4,2017-03-31,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=Lv8BsFXZPew
2017,Q1,2017-05-15,9150,삼성전기,정보기술,
2017,Q2,2017-08-14,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=EWUvx5Ee1jo
2017,Q3,2017-11-14,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=zHirSUd_Sg4
2017,Q4,2018-04-02,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=DjpLmJbYXWc
2018,Q1,2018-05-15,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=HftZ58fuJ7U
2018,Q2,2018-08-14,9150,삼성전기,정보기술,https://youtu.be/5I6TgYzPHKA?si=mKqTiAtiNq21ZtGM
2018,Q3,2018-11-14,9150,삼성전기,정보기술,https://youtu.be/FpHK4msCtzU?si=t-zO4aJd5Q_VjeGK
2018,Q4,2019-04-01,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=1gfVZ6Egqgs
2019,Q1,2019-05-15,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=dUGLzUjM4fY
2019,Q2,2019-08-14,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=ydEdlcM_050
2019,Q3,2019-11-14,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=semzmbCKd7E
2019,Q4,2020-03-30,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=ReASNfoUm-o
2020,Q1,2020-05-15,9150,삼성전기,정보기술,https://youtu.be/uIJ-iFpffiY?si=Kx6Y7qBeSFuij00n
2020,Q2,2020-08-14,9150,삼성전기,정보기술,https://youtu.be/w8xzZckR_ds?si=-U3uwZCrxjfWNEpP
2020,Q3,2020-11-16,9150,삼성전기,정보기술,https://youtu.be/CdBQCgfeq6U?si=xgS4NTgH4VrdQC5w
2020,Q4,2021-03-09,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=pLn3hm32z_Y
2021,Q1,2021-05-17,9150,삼성전기,정보기술,https://youtu.be/efuG3THagUI?si=A7h_6esgnY82_YLl
2021,Q2,2021-08-17,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=eDfu23UiSEc
2021,Q3,2021-11-15,9150,삼성전기,정보기술,https://youtu.be/NLmuH9hs074?si=lphwNkCBHIIF4k5Z
2021,Q4,2022-03-08,9150,삼성전기,정보기술,
2022,Q1,2022-05-16,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=fklVWQTSiOw
2022,Q2,2022-08-16,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=DhkmnHjqkUk
2022,Q3,2022-11-14,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=DCVuPXF6iDY
2022,Q4,2023-03-07,9150,삼성전기,정보기술,https://youtu.be/QXc_7AiVogk?si=7aUSic_udIee0QsO
2023,Q1,2023-05-15,9150,삼성전기,정보기술,https://youtu.be/4Nq5sXBB-CM?si=4uu-inbCZyMi1v2N
2023,Q2,2023-08-14,9150,삼성전기,정보기술,
2023,Q3,2023-11-14,9150,삼성전기,정보기술,
2023,Q4,2024-03-12,9150,삼성전기,정보기술,https://youtu.be/XPa5ElOLraU?si=Nrqij-joR5hZapi4
2024,Q1,2024-05-16,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=ukoocWwox_0
2024,Q2,2024-08-14,9150,삼성전기,정보기술,https://www.youtube.com/watch?v=q5YKh-DUb6w
2024,Q3,2024-11-14,9150,삼성전기,정보기술,https://youtu.be/K463sWHLC9Q?si=QruyqSR9qmsakuTu
2016,Q1,2016-05-16,10120,LS산전,산업재,
2016,Q2,2016-08-12,10120,LS산전,산업재,
2016,Q3,2016-11-14,10120,LS산전,산업재,
2016,Q4,2017-03-31,10120,LS산전,산업재,https://www.youtube.com/watch?v=-5_8gWnoKDg
2017,Q1,2017-05-15,10120,LS산전,산업재,
2017,Q2,2017-08-11,10120,LS산전,산업재,
2017,Q3,2017-11-14,10120,LS산전,산업재,
2017,Q4,2018-03-30,10120,LS산전,산업재,https://www.youtube.com/watch?v=fGqnP4e_7us
2018,Q1,2018-05-15,10120,LS산전,산업재,
2018,Q2,2018-08-14,10120,LS산전,산업재,https://www.youtube.com/watch?v=0CIzSJcuNwU
2018,Q3,2018-11-14,10120,LS산전,산업재,https://www.youtube.com/watch?v=l1peeXHp1rg
2018,Q4,2019-04-01,10120,LS산전,산업재,
2019,Q1,2019-05-15,10120,LS산전,산업재,
2019,Q2,2019-08-14,10120,LS산전,산업재,
2019,Q3,2019-11-14,10120,LS산전,산업재,
2019,Q4,2020-03-30,10120,LS산전,산업재,https://www.youtube.com/watch?v=2iUOCvUSfw4
2020,Q1,2020-05-15,10120,LS산전,산업재,
2020,Q2,2020-08-14,10120,LS산전,산업재,
2020,Q3,2020-11-16,10120,LS산전,산업재,https://www.youtube.com/watch?v=yHY_ie1ozUg
2020,Q4,2021-03-19,10120,LS산전,산업재,
2021,Q1,2021-05-17,10120,LS산전,산업재,
2021,Q2,2021-08-17,10120,LS산전,산업재,
2021,Q3,2021-11-15,10120,LS산전,산업재,https://www.youtube.com/watch?v=mSgGIwt5Oa4
2021,Q4,2022-03-18,10120,LS산전,산업재,
2022,Q1,2022-05-16,10120,LS산전,산업재,
2022,Q2,2022-08-16,10120,LS산전,산업재,https://www.youtube.com/watch?v=AStqGnGWhEM&pp=ygUPI2xz7YC166eI7Iqk7YSw
2022,Q3,2022-11-14,10120,LS산전,산업재,
2022,Q4,2023-03-20,10120,LS산전,산업재,
2023,Q1,2023-05-15,10120,LS산전,산업재,
2023,Q2,2023-08-14,10120,LS산전,산업재,
2023,Q3,2023-11-14,10120,LS산전,산업재,
2023,Q4,2024-03-13,10120,LS산전,산업재,
2024,Q1,2024-05-14,10120,LS산전,산업재,https://www.youtube.com/watch?v=RJfkxLbchBg
2024,Q2,2024-08-14,10120,LS산전,산업재,https://www.youtube.com/watch?v=n8eyiErhQls
2024,Q3,2024-11-14,10120,LS산전,산업재,https://www.youtube.com/watch?v=R_aAXxw_tEs
2016,Q1,2016-05-16,11070,LG이노텍,정보기술,
2016,Q2,2016-08-16,11070,LG이노텍,정보기술,
2016,Q3,2016-11-14,11070,LG이노텍,정보기술,
2016,Q4,2017-03-31,11070,LG이노텍,정보기술,
2017,Q1,2017-05-15,11070,LG이노텍,정보기술,https://www.youtube.com/watch?v=KYCkqVM2dxw&t=326s
2017,Q2,2017-08-14,11070,LG이노텍,정보기술,
2017,Q3,2017-11-14,11070,LG이노텍,정보기술,https://www.youtube.com/watch?v=ZEdBUiG8URY
2017,Q4,2018-04-02,11070,LG이노텍,정보기술,https://www.youtube.com/watch?v=FX_2SabtiJ0
2018,Q1,2018-05-15,11070,LG이노텍,정보기술,https://www.youtube.com/watch?v=dVoQ3nT0oGU
2018,Q2,2018-08-14,11070,LG이노텍,정보기술,
2018,Q3,2018-11-14,11070,LG이노텍,정보기술,https://www.youtube.com/watch?v=PLwOdV0L5iI
2018,Q4,2019-04-01,11070,LG이노텍,정보기술,https://www.youtube.com/watch?v=-7dDids-RKg
