,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,주주 수변화율,전체 주식 수변화율,전체 주주 수변화율,1인평균급여변화율,Label,Code
28,LS_Corp,Conglomerate,2017,Q3,-0.05769875156795279,0.00028763802587128406,0.007628593333580236,0.02044886279882674,-0.017147648460170695,0.02453135938817967,-0.007238780593051164,-0.02250347273169484,-0.014161146064696428,-0.023045071812679563,0.07035358241758248,006260
28,GC_Biopharma,Healthcare,2017,Q3,-0.027724790464903837,-0.04289226405409585,-0.08734557332688708,-0.31791728018393495,-0.008348812567213981,-0.00650984601182425,-0.01199210415809393,-0.024460177581272724,-0.017476831430310202,-0.03522086243727629,0.13365028571428578,006280
29,Samsung_SDI,Technology,2017,Q3,0.0014852049628781838,-0.014718973313954775,-0.17657987721387203,2.0047996410683475,0.009967305032854146,0.1352974049368339,-0.03338197697241929,-0.00607051496349853,-0.00907948489757393,-0.006267194321688541,0.14200576744186053,006400
29,Korea_Petrochemical_Ind,Materials_&_Chemicals,2017,Q3,-0.052000121870080296,-0.06798598442589987,-1.3665624956437998,8.092908875740726,-0.03357623633296081,-0.07900093369872635,-0.02598852322843559,0.03747675013623264,0.023922271499453474,-0.13278593261761218,-0.03568604724409443,006650
28,GS_Retail,Consumer_Goods_&_Retail,2017,Q3,-0.025992498150269716,-0.20868888073993896,-0.09198423932390143,-0.14135469522525956,-0.034328922986819776,-0.13201196044943236,0.02350093040596979,-0.04697120559375656,-0.034260014312004206,-0.10436270457790409,-0.3463585324292054,007070
28,Ottogi,Agriculture_&_Food,2017,Q3,-0.043153754283325574,-0.04377309248607508,-0.12286100376402054,-0.06835249076226235,-0.002609117359891222,-0.07342480463900644,-0.012124073644658395,-0.025962324175538454,-0.02941400063591959,-0.047343485876435,-0.09341568961201495,007310
28,Dong-A_Tire,Automotive_&_Parts,2017,Q3,0.5790146101196731,-0.007624331064657319,0.5497327084838763,0.9537014593218328,0.5679395638582181,-0.03861607766255237,0.01089608318596369,-0.37688234331343784,-0.32093333244611477,0.3679286268385773,-0.1222930768881832,007340
28,Ilyang_Pharmaceutical,Healthcare,2017,Q3,0.012391030827840654,0.48168835239583785,-0.4809088578093359,0.012430575792816367,0.005917239601145541,-0.0178840257382029,-0.013357114953540306,-0.027144909951529295,-0.02553858630520689,-0.006738613206612953,-0.1983385098039215,007570
29,Kukdo_Chemical,Materials_&_Chemicals,2017,Q3,-0.021750534546543854,-0.03191057799205366,-0.00727123388271167,-0.04924890888989175,-0.05459772540253893,-0.04143257659822876,-0.04987384085564939,-0.034512425608802966,-0.03698466861565297,-0.01984296055469814,0.039373141943891285,007690
28,Seoyon,Automotive_&_Parts,2017,Q3,0.010060273787659613,0.0057905415125232285,-0.04698989107475815,-2.717921533758002,-0.002142506703512348,-0.05891252893118353,-0.004263666087720441,-0.017425580455388667,-0.01756658953941126,-0.001690983841681648,-0.319970976744186,007860
28,Daeduck_Electronics,Technology,2017,Q3,-0.019155514301728793,-0.46984267547916514,-0.12358722610799289,-0.8273348714586517,-0.09941361145023841,0.055753503097684357,-0.08612078908864929,-0.11418756829464471,-0.10939219436578851,-0.11410285375304996,-0.030077149599207362,008060
28,Seohung,Automotive_&_Parts,2017,Q3,-0.05726735596964527,-0.019254707192618792,0.0009369094924240873,0.23243385751893308,-0.0530191219539613,-0.1609321540804489,-0.0026978686894403303,-0.0016129359762793172,0.021877558068902347,-0.012003095392213892,-0.0806914509803921,008490
28,Hotel_Shilla,Consumer_Services,2017,Q3,-0.027693607165587775,-0.21092112946905583,-0.20501956278052869,-0.44745231309274347,-0.05039251012524115,0.14886941431168443,-0.02660811871150237,-0.05193063846196355,-0.07325027564382758,-0.04955157127118204,0.00010991304347831958,008770
29,Samsung_Electro-Mechanics,Technology,2017,Q3,0.013803860043424154,0.7829167868269588,-0.010347441345526898,1.3404221925508004,-0.014439548713898187,0.34968663889128526,0.025523094474404706,0.022600441518481285,0.02576389248606914,0.007277013818145273,-0.007137891625615705,009150
28,Hanssem,Consumer_Goods_&_Retail,2017,Q3,-0.08659589586989735,-0.07230290682485885,-0.09483202448174,-0.49026905264809373,-0.0044554162549035325,-0.2748770327312099,-0.00015121731738010347,-0.03340480541680235,0.013273680596186721,-0.06734909441735804,-0.18419514754098354,009240
28,Kwang_Dong_Pharmaceutical,Healthcare,2017,Q3,-0.021683429933276432,-0.0332295676181289,0.014489517500373306,-1.0974839322967314,-0.015625266164013496,-0.12761299316758531,-0.025328693798304602,-0.02626444287043883,-0.02609018580844369,-0.02243573361265705,-0.08634971428571422,009290
28,Hyundai_Heavy_Industries,Industrials_&_Machinery,2017,Q3,-0.0002911777786975822,-0.00043114948031508504,0.25931975111864625,0.3651469449712472,0.018970731730170165,0.0,0.014015529785230463,-0.0867103868103043,-0.030750090574600764,-0.008897160169381024,-0.19285248634765825,009540
28,Moorim_P&P,Materials_&_Chemicals,2017,Q3,-0.012703567168402818,-0.026031808772683185,-0.009250878372501603,-0.4938252341664606,0.012234239971422256,0.07314984235448872,-0.004712791835336239,-0.0014426943851728602,-0.0037703920109799505,-0.003289569173209994,-0.1408983558282208,009580
28,Motonic,Automotive_&_Parts,2017,Q3,-0.009559473261603557,-0.019255659155854588,0.11675102141132387,0.3558081853861943,-0.010831006966022905,0.10158332977102698,-0.016401748822434392,-0.007046832660177582,-0.0056159355545732925,-0.007455813314623416,-0.09617614953271021,009680
28,Hanwha_Solutions,Materials_&_Chemicals,2017,Q3,-0.022567892652000987,-0.03423232425977041,-0.023611129704476985,-0.0323505164910427,0.0025847390138473703,0.03002159032599687,-0.029624722934568748,-0.041781461763034766,-0.03458215332125403,0.006302102580282409,0.06785234102041945,009830
28,OCI,Materials_&_Chemicals,2017,Q3,-0.015891708350999068,-0.0192145131508914,-0.10615071596653158,-0.5279974999505104,0.011014807966960749,-0.057090039332278596,-0.03489716810954335,-0.020364916423345925,-0.03488931794493766,0.016138494375891876,0.15138641351826201,010060
28,LS_Electric,Industrials_&_Machinery,2017,Q3,-0.03582339908479515,-0.040760434630722875,-0.028199051932781938,-0.3925251183312004,0.007804979785774879,0.07349616270080907,-0.010907862111055433,-0.015334598564284763,-0.012620392792159985,-0.006482404461442437,-0.04252994982078847,010120
28,Korea_Zinc,Materials_&_Chemicals,2017,Q3,-0.02864998346927372,-0.02538100287728473,0.03322537326208286,0.24464961885700498,0.045585318839780564,-0.03451504178098365,-0.0467864882815856,-0.0466944559568272,-0.044980211820526916,-0.027384026806485107,0.07455880701754393,010130
28,Samsung_Heavy Industries,Industrials_&_Machinery,2017,Q3,-0.003635712105668709,-0.006806166098906941,0.24669991549338421,0.30438570656564756,0.010685767193914453,0.009386340438929955,0.11402527323761624,0.12649997964684145,0.10530491446071333,0.10186619508113703,-0.1229950969217573,010140
28,Hyundai_Mipo_Dockyard,Industrials_&_Machinery,2017,Q3,0.03213223707160873,-0.10927614771719263,0.2542362903316745,-0.05744506986976661,0.12462027170280976,0.12417468690529794,0.09614944336055464,0.10056423811191084,0.0909967839153265,0.08285465191450692,-0.16432463829787228,010620
28,Hwashin,Automotive_&_Parts,2017,Q3,0.0010528775023557202,0.006035584270214223,-0.19004760617173888,-0.1842408481201554,-0.022332538194095752,-0.11210738104226955,-0.07694161980974057,-0.06899531962940553,-0.06038974880575587,-0.0174186829108387,-0.2550546542056074,010690
