,name,sector,year,quarter,Relative Return,자본총계 변화율,이익잉여금 변화율,실업률 변화율,환율 변화율,자기주식수 변화율,특정 증권 등 소유 증감 수 변화율,전체 주주 수 변화율,전체 주식 수 변화율,발행금액 변화율,Label,Code
19,Binggrae,음식료·담배,2019,Q4,-0.13591138924109986,0.0008173599443789259,-0.003643609933263514,0.05357142857142849,0.015711916865137066,-0.5746505264744071,0.0,0.024391397440503004,0.024391397440502893,0.0,-0.1088710847004906,005180
19,Lotte_Chilsung_Beverage,음식료·담배,2019,Q4,-0.17081676344693414,0.07801054255203954,0.05298794476701074,0.05357142857142849,0.015711916865137066,-3.910068642026224,0.024447102280021227,0.024447102280021116,0.024447102280021116,0.024447102280021227,-0.052490515860822845,005300
19,Hyundai_Motor,운송장비·부품,2019,Q4,-0.03140047194295244,0.0008859195081727389,-0.0019474733478597184,0.05357142857142849,0.015711916865137066,-0.37395412363842606,0.039290556479715355,0.03537191624193081,0.008366220681756964,0.0,-0.17513459473651738,005380
19,Hyundai_Green_Food,기타금융,2019,Q4,-0.09861614147942517,0.0007319370565819217,0.008536778670389156,0.05357142857142849,0.015711916865137066,-0.4550819927109917,0.024386790295239158,0.024386790295239047,0.024386790295239047,-0.39377166615676473,-0.057052559656443284,005440
19,POSCO_Holdings,금속,2019,Q4,-0.05936859829307618,0.01557747412083288,0.016871556009375732,0.05357142857142849,0.015711916865137066,0.012234578312199207,0.08889755300836244,0.047527054610025044,0.022491230192059897,0.0,-0.030238215704525007,005490
19,SPC_Samlip,음식료·담배,2019,Q4,-0.003547843806643417,-0.03572723083190943,-0.038013807628310525,0.05357142857142849,0.015711916865137066,-0.7329145690797596,0.0,0.024383807597488927,0.024383807597488816,0.0,-0.17449152525420755,005610
19,Crown_Confectionery,기타금융,2019,Q4,-0.1494006558461668,0.07566817158772465,0.1186616511141052,0.05357142857142849,0.015711916865137066,-0.016760730316659034,0.0,0.024390999573303263,0.02439099957330315,0.0,-0.14165290007083234,005740
19,SL_Corp,운송장비·부품,2019,Q4,0.01130765058554655,-0.008199805090763457,-0.01470140761935923,0.05357142857142849,0.015711916865137066,-1.7418020636183753,0.02437976734420988,0.02437976734420977,0.02437976734420988,-0.2643644975998316,-0.31655700077859616,005850
20,Samsung_Electronics,전기·전자,2019,Q4,0.057505912734716676,-0.0018000441203684936,-0.00707127675397734,0.05357142857142849,0.015711916865137066,0.03686652806194102,0.00804110569124783,-0.0033863552225941174,-0.003048056909729757,0.0,0.06671596839872665,005930
19,SK_Chemicals,기타금융,2019,Q4,-0.17583752338318862,0.12184408696128168,-0.012366150957090705,0.05357142857142849,0.015711916865137066,0.9865506963550109,0.0,0.024401759595306105,0.024401759595306105,-0.3485708794818507,0.10886959247223524,006120
