,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,비유동부채변화율,영업이익변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,Label,Code
5,Bukwang_Pharmaceutical,제약,2023,Q2,-0.008922840037115076,-0.00968414823143382,-0.16824127593416782,-0.002346422841746021,2.3354457774420894,-0.19844136502397766,-0.004869411228690668,-0.005873189796540057,0.0057586877839520545,-0.005693258562438963,-0.15057099938277224,003000
5,SeAH_Steel,기타금융,2023,Q2,-0.0002843576336590825,-0.0002896623968129397,0.8310087795319322,-0.08511688045774246,0.9488611348186115,-0.12107536009891762,-0.03755193000473622,-0.037627380380508724,-0.039976515140554,0.00997118108016637,0.37358656016574016,003030
5,Ilshin_Spinning,섬유·의류,2023,Q2,0.038776862607960316,0.005260058132933287,0.0050632830949755014,0.47125572268742,-0.3966051329766127,0.17309528113054712,-0.026805001034599485,0.053095059888058516,-0.926506462953198,-0.011071234593676316,-0.24093652057505588,003200
5,Taekwang_Industrial,화학,2023,Q2,0.0047014915940828406,0.004268711928042457,0.003391555928538681,-0.010763842521405165,0.18074918106196747,-0.13036771697191965,-0.005455640934921346,-0.006537800857978615,0.0001980166258658267,-0.022223734100550008,-0.16408648663930045,003240
5,Hanil_Cement,비금속,2023,Q2,-0.00026745787459980797,-0.00041733831444967784,0.43394505415686335,0.04111865917564439,0.9901101496926957,-0.04019447921803673,-0.023757478094108997,-0.031203079710490966,-0.07667307934598133,0.4752454786877829,0.016360851537842745,003300
5,Ssangyong_Cement,비금속,2023,Q2,0.03164369051857574,0.022703199331560175,-0.10156659751034502,-0.08812851659977339,4.189469527111399,-0.026410260216426423,0.00926287906208112,0.020300837788398973,0.04266130223729714,0.03568294953755047,-0.19794567526868406,003410
5,Korean_Air,운송·창고,2023,Q2,-0.039418659743064355,-0.14665025810235877,-0.10622919965979638,0.012986122618052764,-0.12768012442475696,-0.08856049228993215,-0.01638044858739085,-0.015255431254724394,0.8803575462294587,-0.009261964012527102,0.006133767606655141,003490
5,Youngjin_Pharmaceutical,제약,2023,Q2,0.018106425723144137,-0.13308315720480968,-0.05249231229830831,0.19733275172014408,1.647113265733473,-0.21541759389898274,-0.004153749988641486,-0.003356858061993151,0.0,-0.0007478827256690579,-0.20440515719744928,003520
5,LG_Corp,기타금융,2023,Q2,-0.0010728530660484292,-0.0056490172669823036,0.804855216670621,0.024052298330729416,0.9164951083740526,-0.05531754680012071,-0.03586327808344514,-0.07455708622900414,0.0,-0.06313362074153761,0.01967321713834394,003550
6,S&T_Heavy_Industries,운송장비·부품,2023,Q2,-0.016789354397600986,-0.013879368588335161,0.014374751399509833,-0.005874689172092662,-0.05380878055271854,-0.17270214612060808,-0.06378022904789904,-0.16074306723351972,0.0,-0.12280151454336719,0.15223841790739995,003570
5,SsangYong_Motor,운송장비·부품,2023,Q2,-0.06488609950873925,0.010834725555669555,0.09571140252831256,-0.03801513827914493,-1.6899986062252972,0.0,-0.02059629834799881,-0.06632999533674844,1.0000663969771988,0.0,0.0,003620
5,Namyang_Dairy_Products,음식료·담배,2023,Q2,-0.0013933423704677317,0.008140505369485407,-0.07029630672807574,-0.05106960747199696,0.568127727404176,0.061055420169087105,0.008887159633899189,0.007909760608891037,0.01201820333592829,-0.00038623388662761826,-0.09321939934588515,003920
5,Samsung_Fine Chemicals,화학,2023,Q2,-0.03038995860925664,-0.03872534376960224,0.17989859470154268,-0.015279955098464804,-0.6161406744279458,-0.06947137516159935,-0.07737310939915787,-0.019288810756004082,0.999604597461883,0.09073543316827426,0.146737777017861,004000
5,Hyundai_Steel,금속,2023,Q2,-0.018149945112600152,-0.02050219584656121,-0.04628851965802294,0.04492725193717151,-0.24356566003423796,0.034533189627279165,0.03535758315919224,0.037112174509528306,-0.02753457483815347,0.018584267158021972,-0.07307960713892717,004020
5,Hansol_Holdings,기타금융,2023,Q2,-0.005355343222728015,-0.007001365636252199,-0.01375121262784873,0.12409790621485373,0.6979239277423737,-0.11488583724272809,0.0015014737587627502,0.0023367726915288767,-0.0012511691788319457,0.005359582534645191,-0.08808827076842242,004150
5,Shinsegae,유통,2023,Q2,0.006349700549203585,-0.003485733921494427,-0.016205326015438226,-0.15646005909803096,0.23022531949785385,-0.1131837155940008,0.004877820880864414,0.007958989003489125,13.410434356147194,0.029888586650057003,-0.2211650484880573,004170
