,name,year,quarter,sector,Relative Return,국제유가 변화율,영업이익 변화율,이익잉여금 변화율,비유동자산 변화율,비유동부채 변화율,매출액 변화율,Label,Code
35,오뚜기,2016,Q1,생활소비재,-0.037608809036820734,-0.22660852268380383,-0.736795861802686,0.024285956279546328,0.0028205161537535606,0.03997772476243289,-0.7270288323207548,-0.13600658228746648,007310
35,아이에스동서,2016,Q1,건설,0.042723943070124934,-0.22660852268380383,-0.518646002673675,0.09218698651830581,-0.03353129647990516,-0.12513504332532288,-0.643851357249769,0.21964518954462248,010780
35,현대산업,2016,Q1,건설,-0.026887637838025513,-0.22660852268380383,-0.8051514502873612,0.0005773383777227803,1.864308760235467e-05,-0.06879031553192438,-0.7957605854605524,-0.043726091106808855,012630
35,한국전력,2016,Q1,생활소비재,0.038853835943549186,-0.22660852268380383,-0.9347345900142384,-0.027924082975037123,0.01457280145140416,-0.047823939472276256,-0.7340957368766374,-0.07216715727288248,015760
35,삼성엔지니어링,2016,Q1,건설,0.03037750572368758,-0.22660852268380383,-0.9737348015299072,-0.15359420741788787,0.052648598147214676,-0.21339998912334646,-0.77654926478933,-0.09026630771118492,028050
35,KT&G,2016,Q1,생활소비재,0.1917513336894438,-0.22660852268380383,-0.7360383559761132,-0.732161079414392,0.0019532149857295344,0.09319289238427997,-0.7514835917804543,-0.14872587673188048,033780
35,무학,2016,Q1,생활소비재,-0.07640884518031038,-0.22660852268380383,-0.8272047356148746,-0.0009394126337783915,-0.03505433045847739,0.0,-0.775626375667578,-0.29197951385410953,033920
35,한국가스공사,2016,Q1,생활소비재,0.12351842649956979,-0.22660852268380383,-0.0949217243163899,0.09867394930916018,-0.007544715840005822,0.0003683647685075453,-0.7012672604656143,-0.004459828013295114,036460
35,팜스코,2016,Q1,생활소비재,0.19046076605393145,-0.22660852268380383,-0.6935248035544437,0.07390775549282314,0.037699482182102395,-0.06360324355930347,-0.7522758726239486,0.013157518051792848,036580
35,대우건설,2016,Q1,건설,0.019620871054009434,-0.22660852268380383,-0.8129889199077701,-0.0451116399906627,0.019228926194048368,-0.01471629265360086,-0.7418027894936889,-0.08927410156238276,047040
35,동원F&B,2016,Q1,생활소비재,-0.09811637827593991,-0.22660852268380383,-0.595465103209692,-0.024381301494582064,-0.003133441099294698,0.02787103277774916,-0.7137868973953861,-0.26897484335486,049770
35,LG생활건강,2016,Q1,생활소비재,0.1334269878870938,-0.22660852268380383,-0.6072111578824999,0.05817019039990079,0.0002395351299702142,0.008947058136220987,-0.6887979950813337,-0.11449125936724094,051900
35,한전기술,2016,Q1,건설,0.025832051178233038,-0.22660852268380383,-0.014945703604717364,0.04387094552005366,-0.0021316141882502526,0.14892547030380054,-0.8205841226720927,0.01573136135614317,052690
35,에이블씨엔씨,2016,Q1,생활소비재,0.25066952278471855,-0.22660852268380383,-0.6421875210004641,-0.013638834329009919,0.010109690784053438,0.09933591720305834,-0.75017407489021,-0.28783907312184914,078520
35,아모레퍼시픽,2016,Q1,생활소비재,0.12531525531259996,-0.22660852268380383,-0.569408489494312,0.05399637453797501,0.02394645792081329,0.08270163098859373,-0.6940076010743368,-0.15311196150219172,090430
35,CJ제일제당,2016,Q1,생활소비재,0.16563233648493775,-0.22660852268380383,-0.689934072141668,0.03116588553828148,0.003512699828058796,0.321121610735174,-0.7306747045118991,-0.061017396581539846,097950
35,LG하우시스,2016,Q1,건설,0.0763735674237204,-0.22660852268380383,-0.7518864794507729,0.020179251383001695,0.005549933765086834,0.010798772401247048,-0.7584450664576162,-0.2013511464513722,108670
35,락앤락,2016,Q1,생활소비재,0.08960629707535174,-0.22660852268380383,0.6890599534595652,0.06882637093248967,0.001176053779210262,0.1374871319709421,-0.7191740764254035,-0.23513132676168297,115390
35,이마트,2016,Q1,생활소비재,0.09382071973347383,-0.22660852268380383,-0.7003241537435848,0.06577428145888886,0.01219963046416983,-0.05326128740583613,-0.7385875440750628,-0.2056284002350967,139480
35,삼양사,2016,Q1,생활소비재,0.06713639900431999,-0.22660852268380383,-0.3705392005520949,-0.024303159453508694,0.36108300403676763,0.18074352957970152,-0.6639978797891758,0.010794472105328842,145990
35,한국콜마,2016,Q1,생활소비재,0.12832796117591097,-0.22660852268380383,-0.6885760368146815,0.10391383646535557,0.020422215750824035,0.12761047692628003,-0.7146693508332288,-0.04343351853343513,161890
35,코스맥스,2016,Q1,생활소비재,0.30984249661588686,-0.22660852268380383,-0.5996258347171652,0.009365309683642353,0.027162758301501055,0.08029446444701538,-0.6672543226306615,-0.1335690260926672,192820
