,name,year,quarter,sector,Relative Return,자본총계 변화율,영업이익 변화율,비유동부채 변화율,비유동자산 변화율,국제유가 변화율,총포괄손익 변화율,전체 주주 수 변화율,유동부채 변화율,전체 주식 수 변화율,Label,Code
18,Hyundai_WIA,2020,Q2,경기소비재,-0.27112543063410377,0.006062420718475736,1.3438770358955283,-0.007933317497152537,0.00015715714279218584,0.41825270948982285,0.14266336719624395,0.14266336719624395,0.02198305563444858,0.14266336719624384,0.1055278050539119,011210
18,Hyundai_Mobis,2020,Q2,경기소비재,-0.13897818464751968,-0.009355438794948823,0.3954371618739122,-0.031972105371698145,-0.014113644223368471,0.41825270948982285,0.1008921710235795,0.18495470818326942,0.1062122126812215,0.11013640342182274,-0.04263730921289727,012330
17,S-1_Corporation,2020,Q2,경기소비재,0.04788849235199019,-0.03010820591064922,-0.09322523298471319,-0.13470464311190988,-0.007542465777943486,0.41825270948982285,0.14296021636020217,0.14296021636020217,0.15579325067476513,0.14296021636020206,-0.10557445220086617,012750
17,Hanon_Systems,2020,Q2,경기소비재,-0.009474277399508568,0.06340704607147563,4.809501112092153,-0.07237085223873985,-0.0027032312681671833,0.41825270948982285,0.14278035155825775,0.14278035155825763,0.12657465942311297,0.14278035155825775,-0.1556067654659356,018880
17,Daekyo,2020,Q2,경기소비재,0.1638624865496203,0.013594565986473683,7.963469457637478,0.03971190687219017,0.027057041775862545,0.41825270948982285,0.14299676889185098,0.14299676889185098,-0.036963741122616245,0.1429967688918512,-0.45273490681049483,019680
17,Hansum,2020,Q2,경기소비재,-0.18850819750639278,0.14298220124053873,0.4960081201169386,0.04897664071088026,0.013200175004813741,0.41825270948982285,0.14298220124053873,0.14298220124053884,-0.09795785458987849,0.14298220124053873,0.6271262043006163,020000
17,Coway,2020,Q2,경기소비재,-0.18012510760190828,-0.07951739053796136,-0.1752479585591804,-0.03518970479582095,0.004805696392721992,0.41825270948982285,0.14290570222765409,0.14290570222765409,0.07260166768214071,0.14290570222765397,0.0934952519196639,021240
17,Lotte_Shopping,2020,Q2,경기소비재,-0.25148443741142257,0.04514789615155457,7.8144560918889665,0.04644399226411711,0.04339571851651547,0.41825270948982285,0.12079049222609539,0.132400153602375,-0.12339678950338473,0.12531874751144878,-0.13437524207232543,023530
18,Samsung_C&T,2020,Q2,경기소비재,0.017028376157080055,-0.07479487424676834,-0.5420558068546424,-0.09133652670488712,-0.07178026384472647,0.41825270948982285,-0.16004383467272154,0.11970623957245718,-0.03523718347576832,0.0812983548658176,0.12389099383417712,028260
17,Sejong_Industrial,2020,Q2,경기소비재,-0.16421327343764694,0.039635660792548766,-0.12359287922352213,0.4287597883153973,0.007356456981769233,0.41825270948982285,0.1429994547818092,0.1429994547818091,-0.18950448344892146,0.1429994547818091,0.5967265444366707,033530
