,name,year,quarter,sector,Relative Return,금리 변화율,국제유가 변화율,실업률 변화율,소비자물가지수 변화율,Label,Code
29,LG,2017,Q3,정보기술,-0.005974106358619072,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.07277934922619968,003550
29,S&T중공업,2017,Q3,산업재,-0.1652097407655618,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.013550251049301458,003570
29,쌍용차,2017,Q3,경기소비재,-0.16666943052586125,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.020711474915769197,003620
29,남양유업,2017,Q3,생활소비재,-0.12800420780693628,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.05408139316911795,003920
29,삼성정밀화학,2017,Q3,에너지_화학,-0.04271150331272767,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.6170959943792216,004000
29,현대제철,2017,Q3,철강_소재,-0.12824034758113034,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.05167098592746001,004020
29,한솔홀딩스,2017,Q3,경기소비재,-0.1335700103103873,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.15442420595960327,004150
29,신세계,2017,Q3,경기소비재,0.11264533343945793,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.5130793044325864,004170
29,농심,2017,Q3,생활소비재,-0.03910110997365216,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.06061892920748812,004370
29,세방전지,2017,Q3,경기소비재,-0.21713296299610035,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.03288116412783011,004490
29,조광피혁,2017,Q3,경기소비재,0.039485334906325054,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.0026496563404850917,004700
29,한솔테크닉스,2017,Q3,정보기술,0.093914239881027,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.2565304325228945,004710
29,효성,2017,Q3,에너지_화학,-0.36209392353802594,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.0075482842331564964,004800
29,삼광글라스,2017,Q3,철강_소재,-0.17576587902238744,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.1914579202423202,005090
29,빙그레,2017,Q3,생활소비재,-0.10708634507915683,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.024961978726841277,005180
29,롯데칠성,2017,Q3,생활소비재,-0.21125151497241576,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.0,005300
29,현대차,2017,Q3,경기소비재,0.03011591406793329,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.04329772808773875,005380
