,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,금리 변화율,국제유가 변화율,실업률 변화율,환율 변화율,수출액 변화율,Label,Code
21,한국쉘석유,2019,Q3,에너지_화학,-0.037728287458142225,-0.17793359729876035,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.10057360396162093,002960
21,부광약품,2019,Q3,헬스케어,-0.049339076952516575,-0.865046144034123,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.4942607469637431,003000
21,세아제강,2019,Q3,철강_소재,-0.1571294559099436,-9.485587901871286,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.35538363092121505,003030
21,일신방직,2019,Q3,경기소비재,-0.23515143393192162,-0.5188351160418267,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.2212099224369856,003200
21,태광산업,2019,Q3,에너지_화학,-0.04377677085914533,-0.29955038782064225,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.2713009299143567,003240
21,한일시멘트,2019,Q3,건설,-0.03312599588747128,-0.963224751485112,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.1571609347295915,003300
21,대한항공,2019,Q3,산업재,0.025140861976313933,-0.3622159676179143,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.1087596196296142,003490
21,영진약품,2019,Q3,헬스케어,0.24044015239586103,-0.09485906217564721,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.038869018300790426,003520
21,LG,2019,Q3,정보기술,-0.059076556994462875,0.32625316164635554,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.026056770304569987,003550
21,S&T중공업,2019,Q3,산업재,-0.12905589489096198,0.813590097965684,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.037368526319802337,003570
21,쌍용차,2019,Q3,경기소비재,-0.3314040789789173,1.1561809823623737,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.24965893605324915,003620
21,남양유업,2019,Q3,생활소비재,-0.21883060991489223,-1.0336711102560743,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.21975698492432408,003920
21,삼성정밀화학,2019,Q3,에너지_화학,-0.06714316158066486,-0.02084304671351911,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.19101586917316035,004000
21,현대제철,2019,Q3,철강_소재,-0.23592363470412236,-1.4074146985283749,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.27326187784493083,004020
21,한솔홀딩스,2019,Q3,경기소비재,-0.12828546915520633,0.08777368161191501,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.20363961817776619,004150
21,신세계,2019,Q3,경기소비재,0.06796373283963282,2.1584071125012008,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.011487325837382184,004170
21,농심,2019,Q3,생활소비재,-0.00952486751588151,0.28258378015718844,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.2389364481694069,004370
21,세방전지,2019,Q3,경기소비재,-0.047217827068810836,-0.09456265132419317,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.20356217084195452,004490
21,조광피혁,2019,Q3,경기소비재,-0.01831826709875478,-0.07860287731421478,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.17964923513240655,004700
21,한솔테크닉스,2019,Q3,정보기술,-0.03381547227701083,0.6852066262571892,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.16385875546968584,004710
21,효성,2019,Q3,에너지_화학,-0.12678915871389274,-4.369199878623955,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.09429147063849228,004800
21,삼광글라스,2019,Q3,철강_소재,-0.20192616725131085,-5.945489020386918,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.012278646620486292,005090
21,빙그레,2019,Q3,생활소비재,-0.14858969059051724,0.0278354043813136,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.04657183270994533,005180
