,name,sector,year,quarter,비유동부채변화율,비유동자산변화율,영업이익변화율,자산총계변화율,자본총계변화율,Relative Return,전체 주식 수변화율,주주 수변화율,보유 주식 수변화율,전체 주주 수변화율,Label,Code
29,Hyundai_Livart,Consumer_Goods_&_Retail,2017,Q2,0.09426005999558207,-0.008206394068743794,-0.02970405207789617,-0.01674705147279343,-0.029091077113459374,0.055622862058685926,-0.010869482143039066,0.004906030885671209,-0.01468321789550009,-0.01126994703193418,-0.22269785393930422,079430
29,Basic_House,Consumer_Goods_&_Retail,2017,Q2,0.8614391200480664,0.004211872463877997,2.3050871183512127,0.011806400282244112,-0.005134183207124776,-0.18754498319416335,-0.17115972728330342,0.044593774225254346,-0.21943141278038403,-0.18107861909435896,0.2357314424168086,084870
29,Amorepacific,Consumer_Goods_&_Retail,2017,Q2,0.10845501256864809,-0.044959086330235154,0.6631358687216466,0.018184700941639487,-0.01846724764825658,-0.19273288052917253,-0.05171633171164447,-0.10870520884609025,0.03389493099093743,-0.05495517443636477,-0.023677252119664566,090430
29,LF_Corp,Consumer_Goods_&_Retail,2017,Q2,-0.011333874535772726,-0.265933382514302,-0.2843122837298,-0.009650412628128713,-0.022891640085811904,-0.0495397922412527,-0.1104557912195725,-0.0231830084867648,0.043082218592550015,-0.10231128418440982,0.22587711508176145,093050
29,CJ_CheilJedang,Consumer_Goods_&_Retail,2017,Q2,0.06003118170525512,-0.030285059055156438,0.3688375762537066,-0.007212469260418297,-0.00637731249032214,-0.0985109486793873,-0.01998736108713528,-0.018655485435726593,0.006845626734786503,-0.020320391739680144,-0.08192430335795486,097950
29,Hansea,Consumer_Goods_&_Retail,2017,Q2,-0.0070405338303278775,0.11832059085962043,-1.3096329290520727,-0.044266639712906786,-0.011453785800171534,-0.13637875344354156,-0.06597169551742543,-0.09185331391671836,-0.0748692032880558,-0.09255370750030334,-0.0023015790763141475,105630
29,Youngone_Corporation,Consumer_Goods_&_Retail,2017,Q2,-0.08672813974482207,-0.021839315952520755,-0.68874341532478,-0.08245702240383035,-0.04532815069052343,-0.004127953844760376,-0.04885052766474485,-0.1227634181008539,-0.07737498046546687,-0.0504459599660505,-0.08343219422754786,111770
29,Lock_&_Lock,Consumer_Goods_&_Retail,2017,Q2,-0.3020833792905273,-0.01478579500610322,20.570970668761298,0.004037060284262872,-0.041512273190997595,-0.10595708805456773,-0.0028521577868441117,0.017765976599015132,-0.010732820564326229,-0.004465152288386731,-0.06147920675731901,115390
29,Emart,Consumer_Goods_&_Retail,2017,Q2,0.045364143701440596,-0.025070746599280547,0.5500746157300563,-0.020189030301864808,-0.015726105994032347,0.0350499693295748,-0.02217396329942356,-0.029489084886072492,-0.018932680701124083,-0.023102120088046574,0.03366300315962033,139480
29,Dong-A_ST,Consumer_Goods_&_Retail,2017,Q2,-0.016771410882404192,0.014069102182276416,0.23690663191548467,0.01948800752282065,-0.008304109604744925,-0.19175008997745363,0.003911066200905311,0.018846788273706117,0.009381024094964996,0.008694700414482948,-0.12554870571961954,170900
29,Jongkundang,Consumer_Goods_&_Retail,2017,Q2,0.10084773895486532,0.00015697224970712131,0.02555310431236235,0.025307462823697557,-0.029681087027709774,-0.02436561233643454,0.026744850154137856,0.052431414336894466,0.025409676843766382,0.04037657543085127,-0.022919869301652657,185750
