,name,year,quarter,sector,Relative Return,비유동자산 변화율,영업이익 변화율,부채총계 변화율,매출액 변화율,비유동부채 변화율,유동부채 변화율,Label,Code
9,남해화학,2022,Q3,에너지_화학,-0.08784016672678441,0.03710834033810495,-0.36436377573955125,0.024047389704422217,-0.1989353214223466,0.03694394082377905,0.023708551519323606,0.0032727109984504524,025860
9,신도리코,2022,Q3,정보기술,0.053671220436776676,0.6629889447155959,-0.7341112512731331,0.584886586206343,0.21853501461576452,0.3942381269445341,0.6101592025389178,0.024462058572148785,029530
9,LG디스플레이,2022,Q3,정보기술,-0.04345401886348084,0.08147091593399369,0.37326712731801126,0.12276300714852151,0.22230952109476476,0.07156465621428221,0.14243321227050054,0.00046341436467545183,034220
9,SK,2022,Q3,정보기술,0.0030754269785088738,0.02776280324474345,-0.0639721238789801,0.06438189545551332,-0.0011407800141549629,-0.0009204564288104455,0.14024009046529096,-0.23456398079473367,034730
9,한미반도체,2022,Q3,정보기술,-0.021366550253167926,-0.003749452290525812,-0.23638516743768312,-0.06251037162330231,-0.3417335348734437,0.12233729275639504,-0.07062407604750653,0.18264724034507282,042700
9,LG화학,2022,Q3,에너지_화학,0.12067835179173411,0.032787339513301816,-0.5526051854749796,-0.019464233900703398,-0.05312916024608849,0.09322661880747618,-0.17019207485699428,-0.016287500511859593,051910
9,LG전자,2022,Q3,정보기술,-0.04013901730149705,0.017826283044284574,-1.889492355023373,0.03320443282368424,-0.03197376497143589,0.0070161849461296555,0.04788415214012676,0.28720289175600294,066570
9,휴켐스,2022,Q3,에너지_화학,0.052749944915958816,0.05264258973278091,0.1798258492646645,-0.16860709425999054,0.22006057556892866,0.0298788219071362,-0.2127488616571268,-0.06810707200923953,069260
9,GS,2022,Q3,에너지_화학,0.13323485260809573,0.004584449234654953,0.27257962645493095,0.026309618281657787,-0.02102102102102099,0.07056376160737265,-0.05293095234355771,-0.1262541377307166,078930
9,휴비스,2022,Q3,에너지_화학,-0.15973609665980862,0.01048573735959435,0.5914244843190883,0.10726721767320124,-0.10191585111754486,1.3215486148461761,-0.03950486600501002,-0.09314913547744934,079980
9,후성,2022,Q3,에너지_화학,-0.15461434680653222,0.22892421838092614,-0.37248987167219894,0.388031949557351,0.029161951043899403,1.007794036097227,0.013168434500290926,-0.015438635015128481,093370
9,SK이노베이션,2022,Q3,에너지_화학,-0.06195396468074852,0.0020299766386744356,0.0042346576761105315,0.01828769428484911,-0.062078158775010994,-0.3447604783830842,1.6358636713629378,-0.10101422729382223,096770
9,코오롱인더,2022,Q3,에너지_화학,-0.1279302568168745,0.012022011502418106,-0.4168740863933631,0.050211968673820495,-0.1159639931273646,0.045571552574839025,0.05146145012014114,-0.108553170437104,120110
