year,quarter,month,week,code,name,sector,url,category,upload_dt,filtering
2021,Q3,9,2,150,두산,산업재,,,,after:2021-09-08 before:2021-09-14
2021,Q3,9,3,150,두산,산업재,,,,after:2021-09-15 before:2021-09-21
2021,Q3,9,4,150,두산,산업재,,,,after:2021-09-22 before:2021-09-30
2021,Q4,10,1,150,두산,산업재,,,,after:2021-10-01 before:2021-10-07
2021,Q4,10,2,150,두산,산업재,,,,after:2021-10-08 before:2021-10-14
2021,Q4,10,3,150,두산,산업재,,,,after:2021-10-15 before:2021-10-21
2021,Q4,10,4,150,두산,산업재,,,,after:2021-10-22 before:2021-10-31
2021,Q4,11,1,150,두산,산업재,,,,after:2021-11-01 before:2021-11-07
2021,Q4,11,2,150,두산,산업재,,,,after:2021-11-08 before:2021-11-14
2021,Q4,11,3,150,두산,산업재,,,,after:2021-11-15 before:2021-11-21
2021,Q4,11,4,150,두산,산업재,,,,after:2021-11-22 before:2021-11-30
2021,Q4,12,1,150,두산,산업재,,,,after:2021-12-01 before:2021-12-07
2021,Q4,12,2,150,두산,산업재,,,,after:2021-12-08 before:2021-12-14
2021,Q4,12,3,150,두산,산업재,,,,after:2021-12-15 before:2021-12-21
2021,Q4,12,4,150,두산,산업재,,,,after:2021-12-22 before:2021-12-31
2022,Q1,1,1,150,두산,산업재,,,,after:2022-01-01 before:2022-01-07
2022,Q1,1,2,150,두산,산업재,,,,after:2022-01-08 before:2022-01-14
2022,Q1,1,3,150,두산,산업재,,,,after:2022-01-15 before:2022-01-21
2022,Q1,1,4,150,두산,산업재,,,,after:2022-01-22 before:2022-01-31
2022,Q1,2,1,150,두산,산업재,,,,after:2022-02-01 before:2022-02-07
2022,Q1,2,2,150,두산,산업재,,,,after:2022-02-08 before:2022-02-14
2022,Q1,2,3,150,두산,산업재,,,,after:2022-02-15 before:2022-02-21
2022,Q1,2,4,150,두산,산업재,,,,after:2022-02-22 before:2022-02-28
2022,Q1,3,1,150,두산,산업재,,,,after:2022-03-01 before:2022-03-07
2022,Q1,3,2,150,두산,산업재,,,,after:2022-03-08 before:2022-03-14
2022,Q1,3,3,150,두산,산업재,,,,after:2022-03-15 before:2022-03-21
2022,Q1,3,4,150,두산,산업재,,,,after:2022-03-22 before:2022-03-31
2022,Q2,4,1,150,두산,산업재,,,,after:2022-04-01 before:2022-04-07
2022,Q2,4,2,150,두산,산업재,,,,after:2022-04-08 before:2022-04-14
2022,Q2,4,3,150,두산,산업재,,,,after:2022-04-15 before:2022-04-21
2022,Q2,4,4,150,두산,산업재,,,,after:2022-04-22 before:2022-04-30
2022,Q2,5,1,150,두산,산업재,,,,after:2022-05-01 before:2022-05-07
2022,Q2,5,2,150,두산,산업재,,,,after:2022-05-08 before:2022-05-14
2022,Q2,5,3,150,두산,산업재,,,,after:2022-05-15 before:2022-05-21
2022,Q2,5,4,150,두산,산업재,,,,after:2022-05-22 before:2022-05-31
2022,Q2,6,1,150,두산,산업재,,,,after:2022-06-01 before:2022-06-07
2022,Q2,6,2,150,두산,산업재,,,,after:2022-06-08 before:2022-06-14
2022,Q2,6,3,150,두산,산업재,,,,after:2022-06-15 before:2022-06-21
2022,Q2,6,4,150,두산,산업재,,,,after:2022-06-22 before:2022-06-30
2022,Q3,7,1,150,두산,산업재,,,,after:2022-07-01 before:2022-07-07
2022,Q3,7,2,150,두산,산업재,,,,after:2022-07-08 before:2022-07-14
2022,Q3,7,3,150,두산,산업재,,,,after:2022-07-15 before:2022-07-21
2022,Q3,7,4,150,두산,산업재,,,,after:2022-07-22 before:2022-07-31
2022,Q3,8,1,150,두산,산업재,,,,after:2022-08-01 before:2022-08-07
2022,Q3,8,2,150,두산,산업재,,,,after:2022-08-08 before:2022-08-14
2022,Q3,8,3,150,두산,산업재,,,,after:2022-08-15 before:2022-08-21
2022,Q3,8,4,150,두산,산업재,,,,after:2022-08-22 before:2022-08-31
2022,Q3,9,1,150,두산,산업재,,,,after:2022-09-01 before:2022-09-07
2022,Q3,9,2,150,두산,산업재,,,,after:2022-09-08 before:2022-09-14
2022,Q3,9,3,150,두산,산업재,,,,after:2022-09-15 before:2022-09-21
2022,Q3,9,4,150,두산,산업재,,,,after:2022-09-22 before:2022-09-30
2022,Q4,10,1,150,두산,산업재,,,,after:2022-10-01 before:2022-10-07
2022,Q4,10,2,150,두산,산업재,,,,after:2022-10-08 before:2022-10-14
2022,Q4,10,3,150,두산,산업재,,,,after:2022-10-15 before:2022-10-21
2022,Q4,10,4,150,두산,산업재,,,,after:2022-10-22 before:2022-10-31
2022,Q4,11,1,150,두산,산업재,,,,after:2022-11-01 before:2022-11-07
2022,Q4,11,2,150,두산,산업재,,,,after:2022-11-08 before:2022-11-14
2022,Q4,11,3,150,두산,산업재,,,,after:2022-11-15 before:2022-11-21
2022,Q4,11,4,150,두산,산업재,,,,after:2022-11-22 before:2022-11-30
2022,Q4,12,1,150,두산,산업재,,,,after:2022-12-01 before:2022-12-07
2022,Q4,12,2,150,두산,산업재,,,,after:2022-12-08 before:2022-12-14
2022,Q4,12,3,150,두산,산업재,,,,after:2022-12-15 before:2022-12-21
2022,Q4,12,4,150,두산,산업재,,,,after:2022-12-22 before:2022-12-31
2023,Q1,1,1,150,두산,산업재,,,,after:2023-01-01 before:2023-01-07
2023,Q1,1,2,150,두산,산업재,,,,after:2023-01-08 before:2023-01-14
2023,Q1,1,3,150,두산,산업재,,,,after:2023-01-15 before:2023-01-21
2023,Q1,1,4,150,두산,산업재,,,,after:2023-01-22 before:2023-01-31
