,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,금리 변화율,1인평균급여 변화율,증자주식수 변화율,자기주식수 변화율,Label,Code
4,대한항공,2023,Q4,산업재,-0.06269085546436148,0.0,0.007981430060817196,0.00757180156657955,0.1165035434473849,0.06452795145786516,0.042553191489361764,-0.037283942385047716,003490
4,영진약품,2023,Q4,헬스케어,-0.16696533678456976,0.0,0.030436577118380326,0.00757180156657955,-0.03968253968253965,0.0,0.0,0.022138869449247443,003520
4,LG,2023,Q4,정보기술,-0.025779461755282854,0.0,-0.05163018058558855,0.00757180156657955,-0.04610951008645536,0.0,0.9746770627254742,-0.12895686160619435,003550
4,S&T중공업,2023,Q4,산업재,0.17628129866075112,0.0,-0.012793968875875139,0.00757180156657955,0.1293833345092783,0.0,0.0,-0.09528477142670433,003570
4,쌍용차,2023,Q4,경기소비재,-0.03968703890399624,0.0,0.1461183343178334,0.00757180156657955,0.042553191489361764,0.0,0.0,-0.28141137809411815,003620
4,남양유업,2023,Q4,생활소비재,0.12716429007244945,0.0,-0.002050494868035213,0.00757180156657955,0.14634146341463405,0.23712608413787306,0.0,-0.13964426314076286,003920
4,삼성정밀화학,2023,Q4,에너지_화학,-0.2817709610981643,0.0,0.008080484845408131,0.00757180156657955,0.11931818181818188,0.0,0.0,-0.04371608806883931,004000
4,현대제철,2023,Q4,철강_소재,-0.12991780905310743,0.0,0.01698663471490991,0.00757180156657955,-0.16759776536312854,0.0,0.0,-0.06897158170214987,004020
4,한솔홀딩스,2023,Q4,경기소비재,0.01571117054234447,0.0,-0.029596064552052104,0.00757180156657955,-0.02941176470588236,0.0,0.0,-0.11212239306554904,004150
4,신세계,2023,Q4,경기소비재,-0.1313811011295,0.0,-0.07240115272511405,0.00757180156657955,0.125,0.0,45.589240939138364,0.017770747728767536,004170
4,농심,2023,Q4,생활소비재,-0.3832606228220312,0.0,-0.01343762909728441,0.00757180156657955,0.03908391471047845,0.0,3.3331333453290313e-06,0.16104578546195905,004370
4,세방전지,2023,Q4,경기소비재,0.36977242575198865,0.0,0.4777689602263846,0.00757180156657955,0.06382082426455105,0.0,0.1908893288572937,0.4007713733267313,004490
4,조광피혁,2023,Q4,경기소비재,-0.05089445165686884,0.0,-0.037557900335867256,0.00757180156657955,0.29268292682926833,0.0,0.0,-0.05251658889123406,004700
4,한솔테크닉스,2023,Q4,정보기술,-0.0867870625702989,0.0,-0.013222262692401898,0.00757180156657955,0.055714592094588955,0.0,0.0,-0.15300954610124376,004710
4,효성,2023,Q4,에너지_화학,-0.16641416349233173,0.0,-0.02130233350967703,0.00757180156657955,0.031847133757961776,0.0,0.0,-0.014817480231190769,004800
