code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),이익잉여금,총포괄손익,영업비용
8770,호텔신라,경기소비재,2018,Q4,2019-04-01,"1,025,537,172,702","1,218,661,951,505","2,244,199,124,207","840,959,994,687","539,936,711,659","1,380,896,706,346","200,000,000,000","863,302,417,861",921286430938,25666063302,-41247476002,,"571,220,897,254",,
8770,호텔신라,경기소비재,2019,Q1,2019-05-15,"1,136,882,975,041","2,098,927,211,493","3,235,810,186,534","1,253,508,910,899","1,086,457,843,220","2,339,966,754,119","200,000,000,000","895,843,432,415",1046128770827,72007165062,60385267817,,"603,761,911,808",,
8770,호텔신라,경기소비재,2019,Q2,2019-08-14,"1,285,440,024,500","2,034,421,534,228","3,319,861,558,728","1,361,145,041,049","1,014,469,904,121","2,375,614,945,170","200,000,000,000","944,246,613,558",1070513068907,74847358844,63702419022,,"652,165,092,951",,
8770,호텔신라,경기소비재,2019,Q3,2019-11-14,"1,358,559,677,913","1,960,560,862,898","3,319,120,540,811","1,391,355,809,635","951,913,701,618","2,343,269,511,253","200,000,000,000","975,851,029,558",1186407870085,57775785638,41638587740,,"683,769,508,951",,
8770,호텔신라,경기소비재,2019,Q4,2020-03-30,"1,435,616,025,422","1,636,080,436,417","3,071,696,461,839","1,239,023,498,301","852,152,397,429","2,091,175,895,730","200,000,000,000","980,520,566,109",1264687727500,79797661123,22248087953,,"688,439,045,502",,
8770,호텔신라,경기소비재,2020,Q1,2020-05-15,"1,221,277,600,796","1,686,259,062,051","2,907,536,662,847","1,143,389,563,970","857,560,069,967","2,000,949,633,937","200,000,000,000","906,587,028,910",765091152223,-55764830709,-79629213616,,"614,505,508,303",,
8770,호텔신라,경기소비재,2020,Q2,2020-08-14,"1,078,672,663,252","1,755,297,996,077","2,833,970,659,329","785,708,014,471","1,187,468,377,712","1,973,176,392,183","200,000,000,000","860,794,267,146",493893036644,-51506845371,-60169941466,,"568,712,746,539",,
8770,호텔신라,경기소비재,2020,Q3,2020-11-16,"1,089,251,431,917","1,746,075,862,352","2,835,327,294,269","833,368,153,398","1,168,135,761,523","2,001,503,914,921","200,000,000,000","833,823,379,348",785896840089,-29719733609,-35538092912,,"541,741,858,741",,
8770,호텔신라,경기소비재,2020,Q4,2021-03-10,"932,489,147,790","1,508,642,639,142","2,441,131,786,932","628,619,537,099","1,135,850,538,282","1,764,470,075,381","200,000,000,000","676,661,711,551",769541816671,-39023524616,-204514526150,,"384,580,190,944",,
8770,호텔신라,경기소비재,2021,Q1,2021-05-17,"846,748,977,061","1,504,365,533,111","2,351,114,510,172","624,283,687,079","1,118,501,646,370","1,742,785,333,449","200,000,000,000","608,329,176,723",629430604014,20827517536,9411985947,,"316,247,656,116",,
8770,호텔신라,경기소비재,2021,Q2,2021-08-17,"808,357,715,741","1,476,990,065,971","2,285,347,781,712","863,953,743,918","789,585,065,994","1,653,538,809,912","200,000,000,000","631,808,971,800",856065435360,37831337631,30800976286,,"339,727,451,193",,
8770,호텔신라,경기소비재,2021,Q3,2021-11-15,"890,701,210,823","1,454,479,306,094","2,345,180,516,917","940,064,937,992","768,820,771,995","1,708,885,709,987","200,000,000,000","636,294,806,930",873453083964,15518402426,6100769147,,"344,213,286,323",,
8770,호텔신라,경기소비재,2021,Q4,2022-03-08,"858,662,681,133","1,361,405,025,170","2,220,067,706,303","892,456,390,610","741,038,992,846","1,633,495,383,456","200,000,000,000","586,572,322,847",1020128332009,16391009739,-34503810247,,"294,490,802,240",,
8770,호텔신라,경기소비재,2022,Q1,2022-05-16,"1,002,624,388,892","1,283,905,622,255","2,286,530,011,147","991,214,512,182","717,589,039,165","1,708,803,551,347","200,000,000,000","577,726,459,800",990079691021,8670029163,-1483314054,,"285,644,939,193",,
8770,호텔신라,경기소비재,2022,Q2,2022-08-16,"1,034,793,894,990","1,273,332,654,991","2,308,126,549,981","912,355,287,012","803,727,052,303","1,716,082,339,315","200,000,000,000","592,044,210,666",1011399218152,30112999801,19164153712,,"299,962,690,059",,
8770,호텔신라,경기소비재,2022,Q3,2022-11-14,"1,072,118,044,497","1,272,201,173,240","2,344,319,217,737","951,068,927,905","800,187,414,226","1,751,256,342,131","200,000,000,000","593,062,875,606",1182530752555,13047906376,1397904430,,"300,981,354,999",,
8770,호텔신라,경기소비재,2022,Q4,2023-03-08,"1,049,341,214,744","1,278,973,517,843","2,328,314,732,587","1,028,147,012,201","795,305,857,237","1,823,452,869,438","200,000,000,000","504,861,863,149",1081974703571,-15746172837,-119330780426,,"212,780,342,542",,
8770,호텔신라,경기소비재,2023,Q1,2023-05-15,"1,164,382,047,329","1,268,962,079,542","2,433,344,126,871","813,077,431,666","1,089,682,849,546","1,902,760,281,212","200,000,000,000","530,583,845,659",455751861946,15598016814,44101394871,,"238,502,325,052",,
8770,호텔신라,경기소비재,2023,Q2,2023-08-14,"732,880,037,862","1,450,242,820,081","2,183,122,857,943","723,948,067,917","887,514,982,209","1,611,463,050,126","200,000,000,000","571,659,807,817",470633706641,31886777288,53660030826,,"279,578,287,210",,
8770,호텔신라,경기소비재,2023,Q3,2023-11-14,"946,262,513,313","1,405,638,132,239","2,351,900,645,552","901,688,524,808","882,784,302,690","1,784,472,827,498","200,000,000,000","567,427,818,054",595560473227,1798504102,-5179882736,-4231989763.0,"275,346,297,447",-4231989763.0,173520685994.0
8770,호텔신라,경기소비재,2023,Q4,2024-03-13,"946,239,315,999","1,398,386,886,218","2,344,626,202,217","915,539,526,244","907,474,353,919","1,823,013,880,163","200,000,000,000","521,612,322,054",630820259930,-10286568860,-41775855067,43016222674.0,"229,530,801,447",28590190868.0,466753757890.0
8770,호텔신라,경기소비재,2024,Q1,2024-05-16,"1,190,117,011,501","1,387,450,471,624","2,577,567,483,125","919,817,488,654","1,123,220,831,057","2,043,038,319,711","200,000,000,000","534,529,163,414",650617825060,11849096094,24824052692,20524583560.0,"242,447,642,807",20524583560.0,195644580189.0
8770,호텔신라,경기소비재,2024,Q2,2024-08-14,"1,118,270,047,533","1,371,499,738,771","2,489,769,786,304","1,043,974,673,871","879,457,263,383","1,923,431,937,254","200,000,000,000","566,337,849,050",646415152108,22777233462,40464840139,31540118233.0,"274,256,328,443",31808685636.0,207726219708.0
8770,호텔신라,경기소비재,2024,Q3,2024-11-14,"983,771,941,124","1,374,845,589,845","2,358,617,530,969","799,815,773,901","1,002,889,462,857","1,802,705,236,758","200,000,000,000","555,912,294,211",650107003402,-19169265239,-25886168300,-20205873231.0,"254,050,455,212",-20205873231.0,219570757563.0
8770,호텔신라,경기소비재,2024,Q4,2025-03-12,"935,430,051,657","2,242,591,094,303","3,178,021,145,960","833,423,951,150","1,105,170,314,369","1,938,594,265,519","200,000,000,000","1,239,426,880,441",595683785878,-14781563292,-35512670534,-33345738326.0,"209,307,113,722",683514586230.0,242702983812.0
8770,호텔신라,경기소비재,2025,Q1,2025-05-15,"819,745,605,734","2,234,640,831,609","3,054,386,437,343","972,940,035,411","841,766,733,899","1,814,706,769,310","200,000,000,000","1,239,679,668,033",589089754064,5087137508,516316698,252787592.0,"209,559,901,314",252787592.0,228332796564.0
8770,호텔신라,경기소비재,2025,Q2,2025-08-14,"1,031,263,196,833","2,218,668,213,828","3,249,931,410,661","915,139,696,726","1,093,263,374,994","2,008,403,071,720","200,000,000,000","1,241,528,338,941",673458406418,5291332765,1582511042,1398530600.0,"211,408,572,222",1848670908.0,229152910070.0
