,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,비유동부채 변화율,영업이익 변화율,비유동자산 변화율,이익잉여금 변화율,유동자산 변화율,Label,Code
35,금호석유,2016,Q1,에너지_화학,0.14977093063493932,-0.557651448953089,-0.1305895055506533,-0.6848169132829598,0.012016264819264988,0.014223228230065832,0.08024908765241645,-0.11187737889313507,011780
35,SKC,2016,Q1,에너지_화학,-0.04490749866099526,-0.922532637114632,0.14574861579151244,-0.8180099047966796,-0.011103452823888027,-0.0021187394149149164,0.13569805047550498,-0.025663861228004493,011790
35,한솔케미칼,2016,Q1,에너지_화학,0.38351119500504727,-0.41341093405504836,0.0969085797157272,-0.6328219043732193,0.02099090057975217,0.0797749655012312,0.3699945635402151,0.13034264519103736,014680
35,동원시스템즈,2016,Q1,에너지_화학,-0.031469322366837534,-0.3770464696494553,-0.5714450291415197,-0.670609168334048,-0.08489446513405063,0.25936904599440447,0.27216402303122433,-0.21127548913522995,014820
35,유니드,2016,Q1,에너지_화학,-0.015896250448929918,-0.8806002701030156,-0.041311975062280126,-0.7208971826476824,0.020160626220568245,-0.005658036272685574,-0.02725698994438508,-0.10289678248751447,014830
35,한국전력,2016,Q1,생활소비재,0.038853835943549186,-0.9091235624823888,-0.047823939472276256,-0.9347345900142384,0.01457280145140416,-0.027924082975037123,-0.12938997912721428,-0.07216715727288248,015760
35,남해화학,2016,Q1,에너지_화학,0.06864325305003591,-0.7280253357099947,0.10828901121124823,-0.7848076774712363,0.019427540057097126,0.005825764234832942,0.1004230954852956,-0.19072252225831157,025860
35,KT&G,2016,Q1,생활소비재,0.1917513336894438,-0.7425290172537092,0.09319289238427997,-0.7360383559761132,0.0019532149857295344,-0.732161079414392,0.031367963714102,-0.14872587673188048,033780
35,무학,2016,Q1,생활소비재,-0.07640884518031038,-0.7975188329730485,0.0,-0.8272047356148746,-0.03505433045847739,-0.0009394126337783915,0.15717401890863525,-0.29197951385410953,033920
35,한국가스공사,2016,Q1,생활소비재,0.12351842649956979,-88.01437173624406,0.0003683647685075453,-0.0949217243163899,-0.007544715840005822,0.09867394930916018,-0.013992992659077053,-0.004459828013295114,036460
35,팜스코,2016,Q1,생활소비재,0.19046076605393145,-0.2695854580695479,-0.06360324355930347,-0.6935248035544437,0.037699482182102395,0.07390775549282314,0.01133515413336661,0.013157518051792848,036580
35,동원F&B,2016,Q1,생활소비재,-0.09811637827593991,-0.5961809782085328,0.02787103277774916,-0.595465103209692,-0.003133441099294698,0.6195284348749592,0.3200053454186502,-0.26897484335486,049770
35,LG생활건강,2016,Q1,생활소비재,0.1334269878870938,-0.508634380333892,0.008947058136220987,-0.6072111578824999,0.0002395351299702142,0.05817019039990079,-0.026757476263603586,-0.11449125936724094,051900
35,LG화학,2016,Q1,에너지_화학,-0.1080141026679208,-0.7352061780027881,-0.43494610445799997,-0.7311220597348793,-0.010888008646527503,-0.0009838550016687542,0.04492473725860613,-0.12090195646609972,051910
35,휴켐스,2016,Q1,에너지_화학,0.08983205117823304,-0.7916055962244197,-0.06382747756312279,-0.7371067749539558,0.0033160146584731987,-0.04784157921789001,-0.08080948857708292,-0.10972454285726468,069260
35,에이블씨엔씨,2016,Q1,생활소비재,0.25066952278471855,-0.6708301169026574,0.09933591720305834,-0.6421875210004641,0.010109690784053438,-0.013638834329009919,0.013097999555893969,-0.28783907312184914,078520
35,GS,2016,Q1,에너지_화학,-0.08297623897720738,-0.7482723128951625,-0.20706404965331937,-0.8103283524214433,-0.00023014384332686877,0.039261155124557856,11.929836224088959,-0.09565084039467116,078930
35,휴비스,2016,Q1,에너지_화학,-0.11554954231575802,-0.657833994623791,0.011239411385914666,-0.7291617490137459,0.0014845995039851623,-0.01627699941427907,-0.003534644123060038,-0.06467510863276547,079980
35,아모레퍼시픽,2016,Q1,생활소비재,0.12531525531259996,-0.5662662858874961,0.08270163098859373,-0.569408489494312,0.02394645792081329,0.05399637453797501,0.20859414968020218,-0.15311196150219172,090430
35,후성,2016,Q1,에너지_화학,0.30604987081363394,-0.4648550224778718,0.010047201205807266,-0.45531839548207587,-0.013198882955997582,-0.4305519872152628,0.03218757729415889,0.24314517993116536,093370
35,SK이노베이션,2016,Q1,에너지_화학,-0.05224421219715686,-0.7673928954953548,-0.021160196920668284,-0.611934642487084,-0.00856560469243195,-0.0578815209537098,0.02567214996131728,-0.07386682293133817,096770
35,CJ제일제당,2016,Q1,생활소비재,0.16563233648493775,-0.4115337305218444,0.321121610735174,-0.689934072141668,0.003512699828058796,0.03116588553828148,0.3762930820388444,-0.061017396581539846,097950
35,락앤락,2016,Q1,생활소비재,0.08960629707535174,0.4987894848758234,0.1374871319709421,0.6890599534595652,0.001176053779210262,0.06882637093248967,0.16059473575699346,-0.23513132676168297,115390
35,코오롱인더,2016,Q1,에너지_화학,-0.030641778022868892,-1.3561119267752149,-0.03927525036572033,-0.6975755492185041,-0.01858986497233972,0.06479784762548757,-0.0184012488423404,0.16355182504650534,120110
35,이마트,2016,Q1,생활소비재,0.09382071973347383,-0.7331650890373858,-0.05326128740583613,-0.7003241537435848,0.01219963046416983,0.06577428145888886,0.014101610712497825,-0.2056284002350967,139480
35,삼양사,2016,Q1,생활소비재,0.06713639900431999,-0.2825109533740219,0.18074352957970152,-0.3705392005520949,0.36108300403676763,0.6653709789205975,0.8193428312968192,0.010794472105328842,145990
35,한국콜마,2016,Q1,생활소비재,0.12832796117591097,-0.6948384855826957,0.12761047692628003,-0.6885760368146815,0.020422215750824035,0.10391383646535557,0.1608000515996444,-0.04343351853343513,161890
35,코스맥스,2016,Q1,생활소비재,0.30984249661588686,-0.6381768985601237,0.08029446444701538,-0.5996258347171652,0.027162758301501055,0.009365309683642353,0.1175449837300444,-0.1335690260926672,192820
