video_id,published_at,view_count
ca3U_E25eLo,2021-02-07T23:31:36Z,2309
KbOu2hHbMk4,2021-02-05T06:29:31Z,4048
LS6R7IuDve8,2021-02-05T06:30:02Z,2116
o20Tvls1moo,2021-02-05T04:48:28Z,1157
5g1XZsrtw_A,2021-02-05T01:26:53Z,3956
rXqyOphPvmE,2021-02-05T01:22:34Z,3199
BVjnKYKMF_U,2021-02-04T23:32:03Z,1540
gFZSxCkEABo,2021-02-04T23:31:12Z,19964
fCaggHIlXT8,2021-02-04T23:29:57Z,8743
7wysFWVpDVw,2021-02-04T06:24:02Z,3127
F0idPp16D9E,2021-02-04T06:22:40Z,1454
5L03GRLOexY,2021-02-04T01:18:50Z,2079
