,name,sector,year,quarter,Relative Return,영업이익변화율,비유동자산변화율,매출액변화율,비유동부채변화율,부채총계변화율,Label,Code
19,Hotel_Shilla,Consumer_Services,2019,Q4,-0.10856848226910334,-0.3811609871128414,0.16550387831437674,-0.06598056148210785,0.10480078605805587,0.10758199785060141,-0.016113267804742676,008770
19,Motonic,Automotive_&_Parts,2019,Q4,-0.16072251976939667,0.051981661264813295,0.0753791429366868,-0.03152756864093309,0.33228111890611944,-0.16806005355689102,-0.06870650789798277,009680
19,Hwashin,Automotive_&_Parts,2019,Q4,0.2515495856901233,0.8798155058888147,-0.06555051295283865,-0.08758124681871382,-0.14231574136296699,0.13046746165644885,-0.1265622391232792,010690
19,Hyundai_Merchant_Marine,Transportation,2019,Q4,-0.05128696394949542,0.28023279673189205,0.03536956535542124,0.06978841346095588,0.031108914840126567,0.03267342751265412,-0.09777209499314346,011200
20,Hyundai_Mobis,Automotive_&_Parts,2019,Q4,0.0759963670652827,-0.3160631004867607,-0.0624745257270809,-0.17854559057291985,-1.3338175731148856,-0.18418134658440377,-0.05649568194461208,012330
19,Hyundai_Development_Company,Construction_&_Real_Estate,2019,Q4,-0.13525968347208706,-0.06106434882235212,-0.002387751533238669,-0.21075697641098046,0.08711388167791234,-0.04673238011298464,-0.21779917879297925,012630
19,Hanon_Systems,Automotive_&_Parts,2019,Q4,0.04287965737063301,13.793386994606374,-0.004151558477425432,-0.17433602167026985,0.0011989258384929036,-0.06571006288211989,-0.14133393277436163,018880
19,Daekyo,Consumer_Services,2019,Q4,-0.030040130862310756,-0.05732159984727958,-0.059073440643715,-0.012694989848547777,0.024476565389759064,0.009518693976137693,-0.06445455124536387,019680
19,Hansum,Automotive_&_Parts,2019,Q4,-0.19555511531774758,-0.5288761851672517,0.2021823808761457,-0.9391138196648958,-0.8453906960022208,-0.4420905653176199,0.0024034827939191927,020000
20,Samsung_C&T,Construction_&_Real_Estate,2019,Q4,-0.04982550980261927,-0.48305182955290604,-0.09323291393128463,0.0503048470680475,-0.07005171621596307,-0.016926724942468052,0.13385220844135717,028260
19,Kangwon_Land,Consumer_Services,2019,Q4,-0.012710663864243923,0.5385294584466496,-0.10091488893755551,0.08063179360354533,-3.21732688052904,-0.5097620737853199,-0.0641494182299716,035250
19,Daewoo_E&C,Construction_&_Real_Estate,2019,Q4,-0.012396938374047844,2.08254616997311,0.04271469963325958,-0.06733798840637406,0.03603333517192153,-0.03818105573854469,-0.09200490639068178,047040
19,Daewoo_International,Trading_&_Logistics,2019,Q4,0.0512526573132837,0.37585107257101047,0.040746448557292925,0.0015261726431937683,-0.074772191625466,0.12750589480057806,-0.10049798665421347,047050
19,KEPCO_E&C,Construction_&_Real_Estate,2019,Q4,0.11027301236486842,7.991620965373804,0.03779508458618619,-1.2178593594964684,0.7657795177618208,0.02661085546062958,-0.16714850707527606,052690
19,Kumho_Tire,Automotive_&_Parts,2019,Q4,0.08727840239422972,-1.266423771014416,-0.04783485972287305,-0.028221849961283185,0.03676664087583714,0.05688266219938787,-0.10556615517910811,073240
19,Hyundai_Glovis,Automotive_&_Parts,2019,Q4,-0.015432147121317408,0.08429633317122842,-0.01935104965406187,-0.010432742462835431,-0.04069593287118933,0.016511058879743135,-0.15179162033098437,086280
19,GKL,Consumer_Services,2019,Q4,0.016783784517518423,0.22760764668975675,0.11304843894289107,0.018870870583742816,0.10657068042080164,-0.10642709134225159,-0.14153460905342205,114090
19,Hankook_Tire_&_Technology,Automotive_&_Parts,2019,Q4,-0.06994623414869573,3.7820952015129294,-0.0029878450400535606,0.08983039062151832,0.10708357573597638,0.1380505148346397,-0.025950826079800947,161390
