,name,sector,year,quarter,Relative Return,자본총계 변화율,비유동부채 변화율,소비자물가지수 변화율,실업률 변화율,전체 주식 수 변화율,전체 주주 수 변화율,자기주식수 변화율,1인평균급여 변화율,보유 주식 수 변화율,Label,Code
21,Samsung_Heavy Industries,운송장비·부품,2019,Q2,0.05609984285939352,0.04724489127089604,0.029032028469948012,-0.17798441463015324,-0.017241379310344973,-0.0639419353125592,-0.06452436271831319,-0.0548110291743753,-0.056734087710218484,-0.06274474729533974,-0.015834852387428173,010140
21,Hyundai_Mipo_Dockyard,운송장비·부품,2019,Q2,-0.061622309831470067,-0.007705600597580853,0.05768716478534497,-0.17798441463015324,-0.017241379310344973,-0.05870033038301403,-0.05870033038301403,-0.05870033038301403,-0.05870033038301403,-0.05870033038301403,-0.16086003484495676,010620
21,Hwashin,운송장비·부품,2019,Q2,-0.041524270615783794,0.030578351775958468,-0.4249916871869557,-0.17798441463015324,-0.017241379310344973,-0.058792327119957744,-0.05879232711995752,-0.058792327119957744,-0.058792327119957744,-0.058792327119957744,0.17063257749212174,010690
22,Hyundai_WIA,운송장비·부품,2019,Q2,0.07202605256057817,-0.0009618541418570103,-0.06464917753711519,-0.17798441463015324,-0.017241379310344973,-0.0585090537575117,-0.0585090537575117,-0.0585090537575117,-0.0585090537575117,-0.0585090537575117,0.1986002560874154,011210
22,Hyundai_Mobis,운송장비·부품,2019,Q2,0.044630585027260826,-0.023576931483212382,-0.0923924101138589,-0.17798441463015324,-0.017241379310344973,-0.05288672027936858,-0.06128311886710325,-0.05645665936730504,-0.05445105138456441,-0.054583943277501046,0.1246971321842915,012330
21,Hanwha_Aerospace,운송장비·부품,2019,Q2,0.011872264475861247,0.008081696005190486,-0.21919601724458593,-0.17798441463015324,-0.017241379310344973,-0.05817172604682619,-0.058097789918206244,-0.057645033615755015,-0.05909278622798353,-0.059381461655258816,-0.04126045393913256,012450
22,Samsung_SDS,IT 서비스,2019,Q2,0.09648385946551702,-0.028163232462523613,-0.07882513639496103,-0.17798441463015324,-0.017241379310344973,-0.05861375055896878,-0.058613750558969,-0.05861375055896856,-0.058613750558969,-0.05861375055896856,-0.07988708956410935,018260
21,Sejong_Industrial,운송장비·부품,2019,Q2,-0.233837578917828,-0.013712006294288148,-1.1967799798570296,-0.17798441463015324,-0.017241379310344973,-0.05879443120541428,-0.05879443120541428,-0.05879443120541428,-0.05879443120541428,-0.05879443120541428,-0.0979584331093106,033530
21,NAVER_Corp,IT 서비스,2019,Q2,-0.02506421551936506,-0.06496974336243055,-0.049638577038466414,-0.17798441463015324,-0.017241379310344973,-0.05810026958059744,-0.05792775478968948,-0.05820306061555636,-0.0583290209080185,-0.057432057107576595,-0.0773766005346025,035420
21,NCSOFT,IT 서비스,2019,Q2,0.017957250733337128,-0.05873151952339506,0.06389297505408065,-0.17798441463015324,-0.017241379310344973,-0.05873151952339528,-0.05873151952339506,-0.05873151952339506,-0.05873151952339506,-0.05873151952339528,-0.03212072134741441,036570
21,Daewoo_Shipbuilding_&_Marine_Engineering,운송장비·부품,2019,Q2,-0.23377320522430034,-0.03377687638516513,0.22084299264351925,-0.17798441463015324,-0.017241379310344973,-0.05914174928890081,-0.05900293319435801,-0.058467154733463644,-0.05649164866468892,-0.05161823713787683,0.162896534570186,042660
21,Daewoo_E&C,건설,2019,Q2,-0.11603407453735243,-0.025028016485920457,-0.11652619406170772,-0.17798441463015324,-0.017241379310344973,-0.0583088912066696,-0.05830889120666938,-0.0583088912066696,-0.0583088912066696,-0.0583088912066696,-0.024290494362390166,047040
21,Korea_Aerospace_Industries,운송장비·부품,2019,Q2,0.05655867148124281,-0.08659138877984374,0.12606998063901198,-0.17798441463015324,-0.017241379310344973,-0.05853709058745804,-0.05853709058745826,0.0,-0.05853709058745826,-0.05853709058745804,0.02457537893753825,047810
21,KEPCO_KPS,건설,2019,Q2,0.007893155929302328,-0.03186018587075079,-0.5811233320013653,-0.17798441463015324,-0.017241379310344973,-0.058782660399884445,-0.058782660399884445,0.0,-0.058782660399884445,-0.05878266039988467,-0.09745086370471158,051600
21,Hyundai_Rotem,운송장비·부품,2019,Q2,-0.229751783843297,0.10565608307786745,0.13539724384287466,-0.17798441463015324,-0.017241379310344973,-0.05868902985675972,-0.0586890298567595,0.0,-0.0586890298567595,-0.0586890298567595,-0.10666801429713405,064350
22,S&T_Motiv,운송장비·부품,2019,Q2,0.39050812581722216,-0.02998852285559206,-0.0644512093744789,-0.17798441463015324,-0.017241379310344973,-0.05879335162174559,-0.05879335162174537,-0.05879335162174559,-0.05879335162174537,-0.05879335162174559,0.15872066965683448,064960
21,HHI_Heavy_Industries,건설,2019,Q2,-0.3328856211904965,0.06923670430467599,0.013097485220585181,-0.17798441463015324,-0.017241379310344973,-0.058735052882932015,-0.058735052882932015,-0.05873505288293179,-0.05873505288293179,-0.05873505288293179,0.0,097230
21,Poongsan,금속,2019,Q2,0.008750454658941482,-0.007602204724661554,0.02452515663023569,-0.17798441463015324,-0.017241379310344973,-0.058751324988989495,-0.058751324988989495,-0.058751324988989495,-0.05875132498898927,-0.058751324988989495,-0.11126135377419445,103140
21,Korea_Steel,금속,2019,Q2,0.0351333544595628,1.4380419759985053e-05,-0.08285620680293682,-0.17798441463015324,-0.017241379310344973,-0.05878860209259962,-0.05878860209259962,-0.05878860209259962,-0.058788602092599396,-0.05878860209259962,0.02993522742238674,104700
