날짜,시가,고가,저가,종가,거래량,등락률,SMA_20,SMA_60,EMA_20,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER,MACD,MACD_SIGNAL,MACD_HIST,STOCH_SLOWK,STOCH_SLOWD,OBV
2024-06-12,53200,56100,52500,54700,3964952,1.86219739292365,46972.5,48645.0,47836.72343541572,65.33674819438116,52959.35852513654,46972.5,40985.64147486346,1057.857997270563,38.675242555102386,1019.1827547154605,68.82233479233759,54.35636671630527,319224480.0
2024-06-13,55800,67900,53800,65700,14677664,20.109689213893965,47932.5,48733.333333333336,49537.98787013803,76.55160539944207,58044.63503667747,47932.5,37820.36496332253,2334.8043319321077,497.90106043050355,1836.9032715016042,86.56464047830525,69.81286758602477,333902144.0
2024-06-14,67600,72800,66400,68300,11494763,3.95738203957382,49030.0,48920.0,51324.84616822012,78.33576290911728,62442.80731241599,49030.0,35617.19268758401,3516.060812570853,1101.5330108585736,2414.5278017122796,86.36621993222026,80.5843984009544,345396907.0
2024-06-17,69400,70100,66100,68400,3441271,0.1464128843338213,50162.5,49111.666666666664,52951.0512950563,78.40382546323148,65899.74483510376,50162.5,34425.25516489624,4409.45479811322,1763.117368309503,2646.337429803717,85.15817079583967,86.02967706878843,348838178.0
2024-06-18,69500,71900,65600,66600,4951911,-2.631578947368421,51112.5,49276.666666666664,54250.95117171761,73.90307885612421,68339.68418662783,51112.5,33885.31581337217,4915.567410169337,2393.6073766814698,2521.960033487867,78.42042632132977,83.31493901646327,343886267.0
2024-06-19,67000,67500,60400,62100,4361283,-6.756756756756757,51865.0,49388.333333333336,54998.47963155402,64.01022969697118,69623.24034075448,51865.0,34106.759659245516,4897.102164228461,2894.3063341908683,2002.795830037593,65.37368733646302,76.31742815121088,339524984.0
2024-06-20,63400,64500,59100,63000,4416807,1.4492753623188406,52715.0,49506.666666666664,55760.52919045364,65.01880465353523,70891.44354652471,52715.0,34538.556453475285,4898.622530921755,3295.169573537046,1603.4529573847094,47.20316396326842,63.66575920702045,343941791.0
2024-06-21,62200,71000,61800,64400,13891185,2.2222222222222223,53670.0,49638.333333333336,56583.33593421996,66.58739539181624,72191.51181734363,53670.0,35148.488182656365,4955.669854901724,3627.2696298099813,1328.4002250917424,37.852537936995844,50.14312974557581,357832976.0
2024-06-24,64900,68800,64900,67300,5624013,4.503105590062112,54790.0,49816.666666666664,57603.970607151394,69.62572933148506,73758.43694140347,54790.0,35821.56305859653,5175.229212949831,3936.8615464379513,1238.3676665118796,44.645301094890584,43.23366766505168,363456989.0
2024-06-25,67400,68200,65400,65400,3003266,-2.823179791976226,55735.0,49983.333333333336,58346.4495969465,65.42786672510233,74839.94962045176,55735.0,36630.05037954824,5136.704730361314,4176.830183222624,959.8745471386901,52.803308823529484,45.100382618472025,360453723.0
2024-06-26,66500,69100,62600,68400,4432581,4.587155963302752,56860.0,50213.333333333336,59303.9305877135,68.6426396148763,76164.70408993622,56860.0,37555.29591006378,5287.300024853372,4398.924151548774,888.3758733045979,65.05164565826338,54.16675185889454,364886304.0
2024-06-27,67800,71100,65900,67400,5321466,-1.461988304093567,58055.0,50450.0,60074.98481745507,66.42535505962371,76856.06114026546,58055.0,39253.93885973454,5265.261580083861,4572.191637255792,693.0699428280695,63.76916357941033,60.54137268706779,359564838.0
2024-06-28,67800,68900,64200,65400,2478980,-2.967359050445104,59172.5,50658.333333333336,60582.129120554586,62.10454179881487,76899.4420656807,59172.5,41445.557934319295,5028.447851787707,4663.442880162174,365.00497162553256,57.10249691274367,61.974435383472525,357085858.0
2024-07-01,64600,66200,62400,63700,2162163,-2.599388379204893,60205.0,50840.0,60879.069204311294,58.61442674763738,76394.28349248353,60205.0,44015.71650751646,4649.9932458373005,4660.752953297199,-10.759707459898891,36.03291965655383,52.301526716236005,354923695.0
2024-07-02,63700,64100,57500,57600,3559661,-9.57613814756672,60525.0,50926.666666666664,60566.77689913879,48.15667215398749,76235.585603344,60525.0,44814.41439665599,3813.8821642996627,4491.378795497692,-677.4966311980297,16.206333107955896,36.447249892417865,351364034.0
2024-07-03,57800,58400,55900,57400,1890417,-0.3472222222222222,61090.0,51048.333333333336,60265.17909922081,47.8551995171049,75438.60968874684,61090.0,46741.39031125315,3099.391919057358,4212.981420209626,-1113.589501152268,8.515414635303676,20.251555799937865,349473617.0
2024-07-04,57400,59200,56200,56400,1831969,-1.7421602787456445,61530.0,51148.333333333336,59897.06680405692,46.29465218584091,74687.18054903862,61530.0,48372.81945096139,2424.5133289779696,3855.2878019632944,-1430.7744729853248,4.816623005477564,9.846123582912444,347641648.0
2024-07-05,56100,58300,55900,57700,1416366,2.304964539007092,62032.5,51298.333333333336,59687.82234652769,48.63945059362143,73716.00439722603,62032.5,50348.99560277397,1971.8362190413827,3478.597485378912,-1506.7612663375294,10.39676768470848,7.909601775163305,349058014.0
2024-07-08,58100,59200,56100,57400,1412253,-0.5199306759098787,62550.0,51436.666666666664,59469.93450400124,48.11735228712789,72288.06962390391,62550.0,52811.93037609609,1570.7719737173757,3097.032383046605,-1526.2604093292293,13.204854976107711,9.472748555431316,347645761.0
2024-07-09,57900,58600,56900,57000,795900,-0.6968641114982579,62715.0,51575.833333333336,59234.702646477315,47.38697703649853,71946.31084949478,62715.0,53483.68915050522,1206.7384826661728,2718.9736029705186,-1512.2351203043459,23.03391480516754,15.545179155327977,346849861.0
2024-07-10,57000,58100,55600,55700,1068806,-2.280701754385965,62765.0,51712.5,58898.064299193764,44.99646587620429,71831.4822285162,62765.0,53698.51777148381,804.0713488492329,2335.9931521462613,-1531.9218032970284,18.134598012646865,18.124455931307438,345781055.0
2024-07-11,56100,56800,55100,56200,1185448,0.8976660682226212,62290.0,51875.0,58641.10579450864,46.122243493096114,71681.251247837,62290.0,52898.748752163,519.3142343334112,1972.6573685836913,-1453.3431342502802,20.980126467931417,20.716213095248673,346966503.0
2024-07-12,55600,56100,54200,55000,779632,-2.135231316725979,61625.0,52039.166666666664,58294.33381407925,43.80494956145286,71102.94809017226,61625.0,52147.051909827744,194.5693242787529,1617.0397597227036,-1422.4704354439507,15.20234869015364,18.105691056910704,346186871.0
2024-07-15,55000,55500,53700,53700,590949,-2.363636363636364,60890.0,52209.166666666664,57856.77821273837,41.37944470749316,70432.09620576107,60890.0,51347.90379423892,-165.78146649659902,1260.475514478843,-1426.256980975442,14.276422764227712,16.819632640770987,345595922.0
2024-07-16,54200,56300,53600,54000,1418184,0.5586592178770949,60260.0,52409.166666666664,57489.46600200138,42.175156899272785,69874.44746202297,60260.0,50645.552537977026,-422.2867132123647,923.9230689406015,-1346.2097821529662,8.296296296296367,12.59168925022597,347014106.0
2024-07-17,53900,54400,52300,52400,771013,-2.9629629629629632,59775.0,52552.5,57004.754954191725,39.12485883479898,69932.53414958571,59775.0,49617.465850414286,-746.0753057878246,589.9233939949163,-1335.998699782741,3.7037037037037748,8.758807588076015,346243093.0
2024-07-18,52200,56200,51400,55400,2102311,5.7251908396946565,59395.0,52765.0,56851.92114903061,46.88217997359791,69609.98409200915,59395.0,49180.01590799085,-751.9373050331196,321.5512541893091,-1073.4885592224286,30.914588057445272,14.304862685815202,348345404.0
2024-07-19,55700,56600,54700,56400,1152128,1.8050541516245489,58995.0,52957.5,56808.881039599124,49.205719327490435,69019.46507301013,58995.0,48970.53492698987,-668.1888736152396,123.60322862839934,-791.792102243639,60.00290714576437,31.54039963563787,349497532.0
2024-07-22,56700,56700,53100,53200,842300,-5.673758865248227,58290.0,53097.5,56465.17808344683,42.75986125944012,67851.56890891866,58290.0,48728.43109108134,-850.229972947498,-71.16341168678017,-779.0665612607179,70.58292112200475,53.83347210840486,348655232.0
2024-07-23,53200,54100,52100,52700,717834,-0.9398496240601504,57655.0,53215.833333333336,56106.58969454713,41.837636027548875,66925.91689100921,57655.0,48384.08310899078,-1023.0515752967331,-261.54104440877074,-761.5105308879623,51.548137397194076,60.71132188832113,347937398.0
2024-07-24,51800,52900,49450,49600,1354008,-5.88235294117647,56715.0,53296.666666666664,55486.91448554264,36.57120547411465,65218.00535105089,56715.0,48211.99464894911,-1394.0878554814917,-488.050406623315,-906.0374488581767,20.186510518325818,47.439189679174945,346583390.0
2024-07-25,48800,51600,47450,50600,1516063,2.0161290322580645,55875.0,53383.333333333336,55021.49405834811,39.228690396508775,63231.86753992485,55875.0,48518.13246007515,-1589.1266749370043,-708.2656602860528,-880.8610146509515,20.217107152696038,30.65058502273871,348099453.0
2024-07-26,50800,51300,49650,50000,617696,-1.185770750988142,55105.0,53428.333333333336,54543.25652898162,38.194684043583536,61469.73880061075,55105.0,48740.26119938925,-1771.6884089840605,-920.9502100256543,-850.7381989584062,21.23019571295441,20.544604461325488,347481757.0
2024-07-29,52500,54400,51500,52000,1961871,4.0,54520.0,53523.333333333336,54301.04162145956,43.53719335708151,59647.80654861316,54520.0,49392.19345138684,-1734.9867657561554,-1083.7575211717544,-651.2292445844009,42.36308250696747,27.93679512420604,349443628.0
2024-07-30,52800,52800,50500,50600,766311,-2.6923076923076925,54170.0,53596.666666666664,53948.561467034844,40.87373157837321,59364.26606942694,54170.0,48975.73393057306,-1798.1408997997496,-1226.6341968973534,-571.5067029023962,46.11964482468087,36.570974348200984,348677317.0
2024-07-31,52600,53800,51200,53000,1532325,4.743083003952568,53950.0,53710.833333333336,53858.222279698195,46.87388043761967,58947.39932364825,53950.0,48952.60067635175,-1635.6760088105439,-1308.4425592799914,-327.23344953055243,63.54916067146289,50.67729600103714,350209642.0
2024-08-01,53100,55500,52800,54800,997810,3.39622641509434,53870.0,53837.5,53947.915395917415,50.898477961345456,58757.985270026904,53870.0,48982.014729973096,-1346.1587750291365,-1315.9858024298205,-30.172972599315926,71.07134804976538,60.24671784863644,351207452.0
2024-08-02,53800,56200,52700,52900,1219794,-3.4671532846715327,53630.0,53938.333333333336,53848.11392963956,46.86286955712475,58203.445090957146,53630.0,49056.554909042854,-1255.555144288388,-1303.899670801534,48.34452651314609,69.99852209999888,68.20634360707578,349987658.0
2024-08-05,51800,52300,44000,47100,1226977,-10.964083175803404,53115.0,53955.0,53205.43641253103,37.17347821590863,58168.82033713111,53115.0,48061.17966286889,-1632.9391356534616,-1369.7075637719195,-263.2315718815421,51.849762419218926,64.30654418966112,348760681.0
2024-08-06,48400,50200,47700,48800,1101052,3.609341825902336,52705.0,53986.666666666664,52785.87103990903,41.02257670841366,57762.06436581541,52705.0,47647.93563418459,-1774.3888253479963,-1450.6438160871348,-323.7450092608615,35.61978717285024,52.489357230689414,349861733.0
2024-08-07,49250,51600,49200,49250,1032152,0.9221311475409836,52382.5,54040.0,52449.121417060545,42.034926674481376,57457.07141047399,52382.5,47307.92858952601,-1829.092840631769,-1526.3336209960617,-302.75921963570727,35.92896174863396,41.132837113567774,350893885.0
2024-08-08,48250,48950,46450,46450,819210,-5.685279187817259,51895.0,54039.166666666664,51877.776520197636,37.698794230082186,57273.1874270055,51895.0,46516.8125729945,-2074.469572371112,-1635.9608112710716,-438.5087611000404,34.153005464480955,35.23391812865511,350074675.0
2024-08-09,47500,50300,47150,49250,955589,6.027987082884822,51607.5,54087.5,51627.51208970262,43.92787475587448,56905.16693932338,51607.5,46309.83306067662,-2019.7137972680794,-1712.711408470473,-307.0023887976063,42.122588715517885,37.40151864287767,351030264.0
2024-08-12,49500,51500,49150,50700,682420,2.9441624365482237,51457.5,54170.0,51539.17760496904,46.88932195213419,56679.02037245858,51457.5,46235.97962754142,-1838.1277763495455,-1737.7946820462876,-100.3330943032579,55.28641703532264,43.85400373844056,351712684.0
2024-08-13,50800,51200,49350,49600,491982,-2.1696252465483234,51237.5,54203.333333333336,51354.49402354342,44.9498025389691,56382.193868443486,51237.5,46092.806131556514,-1762.6614890048295,-1742.7680434379959,-19.893445566833634,68.9807774788475,55.46326107656275,351220702.0
2024-08-14,50600,50600,49000,49300,588811,-0.6048387096774194,51082.5,54240.833333333336,51158.827926063095,44.410270978403986,56264.41808117419,51082.5,45900.58191882581,-1707.3797939170327,-1735.6903935338032,28.31059961677056,66.70832131756872,63.658505277246356,350631891.0
2024-08-16,50400,52500,50100,52500,862145,6.490872210953347,50937.5,54349.166666666664,51286.55859977137,51.14624526733724,55779.181009732056,50937.5,46095.818990267944,-1389.3399496867933,-1666.4203047644012,277.0803550776079,72.53356403601532,69.40755427747725,351494036.0
2024-08-19,53200,53400,50400,50700,641537,-3.428571428571429,50652.5,54439.166666666664,51230.69587598362,47.648694102105,54795.02036808511,50652.5,46509.97963191489,-1267.9202432421807,-1586.7202924599571,318.8000492177764,65.0240024002401,68.08862925127478,350852499.0
2024-08-20,51800,52800,50300,50700,570412,0.0,50527.5,54535.833333333336,51180.153411604224,47.64869410210499,54502.48113203069,50527.5,46552.51886796931,-1158.341610064861,-1501.044555980938,342.70294591607694,59.09090909090915,65.54949184238826,350852499.0
2024-08-21,51100,52700,50500,51600,628465,1.7751479289940828,50472.5,54620.833333333336,51220.13880097525,49.64546518590881,54355.08612267648,50472.5,46589.91387732352,-987.4940586004086,-1398.3344565048321,410.8403979044235,45.45454545454552,56.52315231523166,351480964.0
2024-08-22,51700,53700,51200,53300,874929,3.294573643410853,50657.5,54744.166666666664,51418.220819929986,53.271048512215394,54705.249374652536,50657.5,46609.750625347464,-706.7731102040416,-1260.0221872446741,553.2490770406325,62.20538720538727,55.58361391694738,352355893.0
