,name,sector,year,quarter,자본총계변화율,Relative Return,매출액변화율,이익잉여금변화율,비유동부채변화율,유동자산변화율,Label,Code
24,Ilshin_Spinning,Materials_&_Chemicals,2018,Q3,-0.004400718138894533,0.12015405613350345,0.2127658698075071,-0.006117042491849967,0.016913915970117266,0.05076707453448859,-0.05268189892680826,003200
24,Hanil_Cement,Materials_&_Chemicals,2018,Q3,-1.555765148322381,0.32602715542639027,0.6274957788822266,-0.26217431510834666,-0.0005683522479111858,0.8704199790901498,0.0,003300
24,Ssangyong_Cement,Materials_&_Chemicals,2018,Q3,0.002562721814404312,0.25643429793266226,0.10969690069556126,0.018917065350763984,-0.18351785233340023,0.04632929951239806,0.1230261922898082,003410
24,Samsung_Fine Chemicals,Materials_&_Chemicals,2018,Q3,-0.030888577698597208,-0.03023573367604228,0.03133247390008931,-0.049621114728797044,0.08250475718580552,0.0684313800055929,-0.2024831313532575,004000
24,Hyundai_Steel,Materials_&_Chemicals,2018,Q3,-0.0011399710493336102,0.08175916329264618,0.02573241700490836,0.0025305342157606603,-0.08479438514439686,-0.007187520951928539,0.06745929743059088,004020
25,Hansol_Technics,Technology,2018,Q3,-0.014643989966069082,-0.18247576144648023,-0.3050489994915284,-0.5858611372207805,0.05284661717119432,-0.06217219364151427,-0.12735403973946222,004710
24,POSCO_Holdings,Materials_&_Chemicals,2018,Q3,-0.01742480993237283,0.06425410271679796,-0.026043734105955174,-0.016325669011795663,-0.2746619817085194,-0.1424478428525393,-0.10265615279040055,005490
25,Samsung_Electronics,Technology,2018,Q3,-0.048314350828653874,0.0024274305995689513,-0.1532290558985474,-0.04880454080888885,0.08034539546244157,-0.20323310527081562,-0.005722233246195965,005930
25,Samsung_SDI,Technology,2018,Q3,-0.013063768607744608,0.12038661427303834,-0.1215631318278605,-0.01815882004025471,-0.8192723844833385,-0.1341796079142601,0.1976786169663572,006400
25,Korea_Petrochemical_Ind,Materials_&_Chemicals,2018,Q3,-0.04570132897941148,-0.10900935888132407,0.012567030354147857,-0.056668228184975966,-0.010088364630515656,-0.05137885706524137,-0.25616826260343384,006650
25,Kukdo_Chemical,Materials_&_Chemicals,2018,Q3,-0.02407979598383969,0.06690037574092825,0.009764869234491713,-0.017484152981284806,0.33058583226974947,0.027517874750595972,-0.11573932696089355,007690
24,Daeduck_Electronics,Technology,2018,Q3,-0.014089573353317286,0.046942433750473016,0.024768878368004565,-0.41235745985690153,-0.38228916786763256,-0.05636049039171964,-0.04543643811320219,008060
25,Samsung_Electro-Mechanics,Technology,2018,Q3,-0.03993398418717664,0.45796955266166395,-0.24007934134864972,-1.01427364316587,-0.0458997900849909,-0.6517215666305327,-0.07176105838872321,009150
24,Moorim_P&P,Materials_&_Chemicals,2018,Q3,-0.03746002430235529,0.3801412155000322,-0.012588579032224434,-0.07021719533711268,0.03668429472655932,-0.08652101271867685,0.2150062147617598,009580
