,name,year,quarter,sector,Relative Return,국제유가 변화율,보유 주식 수 변화율,1인평균급여 변화율,실업률 변화율,기초 소유 주식 수 변화율,금리 변화율,Label,Code
1,에이블씨엔씨,2024,Q3,생활소비재,-0.10314156663570528,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.011524257892849443,078520
1,아모레퍼시픽,2024,Q3,생활소비재,0.06697085514344364,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.035625561652958965,090430
1,CJ제일제당,2024,Q3,생활소비재,-0.23168930144823155,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.05181485181485187,097950
1,풍산,2024,Q3,철강_소재,0.18384274839701545,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.025365681615681597,103140
1,한국철강,2024,Q3,철강_소재,0.1936049549934685,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.18304997168186155,104700
1,락앤락,2024,Q3,생활소비재,0.10791288764404999,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.09761508652637695,115390
1,이마트,2024,Q3,생활소비재,0.048651835992118864,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.32766902466134545,139480
1,삼양사,2024,Q3,생활소비재,0.13289523792312677,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.13094026392455707,145990
1,한국콜마,2024,Q3,생활소비재,0.005590776634040895,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.09384432057304397,161890
1,코스맥스,2024,Q3,생활소비재,0.23282755686744405,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.29717806945529723,192820
