,name,year,quarter,sector,Relative Return,자본금 변화율,금리 변화율,실업률 변화율,국제유가 변화율,소비자물가지수 변화율,Label,Code
34,현대위아,2016,Q2,경기소비재,-0.16277061273030213,0.00851220612706527,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.15839698201835667,011210
34,현대모비스,2016,Q2,경기소비재,-0.04971800343283163,0.011073935719280392,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.04558212976950702,012330
34,에스원,2016,Q2,경기소비재,0.008427047862904602,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.1134069139601327,012750
34,한온시스템,2016,Q2,경기소비재,-0.026606545994218668,0.008469562645260886,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.08414490944836989,018880
34,대교,2016,Q2,경기소비재,-0.1631910943434729,0.008471181609120748,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.03858047484743403,019680
34,한섬,2016,Q2,경기소비재,-0.12235445133964723,0.008468501098240377,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.030681368942144092,020000
34,코웨이,2016,Q2,경기소비재,-0.12033052789467116,0.008458594048234236,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.01503139753479877,021240
34,롯데쇼핑,2016,Q2,경기소비재,-0.21203928702907587,-0.0009683553942452239,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.1746984284120808,023530
34,삼성물산,2016,Q2,경기소비재,0.06310425471402449,0.001090396803314242,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.036664477524810196,028260
34,세종공업,2016,Q2,경기소비재,0.12832164601837232,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.08892174181140913,033530
34,강원랜드,2016,Q2,경기소비재,-0.06017062336006495,0.008448127590801269,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.10749089195950665,035250
34,한라홀딩스,2016,Q2,경기소비재,0.16139287636064797,0.008461572196548639,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.014371596983079833,060980
34,S&T모티브,2016,Q2,경기소비재,-0.12370645416157881,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.2884021113361442,064960
34,현대백화점,2016,Q2,경기소비재,-0.1585714038070799,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.028696633586300917,069960
34,금호타이어,2016,Q2,경기소비재,0.1494614520552035,0.008484231551211918,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.07491613675355491,073240
34,현대리바트,2016,Q2,경기소비재,-0.14017821001387645,0.008471388164412286,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.0625471673941301,079430
34,베이직하우스,2016,Q2,경기소비재,-0.15869639373854103,0.008471307072762668,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.07913835349014044,084870
34,LF,2016,Q2,경기소비재,-0.1681369795075744,0.008469643073879318,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.009312502563270288,093050
34,풍산,2016,Q2,철강_소재,0.004758954715684591,0.008479105901902928,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.22564667469914307,103140
34,한국철강,2016,Q2,철강_소재,-0.11608336236179134,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.020029172322892093,104700
34,한세실업,2016,Q2,경기소비재,-0.3461471143237057,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.29947739538864576,105630
34,영원무역,2016,Q2,경기소비재,-0.2020008067694533,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.2686219547384475,111770
34,GKL,2016,Q2,경기소비재,-0.1769417944004608,0.31821100551007175,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.16222562260594148,114090
34,한국타이어,2016,Q2,경기소비재,-0.05182665192567891,0.008497202037502705,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.03831477325780555,161390
