,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,자본총계 변화율,비유동자산 변화율,국제유가 변화율,Label,Code
2,LG생활건강,2024,Q2,생활소비재,-0.22010182890920474,0.1895737391043555,0.01579738593527935,-0.0036181272518993612,0.01979840167061564,0.11555424328540564,051900
2,LG전자,2024,Q2,정보기술,0.009470725120391758,-0.10638246047346589,0.05473680958014038,0.004651055179744068,0.01979840167061564,0.03059741145357381,066570
2,에이블씨엔씨,2024,Q2,생활소비재,0.02563189619536539,-0.6740295786383308,0.020536512176677846,-0.013763705859478947,0.01979840167061564,-0.10314156663570528,078520
2,아모레퍼시픽,2024,Q2,생활소비재,-0.26214869011960895,0.08754467405521238,0.024140499068721066,0.20555714203018072,0.01979840167061564,0.06697085514344364,090430
2,CJ제일제당,2024,Q2,생활소비재,0.1599541139048076,3.1890250781181875,0.05219674058401225,-0.005657670999734021,0.01979840167061564,-0.23168930144823155,097950
2,락앤락,2024,Q2,생활소비재,0.05957269026685079,0.7204222088484131,-0.01491087363316157,-0.003794136231491496,0.01979840167061564,0.10791288764404999,115390
2,이마트,2024,Q2,생활소비재,-0.010437759053943362,-1.486109901299817,-0.05284088271403786,0.019738863775471627,0.01979840167061564,0.048651835992118864,139480
2,삼양사,2024,Q2,생활소비재,-0.02942926361248882,-0.4218551485598456,0.038451723489489886,0.026119635765212035,0.01979840167061564,0.13289523792312677,145990
2,한국콜마,2024,Q2,생활소비재,0.1924577264918067,2.396596175091096,0.08301456578992639,0.039627974685326306,0.01979840167061564,0.005590776634040895,161890
2,코스맥스,2024,Q2,생활소비재,-0.21329772384116372,0.030020764069494943,0.08963076451291152,0.07366523043320683,0.01979840167061564,0.23282755686744405,192820
