,name,year,quarter,sector,Relative Return,이익잉여금 변화율,매출액 변화율,영업이익 변화율,GDP 변화율,비유동자산 변화율,비유동부채 변화율,Label,Code
34,팜스코,2016,Q4,생활소비재,-0.08084832053949456,-0.026788754910775814,0.1276353169217399,-0.6926888839461732,0.053783991782550444,0.006434146787518635,-0.4487709583962175,-0.039590639405368486,036580
34,대우건설,2016,Q4,건설,0.2573537877173294,-1.7829876398205289,-0.051804576519915546,-8.47635924428269,0.053783991782550444,0.04649327031831718,-0.3462569086046928,-0.03551711946914692,047040
34,동원F&B,2016,Q4,생활소비재,0.040125592350136324,0.08865757362464532,-0.24915736006186995,-1.047653731958844,0.053783991782550444,-0.004594730123672397,-0.7126518614176984,0.03248738815914712,049770
34,LG생활건강,2016,Q4,생활소비재,-0.07159649384401243,0.03788268562431463,-0.08843909819748974,-0.3014829032526236,0.053783991782550444,0.03966630321248821,-0.045978396945784206,0.1334835035605429,051900
34,한전기술,2016,Q4,건설,0.06786802803124059,-0.050625688192573515,0.5451574618551169,15.323901817072649,0.053783991782550444,-0.009842301607977944,-0.2049722191704536,-0.23071962597988838,052690
34,에이블씨엔씨,2016,Q4,생활소비재,0.2494374504956232,0.07590005991059412,0.4202331142122049,134.7280927092502,0.053783991782550444,-0.016892946222105354,-0.3009623166335258,-0.00930382773781592,078520
34,아모레퍼시픽,2016,Q4,생활소비재,-0.22760964730769184,0.025394066939844473,-0.1357695358708555,-0.4669413480889092,0.053783991782550444,0.07692301559103587,-0.2655681548203288,0.14898086894332196,090430
34,CJ제일제당,2016,Q4,생활소비재,-0.14054255878622487,0.006632761320590985,-0.10563780634377984,-0.7625759289343758,0.053783991782550444,0.07689402240499743,-0.041056280407495316,-0.0152055204104114,097950
34,LG하우시스,2016,Q4,건설,-0.00041183511151736407,0.12444847009979054,0.07548645773668272,0.2878114220007666,0.053783991782550444,0.020883339770765286,-0.22492249006444454,0.031977147294561345,108670
34,이마트,2016,Q4,생활소비재,0.023243376115176906,0.012147781817614334,-0.09804050093423977,-0.3401496188041405,0.053783991782550444,0.02012291803356714,-0.01615412461693566,0.045376804567981,139480
34,삼양사,2016,Q4,생활소비재,-0.23117686492082878,-0.15876142736017362,-0.008678468587527632,-1.1479909826282986,0.053783991782550444,-0.03617865082460592,-0.11484695380293175,-0.09718670076726346,145990
34,한국콜마,2016,Q4,생활소비재,0.03740058502648416,0.10336359231164782,0.09484910374777433,0.24394853208731737,0.053783991782550444,0.13788343708507478,-0.33149875397187234,0.06516526610644253,161890
34,코스맥스,2016,Q4,생활소비재,0.27382745606638714,0.2268855201336517,0.05025834035282872,-0.1100738038623218,0.053783991782550444,0.08723822845767848,-0.01480444289703009,-0.15643010616004077,192820
