,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,비유동부채 변화율,부채총계 변화율,유동부채 변화율,금리 변화율,실업률 변화율,Label,Code
34,SKC,2016,Q2,에너지_화학,-0.025663861228004493,1.8424059600820497,-0.012999924642301042,-0.05403629801804677,-0.15708756220023468,-0.08606485539000996,-0.044642857142857095,-0.012310610291791764,011790
34,한솔케미칼,2016,Q2,에너지_화학,0.13034264519103736,-0.3715781923692252,-0.2665463438785507,0.05179148978500736,0.5775383478530831,-0.08606485539000996,-0.044642857142857095,-0.023393262799784063,014680
34,동원시스템즈,2016,Q2,에너지_화학,-0.21127548913522995,-0.5994727436510201,0.008465758521924549,-0.10971682855771547,0.008465758521924549,-0.08606485539000996,-0.044642857142857095,0.04719676204808745,014820
34,유니드,2016,Q2,에너지_화학,-0.10289678248751447,0.4904339092034413,-0.034328421866639314,-0.08239591761183251,-0.09136029381502331,-0.08606485539000996,-0.044642857142857095,0.05530676296054313,014830
34,한국단자,2016,Q2,산업재,-0.11560638996363667,0.010648772695547981,0.04216763469581153,0.002218628043788584,-0.008815771369399483,-0.08606485539000996,-0.044642857142857095,-0.1124331605324087,025540
34,남해화학,2016,Q2,에너지_화학,-0.19072252225831157,0.7506093972735348,-0.4241158726520925,-0.012712051334322183,0.00042855362775306993,-0.08606485539000996,-0.044642857142857095,-0.07088510526180938,025860
34,대우인터내셔널,2016,Q2,산업재,-0.12234048035172608,-0.5403698202737675,-0.02355927411075398,-0.08676092703156124,-0.11374932917290714,-0.08606485539000996,-0.044642857142857095,0.08085533832688312,047050
34,한국항공우주,2016,Q2,산업재,0.18112626222878564,0.230921436025316,0.2641196062336497,0.0018713939401859836,-0.2063632548467037,-0.08606485539000996,-0.044642857142857095,-0.12054811873481577,047810
34,한전KPS,2016,Q2,산업재,-0.1052709072984652,0.700760056110098,0.3952784184626805,-0.10766535078751949,-0.24589573308591828,-0.08606485539000996,-0.044642857142857095,-0.198087937934127,051600
34,LG화학,2016,Q2,에너지_화학,-0.12090195646609972,0.5161580825049357,0.05825440039324681,-0.07847169262155995,-0.08607452811815752,-0.08606485539000996,-0.044642857142857095,-0.08704468603024589,051910
34,휴켐스,2016,Q2,에너지_화학,-0.10972454285726468,1.6341120622732115,0.0022666158922637347,-0.0218846050124053,-0.043492385549032786,-0.08606485539000996,-0.044642857142857095,0.20940753308036575,069260
34,GS,2016,Q2,에너지_화학,-0.09565084039467116,-0.5753139602803738,-0.0003742552972355595,-0.08811743518437753,-0.2141263475860632,-0.08606485539000996,-0.044642857142857095,0.10081430080733725,078930
34,휴비스,2016,Q2,에너지_화학,-0.06467510863276547,-0.5542909824459342,-0.004975039352398181,0.02544123348224936,0.04050517272236309,-0.08606485539000996,-0.044642857142857095,-0.05072403428346787,079980
34,현대글로비스,2016,Q2,산업재,-0.15896171828104827,-0.5413284210391152,0.016604279143947576,-0.05005423391003383,-0.09032364033938045,-0.08606485539000996,-0.044642857142857095,-0.045976701927484785,086280
34,후성,2016,Q2,에너지_화학,0.24314517993116536,0.09667411186857211,0.054766271612127104,0.038005188101177145,0.017414905258828606,-0.08606485539000996,-0.044642857142857095,-0.06880889913750857,093370
34,SK이노베이션,2016,Q2,에너지_화학,-0.07386682293133817,-2.857175284588563,-0.04062762772809847,-0.2635516818820327,-0.7179908910649249,-0.08606485539000996,-0.044642857142857095,0.051667529023881956,096770
34,코오롱인더,2016,Q2,에너지_화학,0.16355182504650534,-0.17498993713523348,-0.19068578928220326,-0.009800781397112601,0.11455544272846607,-0.08606485539000996,-0.044642857142857095,-0.1350028536819947,120110
