code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
5380,현대차,경기소비재,2021,Q4,2022-03-16,"23,330,493,000,000","56,427,807,000,000","79,758,300,000,000","20,043,791,000,000","7,039,497,000,000","27,083,288,000,000","49,094,270,000,000","52,675,012,000,000",15363494000000.0,27431000000.0,-1071578000000.0,-1175167000000.0,"1,488,993,000,000",775156000000.0,,,,,,,,,,,
5850,에스엘,경기소비재,2021,Q4,2022-03-21,"1,049,202,785,302","684,397,287,142","1,733,600,072,444","336,329,134,936","62,004,681,209","398,333,816,145","825,678,744,129","1,335,266,256,299",552340080769.0,25569953571.0,30007685323.0,4142372444.0,"24,101,638,500",,,,,,,,,,,,
7340,동아타이어,경기소비재,2021,Q4,2022-03-21,"763,768,501,176","488,124,681,852","1,251,893,183,028","393,171,917,710","202,036,387,906","595,208,305,616","902,963,442,254","656,684,877,412",80285395687.0,14229056518.0,50783986545.0,46729227371.0,"4,997,002,500",,,,,,,,,,,,
7860,서연,경기소비재,2021,Q4,2022-03-17,"16,290,510,000","292,016,707,414","308,307,217,414","1,294,657,735","2,160,027,701","3,454,685,436","72,655,489,270","304,852,531,978",3572992447.0,-52363988.0,422383572.0,422383572.0,"11,739,922,000",,,,,,,,,,,,
8770,호텔신라,경기소비재,2021,Q4,2022-03-08,"858,662,681,133","1,361,405,025,170","2,220,067,706,303","892,456,390,610","741,038,992,846","1,633,495,383,456","294,490,802,240","586,572,322,847",1020128332009.0,16391009739.0,-34503810247.0,,"200,000,000,000",,,,,,,,,,,,
9240,한샘,경기소비재,2021,Q4,2022-03-15,"342,734,305,860","737,177,719,206","1,079,912,025,066","294,908,923,078","189,068,993,725","483,977,916,803","739,028,326,098","595,934,108,263",447499084770.0,-4399188479.0,2406281392.0,-6600745950.0,"23,533,928,000",,,,,,,,,,,,
9680,모토닉,경기소비재,2021,Q4,2022-03-10,"372,363,285,186","78,147,751,145","450,511,036,331","25,220,860,326","3,945,616,640","29,166,476,966","374,285,145,276","421,344,559,365",50533434884.0,4763539083.0,10658446739.0,5960733768.0,"16,500,000,000",,,,,,,,,,,,
10690,화신,경기소비재,2021,Q4,2022-03-21,"311,755,617,884","367,712,959,745","679,468,577,629","270,375,757,902","78,764,868,729","349,140,626,631","321,292,777,795","330,327,950,998",181661325170.0,1367437064.0,4110198087.0,2002545776.0,"17,460,205,000",,,,,,,,,,,,
11210,현대위아,경기소비재,2021,Q4,2022-03-15,"2,868,852,000,000","2,883,653,000,000","5,752,505,000,000","1,532,358,000,000","1,087,887,000,000","2,620,245,000,000","2,544,918,000,000","3,132,260,000,000",1637751000000.0,17197000000.0,18076000000.0,3578000000.0,"135,975,000,000",,,,,,,,,,,,
12330,현대모비스,경기소비재,2021,Q4,2022-03-15,"15,461,247,000,000","17,114,961,000,000","32,576,208,000,000","6,411,865,000,000","1,585,435,000,000","7,997,300,000,000","23,708,066,000,000","24,578,908,000,000",7841548000000.0,421388000000.0,498275000000.0,321763000000.0,"491,096,000,000",,,,,,,,,,,,
