,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,특정 증권 등 소유 수변화율,Label,Code
8,Ilyang_Pharmaceutical,제약,2022,Q3,-0.020900974312442422,-0.31320537689931394,-0.418753399394483,-0.912181137679124,0.006409844160299438,-0.024837414624111792,-0.08498608133962171,-0.07634409872128778,-0.09003812038247316,-0.07358750783873758,-0.11536713496655092,007570
9,Kukdo_Chemical,화학,2022,Q3,-0.03445530376879469,-0.031888585229191024,0.17752972468187134,0.5765640936081425,-0.1707735604343006,0.010923198954720242,-0.030247529374830995,-0.1879911541405761,-0.03982830112510194,-0.28693986784000614,-0.04837600414615183,007690
8,Seohung,화학,2022,Q3,-0.03165307200133438,-0.03418384324787982,-0.051786071554745794,0.07449384509032819,-0.02567968847464175,-0.034619665911971215,-0.03726838842833913,0.0,-0.037261322995711055,0.0,0.07019081613034588,008490
9,Samsung_Electro-Mechanics,전기·전자,2022,Q3,-0.05760124933978128,-0.6717693534584896,0.09483403269745994,-0.26925520581631446,-0.020066650376263206,-0.04586046889135173,-0.10884858958243138,-0.07187303502759357,-0.09389080740399613,-0.15863100570023536,-0.059664977530182225,009150
8,Kwang_Dong_Pharmaceutical,제약,2022,Q3,-0.009655433999958163,-0.014086499601293268,-0.12598083119609305,0.2788333587577221,0.003162544194070138,-0.013358939839363954,-0.02025341435036987,0.0,-0.020394459452149905,0.0,0.03886476631933775,009290
8,Hanwha_Solutions,화학,2022,Q3,-0.037575895262131676,-0.056437263448809505,-0.15441458674367103,-1.26942788193859,-0.020191809712411413,0.21316707783864586,-0.054231700159454554,-0.04141975658391783,-0.057601766222607154,-0.0584473041825424,0.31461916574059035,009830
8,LS_Electric,전기·전자,2022,Q3,-0.0029157578701324294,-0.0030956355579614403,0.10569656892986334,-0.052158722569875415,-0.00266658621847915,0.444564997520815,-0.009663612967172774,-0.028176132522442998,-0.01099341295210543,-0.007587415446644652,-0.10620359035304837,010120
8,S-Oil,화학,2022,Q3,0.03519203698072837,0.043699033774354246,0.025985614608989294,0.7030724773744221,-0.0019895780185310574,0.22593324123059488,-0.06428702792431107,-0.0510796857388498,-0.06428702792431085,-0.03736658782607183,-0.12113210170712742,010950
8,LG_Innotek,전기·전자,2022,Q3,-0.08938137790950762,-0.14480202936448117,-0.4647595657057184,-0.6568654051253862,-0.03773469874045543,0.04443094342911853,-0.5511306957406972,1.0413023401051777,-0.7969335246430558,-0.1271479956806305,-0.12091357640048707,011070
8,Lotte_Chemical,화학,2022,Q3,-0.001766300146953892,-0.005977507795562831,0.005686633473179548,-14.398458730538351,-0.055304467098004295,0.023443846300769455,-0.051548407649094186,-0.22825881395955316,-0.04565960828207749,-0.1627793203321235,-0.12233255990113363,011170
8,Hyundai_Merchant_Marine,운송·창고,2022,Q3,-0.27237371311405933,-0.4197181932244729,-0.018312089283430755,0.10219497374062703,0.30084775405920505,-0.00011480033107350018,0.01712949593088675,-1.170472670592428,0.0021619441072656675,-0.14857823571415674,-0.17137600414615184,011200
8,Kumho_Petrochemical,화학,2022,Q3,-0.02425606561425875,0.009026745770124744,0.15271981819307678,0.24088167001384064,0.008344799368102507,0.058571796091371975,-0.01898036877890963,-0.030390443523191868,-0.011197106872304019,-0.0669234617861294,-0.08931194720665005,011780
8,SKC,화학,2022,Q3,-0.015953142105096685,-0.01838689889029954,0.9717882451028904,0.31771389742795586,0.31942181125664426,0.028105541034952997,0.022496157098806147,2.1305656595773224,0.04749395252166333,-0.22623567741375838,-0.2852566011610772,011790
9,Hansol_Chemical,화학,2022,Q3,0.0044331309533284236,-0.04520846543922752,0.06564490509792986,0.29472189828788,-0.0120774796815315,0.0006948903883793323,-0.014950872466903409,0.6033066295296133,-0.005824154103493351,-0.03633844385152929,-0.07393758050083162,014680
