,name,sector,year,quarter,Relative Return,이익잉여금 변화율,자본총계 변화율,실업률 변화율,환율 변화율,자기주식수 변화율,발행금액 변화율,전체 주주 수 변화율,특정 증권 등 소유 증감 수 변화율,증자주식수 변화율,Label,Code
18,Bukwang_Pharmaceutical,제약,2020,Q1,0.00504861827317897,0.11747222239378341,0.11759197000525279,-0.00943396226415083,-0.015754379708652122,0.2970092471148076,-1.892566584532704,-0.017976689737921214,-0.017976689737921436,0.2245309843668324,0.9617122850072963,003000
18,SeAH_Steel,기타금융,2020,Q1,-0.14315060505818994,-0.007041604099028875,0.013364882205112893,-0.00943396226415083,-0.015754379708652122,0.29700183962156224,0.0,-0.017976344605594496,-0.017976344605594496,0.5604244954740483,-0.29233174461867184,003030
18,Ilshin_Spinning,섬유·의류,2020,Q1,-0.1714879477695866,-0.000652077172186516,0.0013693422984146775,-0.00943396226415083,-0.015754379708652122,-1.495605448972889,0.0,-0.017976602603606118,-0.017976602603605896,-0.7763644024189236,-0.16432144878989294,003200
18,Taekwang_Industrial,화학,2020,Q1,-0.12711397397971158,-0.023680396097500056,-0.010703797133994719,-0.00943396226415083,-0.015754379708652122,-79.11504849985486,0.0,-0.017970834117597034,-0.017970834117597034,0.0,-0.21493368728853676,003240
18,Hanil_Cement,비금속,2020,Q1,-0.19274167084824007,0.0022914770636661697,0.011414569354347703,-0.00943396226415083,-0.015754379708652122,-0.017970996997480393,0.6964848311093819,-0.017970996997480393,-0.017970996997480393,0.47723665635991375,-0.031148671811592366,003300
18,Ssangyong_Cement,비금속,2020,Q1,-0.14640386470224231,-0.00449786570719346,0.001730489541946434,-0.00943396226415083,-0.015754379708652122,-1369.7552348769382,0.2593960129363211,-0.017967876383774062,-0.017967876383774284,0.44124524160845147,-0.005216583020350357,003410
18,Korean_Air,운송·창고,2020,Q1,0.1756962305054659,-10.163547575049407,0.25874860818285805,-0.00943396226415083,-0.015754379708652122,0.2190156323386787,0.4675948539894378,-0.017176041830569533,-0.017941662234280953,-0.9981345768967302,-0.1487856324050815,003490
18,Youngjin_Pharmaceutical,제약,2020,Q1,0.3377522490000713,-0.1352139055236199,-0.016040080565284054,-0.00943396226415083,-0.015754379708652122,0.1896358341376192,0.37940944962252654,-0.01797678771298683,0.0,-1.6999901740248924,-0.07566666419609644,003520
18,LG_Corp,기타금융,2020,Q1,-0.020098031793136094,-0.04785286394462074,-0.029675840821208332,-0.00943396226415083,-0.015754379708652122,-5.048646019950298,0.0,-0.018232931050088386,0.0,-0.018232931050088164,-0.008764312100196486,003550
18,Namyang_Dairy_Products,음식료·담배,2020,Q1,-0.1855966255102322,0.016504462165055744,0.016817128036192286,-0.00943396226415083,-0.015754379708652122,0.28512348619270544,-0.017972865184503695,-0.017972865184503695,-0.017972865184503917,-0.017972865184503695,-0.13066365279161626,003920
