,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,비유동자산 변화율,부채총계 변화율,매출액 변화율,비유동부채 변화율,Label,Code
7,무학,2023,Q1,생활소비재,0.09152075309320146,-0.08337411073888668,0.06803526368054835,-0.09759139861007082,-0.041598617081803124,0.014622538998224854,0.015051081882784034,-0.04775486317670235,033920
7,한국가스공사,2023,Q1,생활소비재,-0.043305680653114534,-0.08337411073888668,0.008050296572577054,0.05975345334748172,-0.0031430950137247837,-0.007234269188559295,0.008168160389451673,-0.08128187759639563,036460
7,팜스코,2023,Q1,생활소비재,-0.0454691207593151,-0.08337411073888668,-0.022947933662324838,-0.002340958676020022,-0.022123037973609483,-0.08643679592756082,0.1306088940830068,0.018395632763530914,036580
7,동원F&B,2023,Q1,생활소비재,-0.038776095566564445,-0.08337411073888668,-0.609214544333887,0.0010489854869872861,-0.08074504057144305,0.14216309734758403,0.022545402574490003,-0.1676826942253406,049770
7,LG생활건강,2023,Q1,생활소비재,-0.04558158822589467,-0.08337411073888668,0.07186933980827281,-0.005160417448026311,0.2146355406774929,0.023250129399907005,0.02285258010080038,-0.17802730342237955,051900
7,에이블씨엔씨,2023,Q1,생활소비재,0.34610935191975933,-0.08337411073888668,-0.052510358815059055,-0.03595678230271837,-0.03230624182233843,0.01377108022724527,-0.0449549533112833,-0.09499247683403625,078520
7,아모레퍼시픽,2023,Q1,생활소비재,-0.17687754275939044,-0.08337411073888668,0.0011787706476220627,-0.0030389570609586913,0.12545579381786776,-0.12707573520848214,-0.009425926464660894,0.09135121616408058,090430
7,CJ제일제당,2023,Q1,생활소비재,-0.017709560609676888,-0.08337411073888668,0.060048752330176036,-0.0010303425700226576,-0.039182530957252215,-0.03284504855515369,0.02540766128774985,-0.0763624167881985,097950
7,풍산,2023,Q1,철강_소재,0.06564280825471461,-0.08337411073888668,0.023615010712588314,0.011730507845840732,-0.04088129241111549,-0.10285343692656768,-0.012181927933126224,-0.1827580104026475,103140
7,한국철강,2023,Q1,철강_소재,-0.0887247530763517,-0.08337411073888668,0.013145798380427731,-0.03767626042131733,0.09760428184464542,-0.15044497215915242,1.1090326276296172,-0.18370531086095038,104700
7,락앤락,2023,Q1,생활소비재,-0.07693829289283696,-0.08337411073888668,-0.0982845258763575,-0.0056965416492072984,0.13875332809912977,-0.03599151458676364,-0.023004312432561402,-0.0557954291272384,115390
7,이마트,2023,Q1,생활소비재,-0.22505946038126384,-0.08337411073888668,0.008600382109216875,-0.007625164444893029,0.015259745411084547,-0.015469432605191846,0.05015601199127939,-0.12589506555070507,139480
7,삼양사,2023,Q1,생활소비재,0.07994251658988119,-0.08337411073888668,0.07677670051520757,0.021760708351576064,0.0016396156884634916,0.012952454690858817,-0.2104685644748734,-0.1649531068798749,145990
7,한국콜마,2023,Q1,생활소비재,0.022101969815024207,-0.08337411073888668,-0.009134735289152096,0.017687050654086267,0.12070776385397797,0.2307805104091154,-0.258288551231892,0.31854906432887115,161890
7,코스맥스,2023,Q1,생활소비재,0.0021474449505059917,-0.08337411073888668,0.6422180436698874,0.06975631767802004,0.10864171751209395,0.12333654241718106,0.23404255282795616,0.40067074506423156,192820
