,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동부채 변화율,부채총계 변화율,영업이익 변화율,금리 변화율,Label,Code
11,한전KPS,2022,Q1,산업재,-0.0817470035416579,0.04027613178550471,0.2735474475427775,0.2087566170615358,11.810724993141912,0.14767324592997877,0.17835880642878021,051600
11,LG생활건강,2022,Q1,생활소비재,-0.1439933464457357,-0.000609919760604205,0.041364190847690274,0.058956199885617844,-0.21049067094194363,0.14767324592997877,0.09437621745332392,051900
11,에이블씨엔씨,2022,Q1,생활소비재,-0.018200180565223326,-0.042289618401208484,0.1413683383452886,0.05591021013932718,-1.3325309473744609,0.14767324592997877,-0.20376928896607693,078520
11,현대글로비스,2022,Q1,산업재,0.2762352845826353,0.036944962794405845,0.2289871836074906,0.17465101488463208,0.30187703647422537,0.14767324592997877,-0.04074932541132024,086280
11,아모레퍼시픽,2022,Q1,생활소비재,0.08752471738103038,-0.011178038586642791,-0.15840670681744162,-0.12720945586179344,2.303581716330081,0.14767324592997877,-0.19462244117933306,090430
11,CJ제일제당,2022,Q1,생활소비재,0.19318561101359816,0.0030188496322935965,-0.15268275923115426,0.04545072189652588,-5.874061467684054,0.14767324592997877,0.0660073367602374,097950
11,락앤락,2022,Q1,생활소비재,-0.02311112502918556,0.010103258036934903,-0.22510035191634326,0.022156764170316867,-9.471811411200935,0.14767324592997877,-0.10792438754829758,115390
11,이마트,2022,Q1,생활소비재,-0.059160582938435215,-0.0015458252531866945,-0.13176585141199837,-0.05466220941789357,1.1731445727029874,0.14767324592997877,-0.09212274454057562,139480
11,삼양사,2022,Q1,생활소비재,0.023922936317915817,0.0017771351369908484,-0.23614621435246408,0.08557686115803187,-1.2680677571227492,0.14767324592997877,-0.12848526317521378,145990
11,한국콜마,2022,Q1,생활소비재,0.02577391300348608,0.01629367595120934,-0.2062078056188671,0.23039372755212395,-0.2660706966680486,0.14767324592997877,-0.052890818263467414,161890
11,코스맥스,2022,Q1,생활소비재,-0.05175925639376642,0.037825667709587174,0.05339574077444276,0.03782586239922314,-0.5315323423989959,0.14767324592997877,-0.01890709525701096,192820
