,name,sector,year,quarter,Relative Return,이익잉여금변화율,자본총계변화율,비유동자산변화율,비유동부채변화율,영업이익변화율,Label,Code
22,S-1_Corporation,Financials,2019,Q1,0.23561762396118224,0.040590502458701994,-0.012246778541248116,-0.029959053105437228,-0.2140096816635919,-0.03454908318823713,-0.049857603949117126,012750
22,Dongwon_Systems,Industrials_&_Machinery,2019,Q1,0.0008563597881533491,-0.017701109327978637,-0.009209944337649434,-0.050184434447571924,-0.013811471538877962,-0.48963689333278193,0.2601054956818792,014820
22,UNID,Consumer_Goods_&_Retail,2019,Q1,0.05735285498156882,0.006199169352487877,0.0013515961259731313,-0.029682661389087706,0.024498376852698622,-0.9685156623447335,0.13720409985602003,014830
22,SK_Telecom,Telecommunications_&_Media,2019,Q1,0.08691002696461184,0.0021061115126019825,0.0013864703493183805,-0.015735966993598582,0.010327443684959525,-0.17899644451985597,-0.10965870030255027,017670
22,Hyundai_Elevator,Industrials_&_Machinery,2019,Q1,0.09086430036170479,-0.07874192571418637,-0.021721312522893,-0.03123347105662333,-0.01182695708768633,0.2240900500904277,-0.24443788655252674,017800
22,Coway,Consumer_Goods_&_Retail,2019,Q1,-0.013119781820103454,0.057248679994143514,0.05481304079980198,-0.016986303411993475,-0.1781040178369293,-0.07675287060764635,0.21859877188980906,021240
22,Lotte_Shopping,Consumer_Goods_&_Retail,2019,Q1,0.13359731647769185,0.007566707036452458,0.006290966410481547,-0.29810925010018874,-1.060967911538841,0.1557388085078738,-0.2082500389372968,023530
22,Samsung_Engineering,Industrials_&_Machinery,2019,Q1,0.04313911801117369,1.0728641807408565,-0.09476141396868787,0.009772214959097414,0.06056856893095919,2.310541058162383,-0.1376763008329698,028050
23,Sindoh,Consumer_Goods_&_Retail,2019,Q1,0.050140938484496744,0.01448413101209911,0.01194454570178749,0.01120984876180997,-0.1225660178705037,-0.06499449796517509,-0.03574251165812907,029530
23,Cheil_Worldwide,Consumer_Goods_&_Retail,2019,Q1,0.1728886862322445,0.0789937885732368,0.09360183709435288,-0.035906136793417254,-0.3178387953850108,0.656398503907373,0.02569795160643843,030000
22,KT_Corp,Telecommunications_&_Media,2019,Q1,0.12125524215693996,-0.00015688951681935848,-0.0020687981995839433,-0.019902307589833468,-0.05753772893188058,-4.075591548813478,-0.12729868139019457,030200
22,LG_Uplus,Telecommunications_&_Media,2019,Q1,0.1010022393457976,0.010906729848009666,0.0055353087294153225,-0.0035769246298547053,-0.021426826145392264,-0.8714130691200754,-0.1745034963003919,032640
22,Sejong_Industrial,Industrials_&_Machinery,2019,Q1,0.14819329893894598,0.010011456784860595,-0.02778065827887577,-0.0007496311104018272,-0.16028607911028647,3.03230139062587,-0.233837578917828,033530
22,KT&G,Consumer_Goods_&_Retail,2019,Q1,0.11189834806799329,0.7299799860372886,0.03851398928336014,-0.015093106272925816,-0.2672143413536674,-0.052445626019614,-0.02000685768046041,033780
22,Doosan_Heavy_Industries,Industrials_&_Machinery,2019,Q1,-0.21776363975586321,-0.05819048572373853,-0.013090075416815061,-0.02417302826304968,-0.04994932713842393,0.25609540289691535,-0.25863561889041914,034020
22,SBS_Media,Telecommunications_&_Media,2019,Q1,0.10683177566313881,0.04695951527013964,0.035809074618368575,-0.22753642525165518,0.3583794171118799,2.2268134303578786,0.27507942375869143,034120
22,Daewoo_Shipbuilding_&_Marine_Engineering,Industrials_&_Machinery,2019,Q1,0.11113222918413021,-0.3695925996510665,-0.053637383496142776,0.008010490880107302,-0.20243526237133525,0.3765055628873555,-0.23377320522430034,042660
22,Doosan_Infracore,Industrials_&_Machinery,2019,Q1,-0.09183350238918206,-0.42918913824714666,-0.03537604911211334,0.0026624326598465586,0.09121830473587633,-1.5520093036569382,-0.12186382478893051,042670
22,Korea_Aerospace_Industries,Industrials_&_Machinery,2019,Q1,0.029813568861352474,-0.058305144383723695,-0.02409427231586636,-0.019361569821208846,-0.001444234807470579,0.5200162746586277,0.05655867148124281,047810
22,LG_Household & Health Care,Consumer_Goods_&_Retail,2019,Q1,-0.009963627860319207,-0.007965681123349277,-0.0071559546839987664,-0.025250006336399844,0.6704831453366041,-0.37363090826060685,0.23133588610513242,051900
22,Hyundai_Rotem,Industrials_&_Machinery,2019,Q1,0.03106046867704794,-0.05396863423077791,-0.011176668933998046,0.006297350798349033,0.2608267613914318,1.006435325757824,-0.229751783843297,064350
23,S&T_Motiv,Industrials_&_Machinery,2019,Q1,0.029973753268767847,0.026893092654296846,0.025012103462073942,0.13490172177615212,0.01399374921290042,0.37197724003114396,0.39050812581722216,064960
22,Daewoong_Pharmaceutical,Healthcare,2019,Q1,0.11044279878635704,0.0037913216808720396,0.0019215015224327558,-0.015181477224605278,-0.012441991120169194,-1.1750532527781696,-0.08143655131753819,069620
22,Hyundai_Department_Store,Consumer_Goods_&_Retail,2019,Q1,0.04067876000823377,-0.00915260133596485,-0.0061939106149002665,-0.08172147635826987,-0.42698768495644357,0.206649893738442,0.06739903321902446,069960
22,Able_C&C,Consumer_Goods_&_Retail,2019,Q1,-0.10117234663160526,0.012950788191325668,-0.010778843246756598,-1.1496355018598794,-15.923179325729222,3.5151281981953737,0.08467154403294566,078520
22,Hyundai_Livart,Consumer_Goods_&_Retail,2019,Q1,-0.04197385672308196,-0.0048670752828190444,-0.0035822373293001863,-0.11571209489316336,-1.0717357600735076,-0.27682365117497487,-0.019782415979192315,079430
22,Huvepharma,Healthcare,2019,Q1,-0.043503255159696885,0.011223073852091314,0.0052477280448117725,-0.31089264226929214,-0.18590607818828686,1.8656511816040173,0.01131260881684032,079980
22,Doosan_Engine,Industrials_&_Machinery,2019,Q1,0.2843400596546647,0.6685666540667521,0.05155031465123083,-0.011621280594079852,-0.025819069857010657,-0.027470491717459966,-0.1561493103361524,082740
22,Basic_House,Consumer_Goods_&_Retail,2019,Q1,-0.23530340416323575,0.007697397160450592,0.00404824280531868,0.025476604694682048,-0.14880017957226133,1.3092539114887136,-0.24593603532166614,084870
22,Amorepacific,Consumer_Goods_&_Retail,2019,Q1,-0.07521737437381612,-0.009206081790204435,-0.0007692818608038277,-0.008465714439033656,-0.31103400761387867,-7.117788393631194,-0.14360760394911712,090430
22,LF_Corp,Consumer_Goods_&_Retail,2019,Q1,0.08699125033480859,-0.007751056378944021,-0.00564266509149669,-0.2781066629855191,-0.09932916134877079,0.46653733241578876,-0.05185361193314906,093050
22,HHI_Heavy_Industries,Industrials_&_Machinery,2019,Q1,-0.22974617904634853,-0.03996608192446227,1.6400295791241573,-0.08141977580393278,0.3063158308714833,0.9997913128580064,-0.3328856211904965,097230
22,CJ_CheilJedang,Consumer_Goods_&_Retail,2019,Q1,0.12820542831369247,0.006738687390951514,0.004560719754452158,-0.21510177789330687,-0.7104333417488653,-2.7129268710586882,-0.07255049351038792,097950
22,Hansea,Consumer_Goods_&_Retail,2019,Q1,0.0334947468383051,0.01714197152281982,0.014367324825919958,-0.2021703633800136,-0.06107539610872803,-0.2969340303207646,0.4042240287039441,105630
22,Youngone_Corporation,Consumer_Goods_&_Retail,2019,Q1,0.10088067948972448,-0.004147599719930062,-0.10005423364856258,-0.11405210010136746,-0.1248870155178492,-0.4562148517932383,-0.19421455932969456,111770
22,Lock_&_Lock,Consumer_Goods_&_Retail,2019,Q1,0.34533323408395844,0.024174253182452365,0.010328453664748438,-0.05668109053592918,-1.773636308772999,-1.032458811404235,-0.06672149510036515,115390
22,Hanmi_Pharmaceutical,Healthcare,2019,Q1,0.07700843966658386,0.03193143253493114,0.014298283298834868,-0.059493343469585236,0.028141587332878415,-0.07526276184231517,-0.06390525350047492,128940
22,Emart,Consumer_Goods_&_Retail,2019,Q1,0.006521779757424351,-0.008148856083709077,-0.005309283497299422,-0.08633863815635068,-0.3065063011252487,-0.428055213063012,-0.10480265889417206,139480
22,KOLMAR_Korea,Healthcare,2019,Q1,0.06376170210526037,-0.029280541432614715,-0.014058963984828532,-0.0010506190611736521,-0.5222394814690914,0.08221220691611486,0.064988334426233,161890
22,Dong-A_ST,Consumer_Goods_&_Retail,2019,Q1,0.1033175154093822,-0.12361768420059271,-0.024476096366079725,-0.020970125235973747,-0.08107766840841757,-33.17561802806349,-0.1273734382187521,170900
22,Jongkundang,Consumer_Goods_&_Retail,2019,Q1,0.030228893259984346,-0.0158284624263354,-0.00481651118487969,0.0073799081170677905,-0.19477029963064085,0.12758654501115463,-0.049805676802903265,185750
22,COSMAX,Healthcare,2019,Q1,-0.048584503055055905,-0.027242643153229107,-0.010952483654043776,-0.029247328867399558,-0.03328490520911287,-0.4345693400083319,0.09354289342925232,192820
