code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),매출액,자본금,총포괄손익,영업비용
34730,SK_Holdings,기타금융,2018,Q2,"820,867,000,000","19,300,644,000,000","20,121,511,000,000","1,988,343,000,000","5,458,888,000,000","7,447,231,000,000","8,250,676,000,000","12,674,280,000,000",80464000000,36586000000,65090000000,65090000000,452625000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2018,Q3,"861,812,000,000","20,066,968,000,000","20,928,780,000,000","2,709,585,000,000","5,517,759,000,000","8,227,344,000,000","8,277,436,000,000","12,701,436,000,000",131594000000,107771000000,85635000000,85635000000,545154000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2018,Q4,"767,217,000,000","20,609,451,000,000","21,376,668,000,000","2,504,333,000,000","5,704,199,000,000","8,208,532,000,000","8,743,527,000,000","13,168,136,000,000",45714000000,494587000000,473157000000,473157000000,1674633000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2019,Q1,"1,202,270,000,000","21,099,985,000,000","22,302,255,000,000","2,562,845,000,000","5,749,896,000,000","8,312,741,000,000","9,564,523,000,000","13,989,514,000,000",1119487000000,1074298000000,1045112000000,1045112000000,1502773000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2019,Q2,"837,529,000,000","21,374,411,000,000","22,211,940,000,000","2,247,836,000,000","5,939,540,000,000","8,187,376,000,000","9,599,375,000,000","14,024,564,000,000",178714000000,125893000000,50629000000,50629000000,604830000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2019,Q3,"891,446,000,000","21,485,489,000,000","22,376,935,000,000","2,375,344,000,000","5,902,399,000,000","8,277,743,000,000","9,673,805,000,000","14,099,192,000,000",142766000000,98241000000,131859000000,131859000000,571451000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2019,Q4,"782,375,000,000","21,752,711,000,000","22,535,086,000,000","3,313,082,000,000","5,819,442,000,000","9,132,524,000,000","9,870,812,000,000","13,402,562,000,000",39932000000,249465000000,192943000000,192943000000,566462000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2020,Q1,"1,795,759,000,000","21,818,830,000,000","23,614,589,000,000","3,575,914,000,000","5,868,322,000,000","9,444,236,000,000","10,638,404,000,000","14,170,353,000,000",1051969000000,1002694000000,982897000000,982897000000,1444960000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2020,Q2,"921,232,000,000","22,011,445,000,000","22,932,677,000,000","2,780,873,000,000","5,937,898,000,000","8,718,771,000,000","10,681,730,000,000","14,213,906,000,000",43985000000,246864000000,53362000000,53362000000,498072000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2020,Q3,"1,422,703,000,000","21,863,310,000,000","23,286,013,000,000","2,451,705,000,000","6,013,813,000,000","8,465,518,000,000","11,287,484,000,000","14,820,495,000,000",532699000000,745962000000,660191000000,660191000000,988058000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2020,Q4,"1,552,357,000,000","22,040,040,000,000","23,592,397,000,000","2,509,629,000,000","6,251,205,000,000","8,760,834,000,000","11,301,835,000,000","14,831,563,000,000",29378000000,32299000000,19595000000,19595000000,542894000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2021,Q1,"2,145,506,000,000","23,084,421,000,000","25,229,927,000,000","3,235,317,000,000","6,292,954,000,000","9,528,271,000,000","12,171,588,000,000","15,701,656,000,000",489050000000,1485091000000,1184655000000,1184655000000,897704000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2021,Q2,"2,018,962,000,000","23,287,052,000,000","25,306,014,000,000","3,417,743,000,000","6,195,671,000,000","9,613,414,000,000","12,162,385,000,000","15,692,600,000,000",21698000000,-2957000000,-5430000000,-5430000000,469321000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2021,Q3,"2,148,467,000,000","23,932,538,000,000","26,081,005,000,000","3,841,415,000,000","6,554,511,000,000","10,395,926,000,000","12,154,718,000,000","15,685,079,000,000",136761000000,81188000000,67828000000,67828000000,617852000000.0,"15,385,000,000",,
34730,SK_Holdings,기타금융,2021,Q4,"1,934,670,000,000","25,282,305,000,000","27,216,975,000,000","5,128,241,000,000","6,298,628,000,000","11,426,869,000,000","12,406,200,000,000","15,790,106,000,000",182623000000,398601000000,252711000000,252711000000,764659000000.0,"16,143,000,000",,
34730,SK_Holdings,기타금융,2022,Q1,"1,695,944,000,000","26,437,496,000,000","28,133,440,000,000","5,439,430,000,000","6,532,264,000,000","11,971,694,000,000","12,797,305,000,000","16,161,746,000,000",580652000000,796271000000,748900000000,748900000000,1050165000000.0,"16,143,000,000",,
34730,SK_Holdings,기타금융,2022,Q2,"1,573,322,000,000","26,316,903,000,000","27,890,225,000,000","5,505,758,000,000","6,395,740,000,000","11,901,498,000,000","12,625,537,000,000","15,988,727,000,000",89539000000,-237313000000,-179142000000,-179142000000,644296000000.0,"16,143,000,000",,
34730,SK_Holdings,기타금융,2022,Q3,"1,588,453,000,000","27,047,534,000,000","28,635,987,000,000","6,277,886,000,000","6,389,853,000,000","12,667,739,000,000","12,639,922,000,000","15,968,248,000,000",83811000000,96248000000,83779000000,83779000000,643561000000.0,"16,143,000,000",,
34730,SK_Holdings,기타금융,2022,Q4,"1,417,446,000,000","27,033,802,000,000","28,451,248,000,000","5,639,723,000,000","6,923,726,000,000","12,563,449,000,000","12,514,748,000,000","15,887,799,000,000",354687000000,-207437000000,-109122000000,-109122000000,1031762000000.0,"16,143,000,000",,
34730,SK_Holdings,기타금융,2023,Q1,"1,528,259,000,000","27,242,406,000,000","28,770,665,000,000","5,214,004,000,000","6,867,902,000,000","12,081,906,000,000","13,281,406,000,000","16,688,759,000,000",1120349000000,990493000000,973117000000,973117000000,1641072000000.0,"16,143,000,000",,
34730,SK_Holdings,기타금융,2023,Q2,"1,377,859,000,000","27,138,973,000,000","28,516,832,000,000","4,772,431,000,000","7,254,399,000,000","12,026,830,000,000","12,982,387,000,000","16,490,002,000,000",109818000000,-234458000000,-191925000000,-191925000000,790791000000.0,"16,143,000,000",,
34730,SK_Holdings,기타금융,2023,Q3,"1,719,782,000,000","27,442,537,000,000","29,162,319,000,000","5,337,961,000,000","7,373,937,000,000","12,711,898,000,000","12,947,139,000,000","16,450,421,000,000",192390000000,35662000000,37728000000,37728000000,765710000000.0,"16,143,000,000",44069000000.0,
34730,SK_Holdings,기타금융,2023,Q4,"1,638,406,000,000","27,000,510,000,000","28,638,916,000,000","5,525,984,000,000","7,194,886,000,000","12,720,870,000,000","12,460,837,000,000","15,918,046,000,000",127904000000,-352990000000,-455946000000,-455946000000,939457000000.0,"16,143,000,000",310183000000.0,2586569000000.0
34730,SK_Holdings,기타금융,2024,Q1,"2,516,553,000,000","26,520,227,000,000","29,036,780,000,000","5,759,797,000,000","7,130,495,000,000","12,890,292,000,000","12,752,234,000,000","16,146,488,000,000",606350000000,472873000000,477969000000,477969000000,1236876000000.0,"16,143,000,000",484110000000.0,630526000000.0
34730,SK_Holdings,기타금융,2024,Q2,"2,124,475,000,000","26,453,780,000,000","28,578,255,000,000","5,419,257,000,000","6,980,620,000,000","12,399,877,000,000","12,709,560,000,000","16,178,378,000,000",130569000000,51205000000,45462000000,45462000000,796331000000.0,"16,143,000,000",31385000000.0,665762000000.0
34730,SK_Holdings,기타금융,2024,Q3,"2,242,279,000,000","26,294,800,000,000","28,537,079,000,000","5,252,458,000,000","7,164,019,000,000","12,416,477,000,000","12,650,837,000,000","16,120,602,000,000",124057000000,4530000000,24096000000,24096000000,736496000000.0,"16,143,000,000",24730000000.0,612439000000.0
