code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,차입부채,상각후원가측정금융자산
14830,유니드,에너지_화학,2018,Q2,2018-08-14,"269,501,520,680","619,636,631,168","889,138,151,848","183,245,871,071","134,005,997,134","317,251,868,205","44,449,215,000","520,849,604,242","571,886,283,643",137194349004,12911449483,11741438515,1608685339,1608685339,,,
14830,유니드,에너지_화학,2018,Q3,2018-11-14,"309,830,886,716","607,937,854,252","917,768,740,968","204,800,002,577","139,941,273,579","344,741,276,156","44,449,215,000","530,672,676,811","573,027,464,812",139221300070,10369733791,12034846789,9963402226,9963402226,,,
14830,유니드,에너지_화학,2018,Q4,2019-03-29,"263,825,892,637","706,678,980,838","970,504,873,475","263,561,514,324","141,163,647,812","404,725,162,136","44,449,215,000","527,521,572,981","565,779,711,339",130717323481,4584893879,1751738081,-1107023109,-1107023109,,,
14830,유니드,에너지_화학,2019,Q1,2019-05-15,"219,568,276,206","727,655,093,737","947,223,369,943","244,502,996,700","137,705,367,570","382,208,364,270","44,449,215,000","524,251,377,413","565,015,005,673",135695346659,9025435411,6942725837,6885397720,6885397720,,,
14830,유니드,에너지_화학,2019,Q2,2019-08-14,"209,868,431,382","726,332,355,894","936,200,787,276","227,120,458,583","137,306,518,105","364,426,976,688","44,449,215,000","529,132,546,062","571,773,810,588",142346838856,13460159431,4504430331,4941420026,4941420026,,,
14830,유니드,에너지_화학,2019,Q3,2019-11-14,"257,330,787,811","677,775,662,838","935,106,450,649","214,205,259,886","127,949,322,603","342,154,582,489","44,449,215,000","557,498,711,474","592,951,868,160",142324801895,6308052883,39842470986,28449676902,28449676902,,,
14830,유니드,에너지_화학,2019,Q4,2020-03-30,"222,433,398,384","669,558,596,476","891,991,994,860","173,988,185,639","125,802,279,613","299,790,465,252","44,449,215,000","558,130,290,340","592,201,529,608",128398413224,-1177654195,-3201598725,-2474207051,-2474207051,,,
14830,유니드,에너지_화학,2020,Q1,2020-05-15,"247,445,605,978","662,203,413,265","909,649,019,243","213,912,921,013","112,771,384,371","326,684,305,384","44,449,215,000","555,220,851,531","582,964,713,859",151098571648,8881526524,8395367808,7846202042,7846202042,,,
14830,유니드,에너지_화학,2020,Q2,2020-08-14,"252,530,259,896","661,696,907,481","914,227,167,377","201,031,164,203","100,101,487,761","301,132,651,964","44,449,215,000","586,641,644,816","613,094,515,413",150744136775,15766089090,32687754118,31414322575,31414322575,,,
14830,유니드,에너지_화학,2020,Q3,2020-11-13,"257,800,008,612","651,703,220,862","909,503,229,474","180,994,030,030","88,425,515,866","269,419,545,896","44,449,215,000","599,484,053,584","640,083,683,578",136410065796,9937617379,15334079435,12880597352,12880597352,,,
14830,유니드,에너지_화학,2020,Q4,2021-03-10,"258,283,508,839","646,906,677,751","905,190,186,590","194,363,942,391","78,194,409,725","272,558,352,116","44,449,215,000","602,691,793,757","632,631,834,474",128189843673,2200010688,-6182623004,-6927531027,-6927531027,,,
14830,유니드,에너지_화학,2021,Q1,2021-05-14,"281,430,601,080","643,615,021,639","925,045,622,719","215,995,715,277","72,577,934,198","288,573,649,475","44,449,215,000","603,294,959,649","636,471,973,244",162111447305,14454683833,15041702318,12784871590,12784871590,,,
14830,유니드,에너지_화학,2021,Q2,2021-08-13,"300,912,670,502","659,324,808,497","960,237,478,999","177,438,503,081","67,198,890,764","244,637,393,845","44,449,215,000","678,528,219,814","715,600,085,154",169080866141,21731155221,91375313242,70229410301,70229410301,,,
14830,유니드,에너지_화학,2021,Q3,2021-11-12,"336,035,662,798","671,962,134,041","1,007,997,796,839","194,790,756,873","70,321,400,988","265,112,157,861","44,449,215,000","701,974,207,922","742,885,638,978",170253165651,18122575291,25996592110,23523800921,23523800921,,,
14830,유니드,에너지_화학,2021,Q4,2022-03-08,"337,516,583,250","665,227,334,761","1,002,743,918,011","214,931,993,551","57,904,020,040","272,836,013,591","44,449,215,000","698,013,541,534","729,907,904,420",175631413010,5958768351,3080827289,-1966025779,-1966025779,,,
14830,유니드,에너지_화학,2022,Q1,2022-05-16,"401,259,007,792","669,173,161,383","1,070,432,169,175","256,651,703,680","52,009,638,686","308,661,342,366","44,449,215,000","727,992,842,299","761,770,826,809",233378306523,30509770102,51286759005,45367906645,45367906645,,,
14830,유니드,에너지_화학,2022,Q2,2022-08-12,"458,776,679,057","655,294,067,273","1,114,070,746,330","278,121,274,967","46,553,921,292","324,675,196,259","44,449,215,000","761,288,971,532","789,395,550,071",246543266588,32752786647,33791590523,34176409269,34176409269,,,
14830,유니드,에너지_화학,2022,Q3,2022-11-11,"656,471,184,119","649,900,909,924","1,306,372,094,043","453,007,284,801","41,121,243,228","494,128,528,029","44,449,215,000","790,812,487,257","812,243,566,014",284677161818,39413066431,37494613455,29926279544,29926279544,,,
14830,유니드,에너지_화학,2022,Q4,2023-03-08,"459,087,106,244","622,012,662,224","1,081,099,768,468","404,493,256,628","35,089,524,988","439,582,781,616","33,838,000,000","801,082,460,842","641,516,986,852",27971257017,-6724597889,-4976509198,7912567927,7912567927,,,
14830,유니드,에너지_화학,2023,Q1,2023-05-15,"381,783,824,586","627,291,165,867","1,009,074,990,453","343,673,654,276","32,024,459,430","375,698,113,706","33,838,000,000","791,538,269,856","633,376,876,747",193855719495,2558310259,2751930398,3563619164,3563619164,,,
14830,유니드,에너지_화학,2023,Q2,2023-08-11,"354,313,561,045","619,701,290,792","974,014,851,837","293,411,774,801","29,164,224,956","322,575,999,757","33,838,000,000","811,433,806,820","651,438,852,080",175811112499,17357908828,22092559198,19742495929,19742495929,,,
14830,유니드,에너지_화학,2023,Q3,2023-11-13,"277,508,983,109","614,328,307,560","891,837,290,669","215,331,018,990","25,896,911,511","241,227,930,501","33,838,000,000","805,805,405,888","650,609,360,168",143039337589,657499980,13496779,132496640,132496640,-829491912.0,,
14830,유니드,에너지_화학,2023,Q4,2024-03-20,"261,059,981,498","616,040,101,821","877,100,083,319","193,387,870,146","27,822,129,943","221,210,000,089","33,838,000,000","810,360,652,401","655,890,083,230",133091530324,8922945551,8469770113,4433472156,4433472156,28480446290.0,,
14830,유니드,에너지_화학,2024,Q1,2024-05-14,"282,032,823,051","621,049,276,424","903,082,099,475","202,893,785,807","24,579,583,508","227,473,369,315","33,838,000,000","836,776,764,343","675,608,730,160",147833300400,16973408165,38729774735,34676060597,34676060597,30340933330.0,,
14830,유니드,에너지_화학,2024,Q2,2024-08-14,"271,184,592,101","640,543,263,225","911,727,855,326","170,486,045,030","45,588,386,868","216,074,431,898","33,838,000,000","854,225,522,472","695,653,423,428",165702614936,22095663200,22617106338,17645569550,17645569550,19079424006.0,"117,907,758,116",
14830,유니드,에너지_화학,2024,Q3,2024-11-13,"258,101,445,541","633,490,483,048","891,591,928,589","133,040,355,202","45,824,976,790","178,865,331,992","33,838,000,000","871,078,887,311","712,726,596,597",156486460203,14880968312,13350360617,16755203533,16755203533,17073173169.0,"88,970,947,132",
14830,유니드,에너지_화학,2024,Q4,2025-03-12,"251,466,151,574","614,478,106,414","865,944,257,988","121,256,421,287","42,733,250,969","163,989,672,256","33,838,000,000","863,010,265,652","701,954,585,732",139278320037,5558946585,-8057908239,-5715587367,-5715587367,-10772010865.0,,-
