종목코드,종목명,작성기준일,작성시간,보고자,특별관계자수,주식수,주식비율,증감주식수,증감주식비율,변동방법,변동사유,변경사유
00216498,성도이엔지,2023.02.01,15:41,서인수,5,5552500,35.89,-90000,-0.58,"1) 장내매수
2) 특별관계자 추가 (주식매수선택권 부여)  ","1) 추가취득
2) 임원선임 및 퇴임",
01343735,데이드림엔터테인먼트,2023.02.01,15:11,송정우,5,871500,95.30,-29293,-3.20,장외매도,주식분산요건 충족,
00166227,화승인더스트리,2023.02.01,15:09,현석호,4,18579950,33.59,0,0,,,최대주주 현석호 주식담보계약 연장
00828761,레이,2023.02.01,13:35,레이홀딩스,7,4518292,32.24,0,-0.06,,,특별관계인 주식담보대출 변경 
00252269,아이에이,2023.02.01,13:27,김동진,3,24751838,8.40,-1895,0, 계열회사임원 퇴임, 계열회사임원 퇴임에 따른 특별관계 해소, 
00126779,삼아알미늄,2023.02.01,12:11,ToyotaTsushoCoporation,1,1500000,10.20,1500000,10.20,,,
01042979,휴마시스,2023.02.01,11:09,아티스트,4,3928356,11.58,3928356,11.58,주식양수도 계약,주식양수도 계약에 따른 신규보고 ,주식양수도 계약에 따른 신규보고
00608699,탑코미디어,2023.02.01,07:30,유정석,3,7579713,37.79,0,0,,, 특별관계자의 5CB 콜옵션 행사(소유에 준하는 보유 > 소유)
00583026,율호,2023.02.01,17:55,아시아창업투자,0,0,0,-2875790,-5.01,차입금 상환(대물변제),차입금 상환(대물변제),
01228515,앱트뉴로사이언스,2023.02.01,16:56,한국채권투자운용,1,0,0,-3521126,-8.74,일임계약 해지에 따른 보유비율 감소,일임계약 해지에 따른 보유비율 감소,
00526599,덴티움,2023.02.01,16:39,국민연금공단,1,1054007,9.52,128848,1.16,장내매수/매도,단순추가취득/처분,
01393721,포커스에이치엔에스,2023.02.01,16:38,컴퍼니케이,2,2390000,12.55,-658819,-4.33,장내매도,장내매도,
00111704,한화오션,2023.02.01,16:37,국민연금공단,1,5396525,5.03,41458,0.04,장내매수/매도,단순추가취득/처분,
00105873,LG디스플레이,2023.02.01,16:15,국민연금공단,1,15465655,4.32,-3597575,-1.01,장내매수/매도,단순추가취득/처분,
00165413,롯데케미칼,2023.02.01,16:12,국민연금공단,1,3034401,8.73,387809,1.01,장내매수/매도,단순추가취득/처분,
00134316,세원정공,2023.02.01,16:03,피델리티매니지먼트앤리서치컴퍼니엘엘씨,6,876215,8.76,10883,0.11,특별관계 추가,"단순투자목적
운용펀드 추가에 의한 변동보고
본 보고는 보고자 및 특별관계자들(해당하는 경우)이 투자자문사로서 발행회사의 주식에 대한 취득 및 처분 권한을 가지고 있으므로, 보고자가 대표보고자로서 동 주식의 보유자의 지위에서 이행하는 것임.",
00131832,SK디스커버리,2023.02.01,16:03,국민연금공단,1,806014,4.23,-195769,-1.03,장내매수/매도,단순추가취득/처분,
01276026,지놈앤컴퍼니,2023.02.01,15:51,인터베스트오픈이노베이션사모투자,0,817438,5.12,817438,5.12,신규취득,신규취득,
01297898,마음AI,2023.02.01,15:24,비에스케이인베스트먼트,2,300000,4.93,-422170,-6.95,장내매각에 따른 보유지분 변동,장내매각에 따른 보유지분 변동,
00611912,아모그린텍,2023.02.01,15:10,미래에셋자산운용,1 ,1117059,6.77 ,-215353,-1.31,장내(외) 매수/매도,"보고자는 자산운용회사로 내부투자의사 결정에 의해 해당 주식의 매수, 매도가 이루어지며 이에 따라 해당보유주식수의 변동이 발생함.",
00270113,멕아이씨에스,2023.02.01,14:52,미래에셋자산운용,0 ,902000,5.62 ,-214000,-1.33,장내(외) 매수/매도,"보고자는 자산운용회사로 내부투자의사 결정에 의해 해당 주식의 매수, 매도가 이루어지며 이에 따라 해당보유주식수의 변동이 발생함.",
00666329,코나솔,2023.02.01,14:07,장유진,1,289009,4.97,-59768,-1.02,본인 장내 매매,주식 매매,
01575839,플라즈맵,2023.02.01,10:57,한국산업은행,0,803571,4.54,-225861,-1.27,보유주식 장내 매도,보유주식 장내 매도,
00121969,에쓰씨엔지니어링,2023.02.01,07:30,케이알앤파트너스,0,1965923,5.92,1965923,5.92,,,
00164618,현대사료,2023.02.02,17:47,비에스제이홀딩스,9,45507857,67.97,-90,0.00,1. 주식대여,1. 주식대여,"1. 담보상환,"
00963976,SG,2023.02.02,17:36,박창호,1,15325236,34.24,0,0,,,담보계약 등 주요 계약내용의 변경
00608699,탑코미디어,2023.02.02,17:35,탑코,3,7579713,37.79,7579713,37.79," 대표보고자 변경(신규보고)
 5CB 인수(콜옵션 행사) 및 전환청구권 행사
 특별관계자 간 장외주식매매"," 대표보고자 변경(신규보고)
 5CB 인수(콜옵션 행사) 및 전환청구권 행사
 특별관계자 간 장외주식매매", 대표보고자 변경(신규보고)
00608699,탑코미디어,2023.02.02,17:33,유정석,3,0,0.00,-7579713,-37.79, 대표보고자 변경, 대표보고자 변경, 대표보고자 변경
00494546,오비고,2023.02.02,17:15,장영준,4,4070716,31.61,0,0,,, 특수관계인 주식근질권 설정계약 해지
01686755,파인엠텍,2023.02.02,17:06,홍성천,14,10704076,32.90,0,0.00,,,특별관계인 주식담보대출 계약사항 일부 변경 (기간연장 및 이자율 변경)
00458562,에이티세미콘,2023.02.02,17:06,이학영,0,167345,0.23,-5000000,-6.92,장외매도,장외매매계약 완료,
00915508,알엔투테크놀로지,2023.02.02,17:01,이효종,13,1785104,23.12,0,0,,, 최대주주변경을 수반하는 주식양수도 계약 철회
00480756,이트론,2023.02.02,16:44,이아이디,6,80910000,12.60,-20000000,-3.12,보통주 장내매도,보통주 장내매도,
01259311,푸드나무,2023.02.02,16:32,김영문,2,10114140,75.46,5057070,1.16,무상증자 신주 취득,무상증자 신주 취득,보고자 및 특별관계자 주식담보수량 변경
01042979,휴마시스,2023.02.02,16:31,차정학,3,2593814,7.65,0,0.07,,,최대주주 및 특수관계인의 주식양수도 계약 체결
00556907,에이스테크,2023.02.02,16:31,구관영,7,7631405,15.35,0,0,,,"주식담보대출 만기연장(에이스안테나)
주식담보대출 상환(구관영)"
00149354,종근당홀딩스,2023.02.02,16:28,이장한,6,2365325,47.21 ,6615,0.13, 장내매수, 단순취득, 해당사항 없음
00620558,에이비프로바이오,2023.02.02,16:28,베리타스투자조합,0,12118733,4.43,0,0,주식담보대출 계약 차입금 일부 상환,주식담보대출 계약 차입금 일부 상환,
00126937,삼양홀딩스,2023.02.02,16:20,김윤,30,3573052,41.72,2278,0.03,장내 매수,단순 취득,
00143226,엠투엔,2023.02.02,16:19,디케이마린,5,15216966,37.72,0,0,,,주식담보계약 만기연장
00838005,서진시스템,2023.02.02,16:10,전동규,12,17653823,46.98,-33312,-0.08,특별관계자변경에 따른 주식수 변동,특별관계자변경에 따른 주식수 변동,보고자의 계약변경
00174208,진성티이씨,2023.02.02,16:03,윤우석,2,8113807,36.09,0,0,,,보유 주식 등에 관한 주요 계약 내용 중 담보 연장
00141529,오뚜기,2023.02.02,15:19,함영준,22,2004429,50.01,-1890,-0.05,장내매도,단순 주식처분,주식담보계약의 해지
00129387,삼화페인트공업,2023.02.02,15:15,"ChugokuMarinePaints,Ltd.",1,1600839,5.88,-286479,-1.06,장내 주식 매도,장내 주식 매도,
01142075,핑거,2023.02.02,14:36,박민수,8,2729442,29.33,-47152,-0.51,특별관계자 변동,계열회사 변동,
00125080,AK홀딩스,2023.02.02,14:31,채형석,19,8640535,65.22,154,0.00, 특별관계자 보유주식수 변동(신규선임), 특별관계자 보유주식수 변동(신규선임),
01366000,태성,2023.02.02,14:25,김종학,7,11111678,44.03,298170,1.18," 특별관계자 추가(신규보고)
 특별관계자 보유주식수 변동(장외매수)"," 특별관계자 추가(신규보고)
 특별관계자 보유주식수 변동(장외매수)",
01510489,프레스티지바이오파마,2023.02.02,14:10,메이슨파트너스,6,6269012,52.16,6000,0.05,특별관계자 추가,특별관계자 추가,
00122825,인스코비,2023.02.02,13:44,밀레니엄홀딩스,13,12617664,11.23,692942,0.58,특수관계자 추가 및 수량 변동,특수관계자 추가 및 수량 변동,
00302236,태양3C,2023.02.02,13:04,황창순,10,3682756,72.75,3682756,72.75,코넥스시장 신규상장,코넥스시장 신규상장으로 인한 보고의무 발생(신규),
00783246,글로벌에스엠,2023.02.02,11:17,서울메탈홀딩스,4,26159855,48.67,0,0,,,주요계약 변경
00269852,폴라리스오피스,2023.02.02,11:11,조성우,7,13306693,26.76,1102623,1.47, 제3자 배정 유상증자 신주취득 및 전환사채 전환가액 조정, 제3자 배정 유상증자 신주취득 및 전환사채 전환가액 조정, 
00520610,씨큐브,2023.02.02,10:43,장길완,6,3355531,32.46,-6880,-0.07,,,"1. 보유주식에 관한 주요계약 체결(최대주주 및 특별관계자의
   최대주주변경을 수반하는 주식양수도 계약 체결)  계약일:1월27일
2. 주식담보대출 담보주식 수 감소 등"
00657783,모델솔루션,2023.02.02,08:38,모네홀딩스,3,293918,4.59,-300000,-4.69,시간외대량 매도,단순 처분,
01113718,올릭스,2023.02.02,16:51,미래에셋자산운용,3 ,820899,5.99 ,130931,0.95,장내(외) 매수/매도,"보고자는 자산운용회사로 내부투자의사 결정에 의해 해당 주식의 매수, 매도가 이루어지며 이에 따라 해당보유주식수의 변동이 발생함.",
00244747,파크시스템스,2023.02.02,16:42,KB자산운용,0,386875,5.57,-51789,-1.01,장내(외) 매수 / 매도,단순 추가취득 / 처분,
00525882,크레버스,2023.02.02,16:42,KB자산운용,0,818839,7.09,-274734,-2.38,장내(외) 매수 / 매도,단순 추가취득 / 처분,
00341916,오스템임플란트,2023.02.02,16:42,KB자산운용,0,520271,3.47,-199296,-1.57,장내(외) 매수 / 매도,단순 추가취득 / 처분,
00674498,골프존뉴딘홀딩스,2023.02.02,16:41,KB자산운용,0,3342005,7.80,-721688,-1.69,장내(외) 매수 / 매도,단순 추가취득 / 처분,
00603348,케이아이엔엑스,2023.02.02,16:41,하이클레어인터내셔널인베스터스엘엘피,2,208892,4.28,-49500,-1.01,장내매도,단순처분,
00945776,지슨,2023.02.02,16:23,더벨,2,8563096,51.05,8563096,51.05,,,
00256955,테이팩스,2023.02.02,10:45,한국투자밸류자산운용,0,319635,6.78,-92818,-1.96,장내매도 및 장내매수,단순투자목적의 주식매매,변동
00945776,지슨,2023.02.02,09:12,케이클라비스 티와이파트너스 신기술조합 제일호,0,1650000,9.84,1650000,9.84,코넥스 신규상장,코넥스 신규상장,
01042979,휴마시스,2023.02.02,07:30,구희철,1,1604304,4.73,-262549,-0.72,공동보유계약 해지 및 장내매수,공동보유계약 해지 및 주식추가 취득,공동보유계약 해지 및 보유목적 변경
00136642,엠벤처투자,2023.02.03,17:56,홍성혁,4,18888211,22.01,-911362,-1.06,장내매수 및 장외 매도,주식등 변동,주식담보대출 상환
00608802,텔콘RF제약,2023.02.03,17:36,뉴온,2,28365468,26.11,-2093509,-1.40,"특별관계자 주식등의 전환가액 조정 및 상환청구, 주식매수선택권 행가기간 만료",특별관계자 주식등의 전환가 조정 및 상환청구 등에 따른 변동보고,
00813389,베셀,2023.02.03,17:31,모엣1호투자조합,0,974898,7.87,-1200458,-9.68,주식양수도 계약 변경 ,양수인 추가 등 일부 변경,양수인 추가 등 일부 변경
00231372,롯데관광개발,2023.02.03,17:27,김기병,4,40712662,55.78,0,-0.02,,," 특별관계자(동화투자개발(주)) 보유주식등에 대한
  환매조건부 주식매매계약 체결
 특별관계자(동화투자개발(주), 김한성) 가 보유한 당사 주식 담보제공 변동"
01712485,코오롱모빌리티그룹,2023.02.03,17:24,코오롱,10,48056367,76.55,48056367,76.55,  신규보고,  재상장(인적분할)에 따른 신규보고,  재상장(인적분할)에 따른 신규보고
01049167,미코바이오메드,2023.02.03,17:18,미코,4,4473216,24.43,-548864,-3.00,특별관계자 주식 인도청구권 소멸 및 특별관계자의 주식 장내 매도,"특별관계자 환매조건부 주식매매계약에 따른 주식인도청구권 소멸 및
특별관계자 보유 주식 매도 ",특별관계자 환매조건부 주식매매계약에 따른 주식인도청구권 소멸
00126380,삼성전자,2023.02.03,17:10,삼성물산,15,1237908256,20.74,-56452,-0.00, 장내매매, 삼성생명보험 특별계정(고객계정): 단순 추가취득/처분, 보유주식등에 관한 계약의 변경
00126186,삼성에스디에스,2023.02.03,17:08,삼성전자,11,40861894,52.81,-28224,-0.03, 장내매매, 삼성생명보험 : 특별계정(고객계정) 보유분 단순 추가취득/처분," 보유주식 등에 관한 계약의 변경
 유가증권신탁(보유형태 변경 포함)"
00115612,동부건설,2023.02.03,17:03,키스톤에코프라임,1,12917647,56.39,0,0,변동 없음 ,변동 없음 ,예탁증권 담보융자 신규계약 및 변경계약
00152880,코오롱글로벌,2023.02.03,17:01,코오롱,8,14429582,76.22,762,0.01," 특별관계자 추가, 제외"," 계열편입과 신규임원선임 따른 특별관계자 추가
 임원퇴임에 따른 특별관계자 제외", 회사 분할에 따른 담보 주식수 변경
00105101,예스코홀딩스,2023.02.03,17:00,구자은,25,2394791,39.91,0,0,,,특별관계자 보유주식 등에 관한 주요계약 변경
00152862,코오롱,2023.02.03,16:52,이웅열,5,7081539,53.96,0,0,,, 보고자의 주식담보대출 상환 및 계약 변경
00120562,롯데지주,2023.02.03,16:38,신동빈,17,43726568,41.68,0,0.00,,,보고자 주식 담보계약 사항 변경
01326792,비투엔,2023.02.03,16:24,조광원,9,15158886,48.61,-750000,-2.41,증여 및 장내매매,주식 증여 및 매매,
00161046,한독,2023.02.03,16:21,김영진,11,5971143,43.38,0,0,,,특별관계자 보유주식 주식담보대출 일부 상환에 따른 담보 주식수 변경
00150165,브이티,2023.02.03,16:13,정철,3,13180762,38.22,490477,1.42,장외거래,주식추가 취득,주식담보대출 연장 
00145552,이수화학,2023.02.03,16:11,이수,6,8894778,30.69,0,0,,,보유주식에 관한 계약 내용 변경(차입금 연장)
00173449,빌리언스,2023.02.03,16:09,플레이크,1,17778792,42.67,5459581,8.64,특별관계자의 제6회 전환사채 인수에 따른 전환사채권 취득 및 특별관계자 추가,특별관계자의 제6회 전환사채 인수로 인한 전환사채권 취득에 따른 변동,
00260879,카페24,2023.02.03,16:09,우창균,17,5660856,25.16,0,0.00,,,"주식담보대출 계약 연장 (우창균, 이재석)"
00121686,엠케이전자,2023.02.03,16:08,오션비홀딩스,2,7818045,37.45,0,0,,,보고자 및 특별관계자의 보유주식등에 관한 계약 변경
00349060,한스바이오메드,2023.02.03,16:08,황호찬,4,3126323,29.20,6063,-0.66,전환사채 전환청구,전환사채 전환청구,
00102858,고려아연,2023.02.03,16:05,최창걸,61,9422673,47.44,116278,0.59,"특별관계자 신규추가, 장내매수",단순 추가취득,없음
00180263,리더스코스메틱,2023.02.03,16:05,김진구,10,5710911,29.90,127090,0.67,"특별관계자 보유주식 담보계약
특별관계자 신규등록","특별관계자 보유주식 담보계약
특별관계자 신규등록",
00297448,플래스크,2023.02.03,16:04,비엔엠홀딩스,12,38876917,28.32,0,0,,, 특별관계자의 주식대차계약
01152470,펄어비스,2023.02.03,16:03,김대일,13,28447695,44.27,160722,0.25," 특별관계 추가
 증여"," 계열회사 임원 선임에 따른 변동
 특별관계자 증여에 따른 변동"," 보고자 및 특별관계자의 주식담보계약 기간 연장 등 변경
 보고자 및 특별관계자의 주식담보계약 체결
 보고자 및 특별관계자의 주식담보계약 대출금 상환"
00166500,화천기계,2023.02.03,16:00,보아스에셋,2,1000000,4.545,-780780,-3.549,장내매도,변동목적 기재와 같습니다. ,
00327396,옵트론텍,2023.02.03,15:59,임지윤,2,4475793,17.51,24154,0.10,특별관계자 추가에 따른 지분율 증가,특별관계자 추가,주식담보계약 연장
00125576,체시스,2023.02.03,15:56,이명곤,3,11228901,35.09,0,0," 증여/수증, 특별관계자 추가"," 증여/수증, 특별관계자 추가", 
00291860,조광ILI,2023.02.03,15:54,김우동,1,18484956,19.31,0,0,,,주식담보대출 계약 변경
00595182,아톤,2023.02.03,15:52,김종서,5,1503133,33.53,11168,0.09,특별관계자 보유주식등 수량 변경,전환가액 및 행사가액 조정 ,주식담보 계약내용의 변경 
01689938,신영스팩9호,2023.02.03,15:46,신영증권,0,2005000,27.28,-550264,-7.49,장내매매,"장내매도, 특정금전신탁매수",
00617314,타이거일렉,2023.02.03,15:43,티에스이,1,3290203,52.11,-900,-0.01,장내 매도,지분 변동,
00820352,파인텍,2023.02.03,15:39,강원일,2,3401567,7.98,0,0,,,주식담보대출계약 내용변경
00534701,세아메카닉스,2023.02.03,15:37,케이브이오호투자,2,3107829,11.73,-560000,-2.12,장내매도에 따른 주식 보유 비율 변동,장내매도에 따른 1%이상 지분 감소,
00220686,에스피지,2023.02.03,15:27,이준호,4,8650674,39.01,-15000,-0.06,장내 매도 ,장내 매도 ,특수관계인 주식담보대출계약 대환 
00165413,롯데케미칼,2023.02.03,15:12,롯데물산,4,23231769,54.31,4407933,-0.61,롯데케미칼(주) 유상증자에 따른 특별관계자의 보유주식수 변동,롯데케미칼(주) 유상증자에 따른 특별관계자의 보유주식수 변동,
00120182,NH투자증권,2023.02.03,14:14,농협금융지주,5,188487755,56.83,-500,0.00,특별관계자 변동,임원 퇴임,
01110076,비유테크놀러지,2023.02.03,13:57,피데스홀딩스,1,6016847,7.48,6016847,7.48,전환사채권 인수,전환사채권 인수에 따른 주식등의 신규취득,
00670340,씨에스윈드,2023.02.03,12:12,김성권,22,17810486,42.23,-52534,-0.13,장내매도 및 증여,단순처분,
00868705,윈스,2023.02.03,11:40,금양통신,4,6180160,49.25,-47454,-0.31, 특별관계인 해소, 특별관계자 해소(조학수), (주)금양통신 및 김을재 주식담보대출 이자율 변경으로 인한 변경
00657783,모델솔루션,2023.02.03,11:00,한국타이어앤테크놀로지,11,4119220,64.40,83000,1.30,특별관계자에 대한 주식매수선택권 부여,특별관계자 수 및 보유주식등의 수 변동 ,
00945776,지슨,2023.02.03,10:47,한동진,15,6175041,35.92,6175041,35.92,코넥스시장 신규 상장으로 인한 최초 보고,코넥스시장 신규 상장으로 인한 최초 보고,
00875307,야스,2023.02.03,10:36,정광호,4,6083500,46.59,0,0,,,주식담보대출 계약 변경 및 기간 연장
00536888,케이알엠,2023.02.03,09:42,고스트로보틱스테크놀로지,0,3000000,15.00,3000000,15.00,경영권양수도계약체결 (장외매수) ,경영권양수도계약체결 (장외매수) ,
00103130,플레이그램,2023.02.03,17:51,하나모두,2,9582653,8.28,4320986,2.42,전환사채취득 및 특별관계자 추가,전환사채취득 및 특별관계자 추가,
00579999,고영,2023.02.03,16:58,AllianzGlobalInvestorsGmbH,3,6968473,10.15,38618,0.06," 주식 이전으로 인한 특별관계자 변동
 장내에서 발행회사의 주식 매매"," 단순투자목적
 특별관계자 변동
 본 보고는 보고자 및 특별관계자가 Investment Manager로서 발행회사의 주식에 대한 취득 및 처분권한을 가지고 있으므로, 보고자가 대표연명보고자로서 동 주식의 보유자의 지위에서 이행하는 것임.",
01099667,에스디생명공학,2023.02.03,16:30,상상인저축은행,3,12468826,22.99,12468826,22.99,전환사채 인수 및 매수,전환사채 인수 및 매수,
01576713,엔에이치기업인수목적22호,2023.02.03,15:52,J.P.MORGANSECURITIESPLC,1,421383,6.54,421383,6.54,,,
00432102,한국금융지주,2023.02.03,15:06,OrbisInvestmentManagementLimited,23,4160370,7.47,925622,1.67, 유가증권시장에서 발행회사의 주식 매수," 단순투자목적
 본 보고는 보고자가 투자자문사로서 발행회사의 주식에 대한 취득 및
처분권한을 가지고 있으므로 동 주식의 보유자의 지위에서 이행하는 것임.",
00298447,아모텍,2023.02.03,15:02,앨트웰,2,778000,7.99,-363461,-3.73,장내 매수/매도체결,단순처분,
01050738,솔트룩스,2023.02.03,14:03,에스와이에스홀딩스,5,515792,5.05,515792,5.05,,,
00601988,코난테크놀로지,2023.02.03,13:46,에스와이에스홀딩스,5,314519,5.53,314519,5.53,,,
00115977,아이에스동서,2023.02.06,17:41,권혁운,7,17099186,55.35,0,0,,,보유주식등에 관한 계약 변경
00159102,DB손해보험,2023.02.06,17:24,김준기,11,16438792,23.22,0,0.00,,," 보고자 본인 (김준기) 및 특별관계자 (김남호, 김주원)
  담보 주식 중 일부 주식 기간 연장
 특별관계자 (김남호) 보유 주식 중 일부 주식 담보 감소"
00145598,이연제약,2023.02.06,17:22,정순옥,5,10381200,56.12,0,0.00,,,특별관계자 유용환 주식담보대출 계약 변경
00556712,힘스,2023.02.06,17:01,김주환,15,3566582,31.5,15284,0.1,,,"특수관계인 변경
특수관계인의 담보대출 내용 변경
특수관계인의 소유 주식 수 변경 "
00124090,한국특강,2023.02.06,16:59,매직홀딩스,12,29667194,48.96,204388,0.33,장내매매,특수관계인 보유주식 변동,
00536541,에코프로,2023.02.06,16:56,이동채,9,6765823,26.79,-2428,-0.01,장내매도,특별관계자 장내거래,주식담보계약 계약내용의 변경
01263527,카이노스메드,2023.02.06,16:38,이기섭,18,6283065,22.50,52421,0.19,특별관계자 장내매수 및 장내매도,특별관계자 장내매수 및 장내매도,
01042711,글로벌텍스프리,2023.02.06,16:37,문양근,7,13128977,23.12,-62182,-0.11, 특별관계자 주식 장내매도, 장내매도에 따른 지분변동 및 특별관계자 구성변동, 보고자 보유주식 질권 설정 전부해제
01159233,솔루엠,2023.02.06,16:37,전성호,20,7931068,15.86,-1550,0.00,"우리사주 입고, 장내 매도","기존 특별관계인(임원) 우리사주 입고
장내 매도",
01344202,뷰노,2023.02.06,16:25,이예하,7,2890727,21.81,169002,-1.72," 전환우선주 발행으로 인한 지분율 변동
 매도청구권(콜옵션) 행사자로 지정"," 전환우선주 발행으로 인한 지분율 변동
 (주)뷰노 이사회 결의에 의하여 전환우선주 매도청구권(콜옵션) 행사자로 지정"," (주)뷰노 이사회 결의에 의하여 전환우선주 매도청구권(콜옵션) 행사자로 지정
 특별관계자의 주식매수선택권 행사"
00536888,케이알엠,2023.02.06,16:16,베노티앤알,4,5336319,25.94,-88205,-0.43, 특별관계자 장내 매매, 특별관계자 장내 매매, 장외매매계약 체결
00656021,BF랩스,2023.02.06,16:06,다올글로벌,9,26171875,24.54,-1374341,-1.29,특결관계자의 장외매도,특별관계자의 장외매도,담보계약내용 변경
00352499,링네트,2023.02.06,15:58,이주석,27,4063511,26.46,-2078,-0.02,지분율 감소,임원 퇴직으로 특수관계해지,특수관계인 수 변경
00971090,어스앤에어로스페이스,2023.02.06,15:53,어스이노베이션,3,876800,37.43,-200000,-16.77,전환사채 소각,전환사채 소각,
00429694,파버나인,2023.02.06,15:51,이제훈,1,3718029,26.02,-6500,-0.05,,,주식담보대출의 연장 약정 체결 (KB증권)
00173078,명신산업,2023.02.06,15:49,엠에스오토텍,2,23861210,45.48,0,0,,,주식담보대출 일부 상환 및 신규 계약 체결로 담보 변경
00247975,솔브레인홀딩스,2023.02.06,15:46,정지완,12,15406722,73.49,2100,0.01,장내매수,단순취득,보유주식 등에 관한 계약 변경
00116949,DN오토모티브,2023.02.06,15:46,김상헌,5,5085772,50.89,0,0,,,보고자 및 특별관계자 보유주식의 계약 내용 변경
00215976,MIT,2023.02.06,15:45,천지인엠파트너스,1,7000000,30.79,0,-24.18,,, 회사의 유상증자에 따른 지분율 및 주요주주로 변경
00103662,광명전기,2023.02.06,15:45,이재광,2,13398652,30.92,0,0,,,주식 담보대출 일부상환
00994994,나노,2023.02.06,15:43,신동우,5,3012271,10.35,0,-0.56,,,전환청구권행사에 따른 보통주 전환
00346407,크레오에스지,2023.02.06,15:35,케이파트너스,6,35970470,28.16,0,0,,,주식근질권설정변경계약 체결
00258102,지엔코,2023.02.06,15:31,크레오에스지,1,30162364,30.78,0,0,,,주식근질권설정변경계약
01099667,에스디생명공학,2023.02.06,15:13,박설웅,3,13850198,32.51,0,-0.65,,, 주식 근질권 담보 설정
00536523,로보스타,2023.02.06,15:10,LG전자,2,3258500,33.42,-1000,-0.01,장내 매도,장내 매도에 따른 특별관계자 주식수 변동,
