,name,sector,year,quarter,자본총계변화율,영업이익변화율,매출액변화율,Relative Return,특정 증권 등 소유 증감 수변화율,전체 주주 수변화율,특정 증권 등 소유 증감 비율변화율,특정 증권 등 소유 수변화율,전체 주식 수변화율,자기주식수변화율,Label,Code
23,LG_Chem,화학,2018,Q4,-0.0060849335037911345,0.474663369588316,-0.002025610264626776,0.09460115587176021,-0.14786837799437125,-0.09445898387867624,0.0,-0.08336196393393824,-0.11699830782254539,-1.1829060909005724,0.08060642449033843,051910
23,Huchems,화학,2018,Q4,0.008724547464698973,0.7013196309608827,0.16246065457795045,-0.1501949096344711,-0.11255616006414004,0.032109468112669015,-0.11252833400415341,0.02414951994908998,-0.010625111542001964,0.21750141118954702,0.09329786786897104,069260
23,Kumho_Tire,화학,2018,Q4,0.3336806635709443,0.7142174372139896,-0.04868103304940141,-0.1660393694922828,0.29400305033403185,0.04031878332361072,0.0,0.29400305033403185,-0.1462092168634752,0.0,0.13310881201840802,073240
23,Able_C&C,화학,2018,Q4,-0.09876441140449832,1.1259052270704926,-0.37262300723075237,-0.07081028650330122,0.5677045740707984,0.03573605446073935,0.5677045740707984,0.5677045740707984,0.03958806989175878,0.4248002054768162,-0.10117234663160526,078520
23,Huvepharma,화학,2018,Q4,0.0609372735354321,57.802720404832606,0.03274531740343045,0.036355313475336354,0.07593073265321515,-0.42236090826097805,0.07593073265321504,0.07593073265321493,-0.4886845486417708,-0.16847540506692638,-0.043503255159696885,079980
23,Amorepacific,화학,2018,Q4,-0.0038158018513558822,0.6982195100026647,0.12794452358259034,-0.19659742882527648,-0.012387129844824374,-0.015096958579130737,0.0,-0.042514928217675774,-0.015307843093409046,0.7208776766882179,-0.07521737437381612,090430
23,Huvis,화학,2018,Q4,-0.021120582859663894,0.5014226676315972,0.01383566658473856,0.029455242769258483,-0.34953384765170226,-0.10197346550241426,0.14453322248115652,-0.08541227470676538,-0.06695233575714865,-0.06605998687147441,-0.17531449110529979,093370
23,SK_Innovation,화학,2018,Q4,-0.017588323663173533,16.823461739238905,-1.7276414269597429,0.0650086508471077,0.05007834223390406,-0.01777125514485478,0.06932707911385283,0.05130015534186905,-0.019513146627731404,-0.22464235980907876,-0.05286523582551925,096770
23,LG_Hausys,화학,2018,Q4,0.055859923103964815,-3.8527373527373525,-0.01486435684748133,0.009783050001022767,0.14622351940760914,0.18356695782826316,0.14442054701019003,0.16514412764986086,0.15932166810875303,0.055971315812096134,-0.0636570700503539,108670
23,Lock_&_Lock,화학,2018,Q4,0.022468860111474642,0.25646883915738794,-0.20688982601647488,-0.22915787065791002,0.14804129841666913,0.021829079664862916,0.13084733965448891,0.0951230671780603,0.01948161593720621,-0.021483311745978728,0.34533323408395844,115390
23,Kolon_Industries,화학,2018,Q4,0.0608356614298301,-0.4239818495831291,-0.2023564877685715,-0.07767229974940895,0.032632376069652635,0.012872278586576691,0.0184528361757349,0.032632376069652635,0.014930281915279453,0.013992522984893618,0.05096519773572229,120110
23,Hankook_Tire_&_Technology,화학,2018,Q4,-0.015256787248751458,-1.3638967826436197,-0.07672313148275856,0.18537678854012948,0.0,-0.006712936108598466,0.0,0.0,-0.009446653191585774,0.9706228284072446,-0.06577798043442218,161390
23,KOLMAR_Korea,화학,2018,Q4,-0.03229379173978453,-0.7217239003520182,0.029800371889064925,-0.11204553244808474,-0.08886705463262468,-0.05034090480089004,-0.09701041372346908,0.01361668638828406,-0.027635133176788562,-0.0041806329186684366,0.06376170210526037,161890
23,COSMAX,화학,2018,Q4,-0.017207680648399615,-0.3514674672683433,-0.013483701669015469,-0.038491321819378886,-0.09306817464559458,0.009067142237482617,-0.09421870992602788,-0.01570252068232847,0.004181236827335066,-0.3444366450011793,-0.048584503055055905,192820
