,name,sector,year,quarter,Relative Return,자본총계 변화율,영업이익 변화율,실업률 변화율,GDP 변화율,특정 증권 등 소유 증감 수 변화율,특정 증권 등 소유 수 변화율,전체 주식 수 변화율,특정 증권 등 소유 증감 비율 변화율,전체 주주 수 변화율,Label,Code
8,LG_Chem,화학,2022,Q3,0.1150822001854192,-0.028431818300491907,0.5526051854749796,0.023255813953488302,-0.003895125891120621,-0.025358404863829342,-0.025698582834693395,-0.025760900545050758,0.0,-0.02587868516945324,0.1273836857763288,051910
8,Huchems,화학,2022,Q3,0.03767082206539796,-0.041825903551654164,-0.1798258492646645,0.023255813953488302,-0.003895125891120621,-0.02779028358788893,-0.02779028358788893,-0.02779028358788893,-0.02779028358788893,-0.027790283587889153,0.024267560210283826,069260
8,Kumho_Tire,화학,2022,Q3,-0.006480480152240009,0.022138442648420575,-1.1979702911729277,0.023255813953488302,-0.003895125891120621,-0.02781009082818575,-0.02781009082818575,-0.02781009082818575,0.0,-0.02781009082818575,0.029385631961041415,073240
8,Able_C&C,화학,2022,Q3,0.01726471607461455,-0.019935532027543834,-0.052890161052103535,0.023255813953488302,-0.003895125891120621,-0.02779138920719615,-0.02779138920719615,-0.02779138920719615,-0.02779138920719615,-0.02779138920719637,-0.04305539345912891,078520
8,Huvepharma,화학,2022,Q3,0.08681810027128611,0.040334570575809026,-0.5914244843190883,0.023255813953488302,-0.003895125891120621,-0.02779126907700169,-0.02779126907700169,-0.02779126907700169,-0.02779126907700169,-0.02779126907700169,-0.08394919366849389,079980
8,Amorepacific,화학,2022,Q3,-0.026415543612948844,-0.011651360997686933,0.21560684213164527,0.023255813953488302,-0.003895125891120621,-0.027742712996896124,-0.027742712996896346,-0.027742712996896346,0.0,-0.027742712996896124,-0.13571060490660808,090430
8,Huvis,화학,2022,Q3,0.05471972738032359,-0.04038453665353359,0.37248987167219894,0.023255813953488302,-0.003895125891120621,-0.027792792528811505,-0.027792792528811505,-0.027792792528811727,-0.027792792528811727,-0.027792792528811505,-0.2456106011662289,093370
8,SK_Innovation,화학,2022,Q3,0.055271304567738974,-0.00787718484506339,-0.0042346576761105315,0.023255813953488302,-0.003895125891120621,-0.02729058577301391,-0.02729058577301391,-0.02729058577301413,-0.02729058577301413,-0.02729058577301391,-0.16202612674069822,096770
8,LG_Hausys,화학,2022,Q3,-0.18588607162230966,0.03903576824399557,-0.7703544795178261,0.023255813953488302,-0.003895125891120621,-0.02778340325168127,-0.027783403251681493,-0.02778340325168127,-0.027783403251681493,-0.027783403251681493,-0.14250807961784995,108670
8,Lock_&_Lock,화학,2022,Q3,-0.1430884761266293,0.003493217056358633,-0.3150388210486075,0.023255813953488302,-0.003895125891120621,-0.027790600514472352,-0.027790600514472574,-0.027790600514472352,-0.027790600514472574,-0.027790600514472574,-0.024222548464777352,115390
8,Kolon_Industries,화학,2022,Q3,-0.015454177934602048,-0.016272757530184645,0.4168740863933631,0.023255813953488302,-0.003895125891120621,-0.027793803415957052,-0.027793803415957052,-0.027793803415957274,-0.027793803415957274,-0.027793803415957274,-0.1147658346546264,120110
8,Hankook_Tire_&_Technology,화학,2022,Q3,0.1351720160794077,-0.023018145431672465,0.9753817156752982,0.023255813953488302,-0.003895125891120621,0.0,0.0,-0.027823440376506303,0.0,-0.02782344037650608,0.13773113871099105,161390
8,KOLMAR_Korea,화학,2022,Q3,0.04009953833753832,-0.013928670972843449,0.5460302950300304,0.023255813953488302,-0.003895125891120621,-0.027797929300846347,-0.027797929300846347,-0.027797929300846125,-0.027797929300846347,-0.027797929300846347,0.09391500114485347,161890
8,COSMAX,화학,2022,Q3,-0.16000623604598221,-0.050545411412252994,0.37324709805369904,0.023255813953488302,-0.003895125891120621,-0.02779257503632282,-0.027792575036322598,-0.02779257503632282,-0.027792575036322598,-0.02779257503632282,-0.02736897426917466,192820
